gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	77	3.18129139072848	0.387221361415211
?|100134869	29	0.904642409033877	0.110521099684675
?|10357	402	31.5974842767296	3.83976330648145
?|10431	3627	162.115384615385	19.7079416914062
?|136542	0	0	0
?|155060	790	13.4782908339076	1.653732265369
?|26823	5	0.459558823529412	0.0558350129618955
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	16	0.201969199697046	0.0245386494733824
?|390284	3	0.447129909365559	0.0550590580989809
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	2	0.0407166123778502	0.00494694577382266
?|57714	2154	22.4482038429407	2.73292097528981
?|645851	167	9.5	1.17147788858251
?|652919	88	1.32330827067669	0.160777969354097
?|653553	4847	635.824146981627	77.2829267493497
?|728045	0	0	0
?|728603	2	0.053475935828877	0.00649716514465693
?|728788	5	0.320102432778489	0.038891481499707
?|729884	226	5.25374531835206	0.642750920747872
?|8225	3477	119.808407994487	14.5570305992102
?|90288	769	17.6537574919318	2.15378478399516
A1BG|1	2029	39.4685781618225	4.841268442029
A1CF|29974	1	0.0231588698471515	0.00281373293666245
A2BP1|54715	3	0.0373692077727952	0.00454024619600465
A2LD1|87769	679	26.6330708661417	3.24789192878946
A2ML1|144568	132	1.78347107438017	0.220903614918336
A2M|2	95669	1064.51635878032	129.351161413223
A4GALT|53947	1593	37.5698113207547	4.56473354270518
A4GNT|51146	7	0.197628458498024	0.0240112624911234
AAA1|404744	1	0.060313630880579	0.00732792449970353
AAAS|8086	3860	107.362472160356	13.0561908260475
AACSL|729522	36	0.63875088715401	0.077606309002538
AACS|65985	3206	51.391471625521	6.24429856020361
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	380	10.9652173913043	1.33822769617195
AADAT|51166	651	15.3600755073148	1.86631758663308
AAGAB|79719	7351	128.26780726257	15.5922548934284
AAK1|22848	4921	85.3940869565217	10.398029199256
AAMP|14	8102	225.539532293987	27.4044710032738
AANAT|15	7	0.365344467640919	0.0443882524757616
AARS2|57505	1709	17.6524466750314	2.17104091219667
AARSD1|80755	1451	40.3038888888889	4.89700360793271
AARS|16	10089	163.364873622813	19.8603874595123
AASDHPPT|60496	4548	83.01715954728	10.0870445848252
AASDH|132949	1441	22.4589959463673	2.72960960404626
AASS|10157	2082	17.8857388316151	2.17316777871981
AATF|26574	5677	131.523632993513	15.9809639026938
AATK|9625	550	6.57649030404597	0.799896379133307
