gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	93	3.6796357615894	1.0624922916984
?|100134869	49	1.47553324968632	0.42424578547383
?|10357	294	22.188679245283	6.37969605703099
?|10431	2435	104.495527728086	30.0584744857849
?|136542	0	0	0
?|155060	578	9.52136457615438	2.74878140355121
?|26823	16	1.41176470588235	0.405911033640627
?|280660	0	0	0
?|317712	0	0	0
?|340602	2	0.0495100567302733	0.0142351471312855
?|388795	17	0.206008583690987	0.0592316529776022
?|390284	4	0.580060422960725	0.166779155816088
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	455	8.83957654723127	2.55677674691388
?|57714	857	8.58145363408521	2.47022466545961
?|645851	167	9.16166281755196	2.6613889711449
?|652919	33	0.476390977443609	0.136972084133769
?|653553	3018	380.112860892388	109.321110194047
?|728045	0	0	0
?|728603	0	0	0
?|728788	3	0.18437900128041	0.0530127086188783
?|729884	0	0	0
?|8225	3484	115.241212956582	33.1375585120152
?|90288	33	0.730290456431535	0.209973342436507
A1BG|1	43	0.810683424980361	0.233087954117281
A1CF|29974	0	0	0
A2BP1|54715	0	0	0
A2LD1|87769	781	29.4606299212598	8.48705636794741
A2ML1|144568	81	1.0435261707989	0.307955643704211
A2M|2	23181	247.586022701981	71.204185356776
A4GALT|53947	556	12.588679245283	3.61950102827472
A4GNT|51146	0	0	0
AAA1|404744	5	0.289505428226779	0.0832386920614072
AAAS|8086	1331	35.5467706013363	10.2277828042166
AACSL|729522	8	0.136266855926189	0.03917948940747
AACS|65985	4221	64.9493427380571	18.6771132035591
AADACL2|344752	1	0.0344332855093257	0.00990026911318602
AADACL3|126767	1	0.0121827411167513	0.00350278556948764
AADACL4|343066	0	0	0
AADAC|13	140	3.89565217391304	1.12007914210399
AADAT|51166	221	5.00613496932515	1.43936550579314
AAGAB|79719	5802	97.229748603352	27.9585397291268
AAK1|22848	3547	59.1060869565217	17.0268030730408
AAMP|14	11521	307.896436525612	88.5306428905927
AANAT|15	6	0.30062630480167	0.0864361700028058
AARS2|57505	967	9.59535759096612	2.7907869017224
AARSD1|80755	4428	118.061666666667	33.950398853702
AARS|16	21988	341.910563836682	98.3330659304808
AASDHPPT|60496	2016	35.3198247535597	10.1580014201764
AASDH|132949	347	5.19363891487371	1.49327669937391
AASS|10157	1878	15.4823024054983	4.45330435051913
AATF|26574	5174	115.065801668211	33.0890849832829
AATK|9625	132	1.51113239166866	0.436133282015594
ABAT|18	1530	14.1285109657561	4.06223393035503
ABCA10|10349	65	1.29473244147157	0.375026498472318
ABCA11P|79963	168	4.25540897097625	1.22351652989724
ABCA12|26154	332	1.74879280070237	0.502845011823463
ABCA13|154664	3781	40.2512763596004	11.5830159863789
ABCA17P|650655	13	0.356775300171527	0.102580146866299
ABCA1|19	1588	13.4079295154185	3.86184115036559
ABCA2|20	551	3.24316034842351	0.932933051677525
ABCA3|21	6358	59.5564012490242	17.1246291889465
ABCA4|24	3843	85.7722818478768	24.7490188882649
ABCA5|23461	1272	10.0486156888596	2.89301917977749
ABCA6|23460	87	2.44783118405627	0.703801194319446
ABCA7|10347	296	7.2987146529563	2.10030264398934
ABCA8|10351	174	2.24174053182917	0.645009313730311
ABCA9|10350	129	1.01849405548217	0.293977178591115
ABCB10|23456	923	11.4371924371924	3.29922301416994
ABCB11|8647	0	0	0
ABCB1|5243	80	1.66666666666667	0.47920052582574
ABCB4|5244	52	0.640657084188912	0.184201926970387
ABCB5|340273	198	4.2051624388073	1.21610728903814
ABCB6|10058	13614	218.282325425994	62.7753009045903
ABCB7|22	1147	23.8958333333333	6.87053753902655
ABCB8|11194	2788	30.3606445755788	8.73289121671864
ABCB9|23457	644	9.67739898989899	2.80550126028888
ABCC10|89845	2119	20.222553699284	5.81628208625151
ABCC11|85320	10	0.148056755089451	0.0425693249345506
ABCC12|94160	9	0.0898689411275224	0.0258391463062267
ABCC13|150000	20	0.343962737370118	0.098896274767333
ABCC1|4363	28087	211.638875804679	60.8616719835745
ABCC2|1244	95	0.901603642843001	0.259570904505885
ABCC3|8714	33837	765.526912181303	220.483284202138
ABCC4|10257	2603	47.5319634703196	13.6696873284866
ABCC5|10057	3950	55.5521994134897	15.9864668087789
ABCC6P1|653190	9	0.155395683453237	0.044679415933105
ABCC6P2|730013	41	2.78753541076487	0.801473060757839
ABCC6|368	199	4.72321428571429	1.3622986377046
ABCC8|6833	62	0.83460344340954	0.241507326817511
ABCC9|10060	4831	54.1940158952782	15.5849721644711
ABCD1|215	827	19.1536231884058	5.51372291976191
ABCD2|225	27	0.242651188915933	0.0697671463924538
ABCD3|5825	4397	58.6408117876008	16.8704163767602
ABCD4|5826	1631	32.0721015977059	9.22138076997433
ABCE1|6059	4779	54.673104434907	15.7260038655534
ABCF1|23	6250	116.008894044857	33.3550249994715
ABCF2|10061	4885	80.5899552803578	23.1915251384148
ABCF3|55324	4161	78.1930305403289	22.4846740694104
ABCG1|9619	450	7.20214190093708	2.07846011201526
ABCG2|9429	682	14.4334215167548	4.15002868080197
ABCG4|64137	9	0.118356164383562	0.0340298017243923
ABCG5|64240	7	0.119530416221985	0.0343674229834469
ABCG8|64241	0	0	0
ABHD10|55347	2066	38.6916471506635	11.1291235936972
ABHD11|83451	4341	151.747997086672	43.6344013832154
ABHD12B|145447	4	0.12565445026178	0.0361282071826736
ABHD12|26090	3321	86.4606619641888	24.8687132135094
ABHD13|84945	1486	13.3890142964635	3.85783466208786
ABHD14A|25864	521	22.0177147918512	6.3687405225067
ABHD14B|84836	1621	37.8579075425791	10.8863166462625
ABHD15|116236	1725	29.991282237559	8.64754163567845
ABHD1|84696	160	5.25051903114187	1.52813565605883
ABHD2|11057	28343	155.27028877982	44.6479897842933
ABHD3|171586	3215	88.1978273299028	25.3688593980886
ABHD4|63874	4892	136.697146185207	39.3211242885138
ABHD5|51099	681	6.06852886405959	1.7501795294069
ABHD6|57406	166	3.30211355159552	0.949424730156527
ABHD8|79575	499	11.2942289498581	3.25765685749616
ABI1|10006	3079	42.2723891273248	12.1582839678692
ABI2|10152	3078	24.3737623762376	7.00980222649487
ABI3BP|25890	349	4.56772255598034	1.31527589436911
ABI3|51225	385	8.71698113207547	2.50630916526217
ABL1|25	5149	43.8547585227273	12.6174042995969
ABL2|27	2504	10.1362409313312	2.91527263033815
ABLIM1|3983	6976	152.330300272975	43.8014570532386
ABLIM2|84448	31	0.437389770723104	0.125758444872787
ABLIM3|22885	182	2.19552651419955	0.631258476041267
ABO|28	1559	49.4088507265522	14.2111758580945
ABP1|26	197	3.75613682092555	1.0940813293058
ABRA|137735	17	0.288237371953373	0.0828741001216116
ABR|29	3975	45.358059914408	13.0430043263269
ABT1|29777	1467	31.1232815964523	8.97828405140896
ABTB1|80325	1587	38.2926093514329	11.0116377844047
ABTB2|25841	1072	12.3668353820198	3.56583402124212
ACAA1|30	1244	35.2165191740413	10.1288572736661
ACAA2|10449	3824	102.840246636771	29.5823592768048
ACACA|31	8074	80.2427506213753	23.0797583493973
ACACB|32	430	3.81304267504157	1.09632723292554
ACAD10|80724	1523	31.3748925193465	9.03649404298321
ACAD11|84129	805	20.0254413291796	5.76832034825751
ACAD8|27034	1896	50.6623955431755	14.5775202632921
ACAD9|28976	2071	43.1720990873533	12.4214774110261
ACADL|33	18	0.472906403940887	0.1359701984609
