gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	46	1.8046357615894	0.493420598278149
?|100134869	35	1.05332496863237	0.284515614194536
?|10357	206	15.5440251572327	4.19697597211925
?|10431	1211	51.9695885509839	14.0355267981241
?|136542	0	0	0
?|155060	183	2.99310820124052	0.817109123676032
?|26823	5	0.441176470588235	0.11909608430307
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	0	0	0
?|390284	3	0.435045317220544	0.117440972557468
?|391343	6	0.10967250571211	0.0296062162349749
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	8	0.156351791530945	0.0422073419289056
?|57714	1596	15.922514619883	4.31921799072467
?|645851	26	1.44110854503464	0.389028872143792
?|652919	67	0.967218045112782	0.261101598837792
?|653553	818	103.044619422572	27.8198450111242
?|728045	0	0	0
?|728603	2	0.0513368983957219	0.0138584534461754
?|728788	7	0.412291933418694	0.116137743668653
?|729884	8	0.179775280898876	0.0485305392216255
?|8225	2483	82.1337008959338	22.1735732687168
?|90288	170	3.71323190410327	1.01558375992143
A1BG|1	322	6.00274941084053	1.63879205775335
A1CF|29974	0	0	0
A2BP1|54715	3	0.0358744394618834	0.00968434527068312
A2LD1|87769	216	8.14330708661417	2.20382146298393
A2ML1|144568	51	0.673553719008264	0.182049683906577
A2M|2	334267	3570.07500556421	964.014271158845
A4GALT|53947	1762	39.8900943396226	10.7695218391371
A4GNT|51146	9	0.243929983060418	0.0658491732069825
AAA1|404744	0	0	0
AAAS|8086	1575	42.0517817371938	11.3631987784934
AACSL|729522	34	0.579134137686302	0.156337911658593
AACS|65985	2029	31.2144918243027	8.42932988443125
AADACL2|344752	10	0.344332855093257	0.0929530414072741
AADACL3|126767	0	0	0
AADACL4|343066	1	0.0304761904761905	0.00822708188709461
AADAC|13	313	8.65913043478261	2.35115692364665
AADAT|51166	299	6.77300613496933	1.8283806218405
AAGAB|79719	2100	35.1906424581006	9.501073094122
AAK1|22848	2961	49.2351304347826	13.3452568388199
AAMP|14	5204	139.042316258352	37.5454517100187
AANAT|15	0	0	0
AARS2|57505	1086	10.7766624843162	2.94270435252634
AARSD1|80755	1056	28.1555555555556	7.60182366367542
AARS|16	8345	129.658457550227	35.0394110167829
AASDHPPT|60496	1976	34.626871120847	9.34805558562097
