gene	raw_counts	median_length_normalized	RPKM
?|100130426	2	0.176470588235294	0.052322189688494
?|100133144	186	7.34850993377483	1.64347116352667
?|100134869	110	3.31242158092848	0.736580888713805
?|10357	145	10.9418238993711	2.43347542607807
?|10431	1559	66.9141323792487	14.8840249729605
?|136542	0	0	0
?|155060	943	15.4172984148863	3.46840946752411
?|26823	18	1.58823529411765	0.353174780397334
?|280660	2	0.076555023923445	0.0170234875541511
?|317712	0	0	0
?|340602	2	0.0495100567302733	0.0110095169638502
?|388795	12	0.145417823781873	0.0323364605800134
?|390284	12	1.7190332326284	0.386962901381973
?|391343	16	0.292460015232292	0.0650341306714563
?|391714	2	0.0682302771855011	0.0151723193979428
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	8	0.156351791530945	0.0347678394021263
?|57714	2321	23.1748120300752	5.17412691363134
?|645851	249	13.6778290993072	3.06900455821794
?|652919	360	5.19699248120301	1.15565161224752
?|653553	318	40.0262467191601	8.90877976239365
?|728045	0	0	0
?|728603	9	0.231016042780749	0.0513708771487032
?|728788	58	3.49295774647887	0.792671124704559
?|729884	461	10.2968164794007	2.30364607072319
?|8225	3498	115.70916609235	25.7316995066794
?|90288	21	0.464730290456432	0.103341752247814
A1BG|1	880	16.439120188531	3.68926924307873
A1CF|29974	0	0	0
A2BP1|54715	778	9.27703039362232	2.06879904579976
A2LD1|87769	309	11.611811023622	2.59699334582985
A2ML1|144568	161	2.11928374655647	0.473407712983167
A2M|2	95222	1016.91364344536	226.212687177749
A4GALT|53947	679	15.3599056603774	3.41861340891105
A4GNT|51146	4	0.10841332580463	0.024107796039419
AAA1|404744	42	2.43184559710495	0.540767818155629
AAAS|8086	2363	63.1002227171492	14.0434388550768
AACSL|729522	3	0.0511000709723208	0.0113630873276644
AACS|65985	3744	57.585444052581	12.8125786314585
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	146	4.06260869565217	0.903399476917162
AADAT|51166	183	4.14440773949976	0.92179895490838
AAGAB|79719	2255	37.7775837988827	8.40406902950454
AAK1|22848	3587	59.6438260869565	13.317098316583
AAMP|14	4125	110.238307349666	24.5151016831112
AANAT|15	6	0.30062630480167	0.066850062817032
AARS2|57505	1907	18.9044332915098	4.25654471144614
AARSD1|80755	1495	39.8472222222222	8.86512300622049
AARS|16	11011	171.101425793908	38.0843825841353
AASDHPPT|60496	2601	45.5772179627601	10.1359485715493
AASDH|132949	728	10.8877455565949	2.42297257094406
AASS|10157	1366	11.2627147766323	2.50520801844579
AATF|26574	3095	68.82437442076	15.308241022021
AATK|9625	354	4.06176681829064	0.904596421006531
ABAT|18	5499	50.7649095806079	11.2918089849546
ABCA10|10349	200	3.98996655518395	0.8924520649208
ABCA11P|79963	399	10.1060686015831	2.2473968083824
ABCA12|26154	645	3.39771729587357	0.755548037665939
ABCA13|154664	174	1.85394006659267	0.412259366300284
ABCA17P|650655	700	18.9839908519154	4.2719317824568
ABCA1|19	3076	25.863436123348	5.78544199441211
ABCA2|20	3283	19.3294074346706	4.29908535694448
ABCA3|21	5082	47.594262295082	10.5862371333671
ABCA4|24	68	1.51049930004666	0.338690347810914
ABCA5|23461	2333	18.4512195121951	4.10379109802642
ABCA6|23460	1129	31.6025791324736	7.06367962502648
ABCA7|10347	2593	63.8889460154242	14.2298063361964
ABCA8|10351	497	6.40773569701853	1.42488374110584
ABCA9|10350	990	7.83223249669749	1.74487936418234
ABCB10|23456	2060	25.4164724164724	5.69486583649125
ABCB11|8647	2	0.0292326431181486	0.00650044256787623
ABCB1|5243	162	3.37456597222222	0.750496408344335
ABCB4|5244	169	2.07905544147844	0.463003031750646
ABCB5|340273	291	6.17534490431687	1.38231173505463
ABCB6|10058	1359	21.776478449716	4.84650670914778
ABCB7|22	2037	42.4331597222222	9.43679743084822
ABCB8|11194	1712	18.6257376305039	4.14739448577556
ABCB9|23457	522	7.85353535353535	1.75873905793824
ABCC10|89845	1836	17.510938743039	3.89756607292905
ABCC11|85320	5	0.0740283775447255	0.0164616389519629
ABCC12|94160	2	0.0199708758061161	0.00444090979673508
ABCC13|150000	46	0.791114295951272	0.175919537096678
ABCC1|4363	3664	27.6093578269744	6.14045134492117
ABCC2|1244	106	1.00118788358741	0.223998224079191
ABCC3|8714	1866	42.0429650613787	9.40376487987765
ABCC4|10257	2194	40.0715372907154	8.91101840639931
ABCC5|10057	1955	27.4744868035191	6.11939463095753
ABCC6P1|653190	42	0.722302158273381	0.1612577414572
ABCC6P2|730013	41	2.76912181303116	0.619862315233093
ABCC6|368	211	5.00892857142857	1.1171410381704
ABCC8|6833	48	0.640982218458933	0.144605950163628
ABCC9|10060	5733	64.3179055633474	14.3039913863403
ABCD1|215	1565	36.1434782608696	8.06974989369497
ABCD2|225	158	1.41153342070773	0.315755255203059
ABCD3|5825	2969	39.6110647762024	8.81020143502037
ABCD4|5826	1391	27.3510856206473	6.08240632313224
ABCE1|6059	4059	46.4480209823557	10.3301518027901
ABCF1|23	6430	119.331013147718	26.5398540828273
ABCF2|10061	3540	58.3192294461644	12.9979334384048
ABCF3|55324	2815	52.8946750195771	11.764502995503
ABCG1|9619	3234	51.9056224899598	11.5524873280884
ABCG2|9429	220	4.62654320987654	1.03537031447073
ABCG4|64137	25	0.328767123287671	0.0731077170989916
ABCG5|64240	22	0.375667022411953	0.0835368151269872
ABCG8|64241	3	0.0539325842696629	0.011992951344329
ABHD10|55347	1322	24.7486338797814	5.50767630472699
ABHD11|83451	2280	79.6788055353241	17.7247610108611
ABHD12B|145447	46	1.44502617801047	0.321329468610489
ABHD12|26090	2848	74.1698317959848	16.4941799411272
ABHD13|84945	1764	15.8256207674944	3.541846104692
ABHD14A|25864	663	27.9326837909655	6.26809636824463
ABHD14B|84836	2127	49.6491484184915	11.0476966828978
ABHD15|116236	830	14.3799491463858	3.21801422377617
ABHD1|84696	210	6.92249134948097	1.55119903547064
ABHD2|11057	17052	93.4119392763383	20.7748416422683
ABHD3|171586	2102	57.5894797026872	12.8280008667488
ABHD4|63874	1229	34.3389633080955	7.64007577748425
ABHD5|51099	1794	15.9512104283054	3.56585953322835
ABHD6|57406	271	5.38707003729797	1.19874841887223
ABHD8|79575	606	13.6712393566698	3.05973433209573
ABI1|10006	3837	52.6929899856938	11.7181943731872
ABI2|10152	4848	38.3952145214521	8.53898135716221
ABI3BP|25890	1584	20.7427635172037	4.61692602053009
ABI3|51225	501	11.338679245283	2.52242314854851
ABL1|25	4333	36.9163707386364	8.2118710539293
ABL2|27	3989	16.14956976548	3.59182518914713
ABLIM1|3983	18099	395.193357597816	87.890709499135
ABLIM2|84448	719	10.1240446796002	2.25585229122561
ABLIM3|22885	366	4.41115858255843	0.981800445062004
ABO|28	559	17.7186261558785	3.94095985688051
ABP1|26	3296	63.5859154929577	14.1571843829007
ABRA|137735	9	0.152596255740021	0.0339327235139791
ABR|29	4253	48.508321445554	10.7930003899224
ABT1|29777	2281	48.2935698447894	10.7967940552589
ABTB1|80325	1324	31.9391654097536	7.105085040776
ABTB2|25841	961	11.0438659918053	2.4722707532637
ACAA1|30	1699	48.0938053097345	10.6989154320196
ACAA2|10449	4600	123.65134529148	27.5219410334544
ACACA|31	3877	38.5385252692626	8.57125898967427
ACACB|32	885	7.84758913726215	1.74510403221147
ACAD10|80724	2679	55.2300085984523	12.2936000944957
ACAD11|84129	1711	42.4574247144341	9.48221514934096
ACAD8|27034	2530	67.5949860724234	15.0443055944432
ACAD9|28976	2155	44.9378531073446	9.9964715475253
ACADL|33	41	1.07115489874111	0.239530812564074
ACADM|34	2587	55.1380994671403	12.2615146375326
ACADSB|36	2900	23.7598633646456	5.286730558448
ACADS|35	610	19.980204778157	4.4443503650759
ACADVL|37	11638	247.568322981366	55.1112827388276
ACAN|176	454	2.53160585637927	0.563080632139154
ACAP1|9744	1692	31.8057867617915	7.15812349203253
ACAP2|23527	3594	37.990474080638	8.49831053324131
ACAP3|116983	2500	34.1679977181974	7.6110429951888
ACAT1|38	4423	98.396463471382	21.9683076679435
ACAT2|39	1019	30.2636138613861	6.73052444534986
ACBD3|64746	5296	70.5509634180397	15.7855505681133
ACBD4|79777	820	19.6959798994975	4.39821904074938
ACBD5|91452	1787	22.8812066203951	5.09181783410601
ACBD6|84320	1671	49.2232529375387	11.0301776807499
ACBD7|414149	507	10.9383561643836	2.47104083794591
ACCN1|40	16	0.247104247104247	0.0549483999817388
ACCN2|41	148	1.85845107273679	0.413320657005497
ACCN3|9311	36	0.847890088321884	0.188544730653729
ACCN4|55515	27	0.501363459291001	0.112267479861404
ACCN5|51802	0	0	0
ACCSL|390110	0	0	0
ACCS|84680	1499	35.0029296875	7.81245913963999
ACD|65057	1094	25.1086124401914	5.58710861527241
ACE2|59272	64	0.880733944954128	0.195848196265188
ACER1|125981	6	0.264705882352941	0.0588624633995557
ACER2|340485	237	3.98457223001403	0.886982197426124
ACER3|55331	1358	14.8898285714286	3.31312476657894
ACE|1636	1885	37.8855825649623	8.4325124990836
ACHE|43	93	2.01081081081081	0.4471426048514
ACIN1|22985	7318	110.339207048458	24.5784556213472
ACLY|47	9363	103.186681974742	22.9478996690901
ACMSD|130013	2	0.0743034055727554	0.0165227967437349
ACN9|57001	847	19.5430367504836	4.37168593418544
ACO1|48	1909	25.536231884058	5.67896997311269
ACO2|50	5732	98.9406474820144	22.0078422388731
ACOT11|26027	250	4.33406034169393	0.969986068379932
ACOT12|134526	0	0	0
ACOT13|55856	1530	17.2205537306429	3.83172262918178
ACOT1|641371	462	13.7849127182045	3.07435270184612
ACOT2|10965	805	23.0783492822966	5.13896530540938
ACOT4|122970	120	3.34644744568409	0.752112274559209
ACOT6|641372	0	0	0
ACOT7|11332	3008	88.3574051407589	19.6490635880844
ACOT8|10005	1335	31.649209486166	7.04022981213658
ACOT9|23597	1856	53.6062612883805	11.9268132140977
ACOX1|51	2776	17.7317008251264	3.94334113778984
ACOX2|8309	862	17.3548387096774	3.90524295939825
ACOX3|8310	979	16.4513305322129	3.65881597893111
ACOXL|55289	1335	25.4898122253296	5.69293852967017
ACP1|52	4396	134.533801020408	29.9245552025551
ACP2|53	2819	64.2431149097816	14.2873863045111
ACP5|54	1856	55.9981132075472	12.4593941815197
ACP6|51205	494	8.63903154805576	1.93427035511653
ACPL2|92370	2988	46.7969973890339	10.4089736843998
ACPP|55	269	4.12692307692308	0.920266820944165
ACPT|93650	5	0.178173719376392	0.0396203663565433
ACRBP|84519	57	1.53105763850028	0.340460224788924
ACRC|93953	124	1.86406544996853	0.416470141711814
ACRV1|56	8	0.358543417366947	0.0797290509538956
ACR|49	17	0.684300341296928	0.154823680750595
ACSBG1|23205	27	0.506651017214398	0.112750634117459
ACSBG2|81616	9	0.16	0.0355790889881759
ACSF2|80221	2311	51.4723897911833	11.4463955431565
ACSF3|197322	1176	18.4330502939255	4.09938033802366
ACSL1|2180	8106	104.256499597963	23.1898227288786
ACSL3|2181	5272	59.3094791177851	13.2031645104878
ACSL4|2182	4523	43.1424880763116	9.59405124166452
ACSL5|51703	16238	240.990102072379	53.6096424673678
ACSL6|23305	31	0.505950357021421	0.112507829850403
ACSM1|116285	10	0.234032179424671	0.0520415733615445
ACSM2A|123876	52	0.891861761426979	0.206255588337252
ACSM2B|348158	18	0.358239933582399	0.0797538731988999
ACSM3|6296	1542	35.1229235880399	7.8115266093641
ACSM4|341392	1	0.0275387263339071	0.00612376746784439
ACSM5|54988	37	0.984260820685779	0.221994315777826
ACSS1|84532	4557	48.9731303179579	10.8912164253774
ACSS2|55902	1672	29.8671380721995	6.64178304297322
ACSS3|79611	1019	16.2877122877123	3.62188728061451
ACTA1|58	34	1.08151093439364	0.240494836102978
ACTA2|59	21291	662.653047989624	147.376339230983
ACTBL2|345651	0	0	0
ACTB|60	244990	6517.83259423503	1449.5323189379
ACTC1|70	7	0.090982940698619	0.0202318133970131
ACTG1|71	179017	4594.55240641711	1021.80670161438
ACTG2|72	316	11.910447761194	2.64956609275654
ACTL6A|86	4203	105.724318658281	23.5124073926577
ACTL6B|51412	0	0	0
ACTL7A|10881	0	0	0
ACTL7B|10880	0	0	0
ACTL8|81569	0	0	0
ACTL9|284382	0	0	0
ACTN1|87	10576	140.699112590128	31.3048623243717
ACTN2|88	60	0.636042402826855	0.141436307815187
ACTN3|89	152	2.43924604510266	0.546080934991862
ACTN4|81	21636	566.009279475983	126.05717838671
