gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	147	5.78476821192053	1.1660517359944
?|100134869	86	2.58971141781681	0.516984537035082
?|10357	199	15.0188679245283	2.99821919436065
?|10431	1998	85.7093023255814	17.1246261738546
?|136542	0	0	0
?|155060	477	7.80737422467264	1.5750284043089
?|26823	15	1.32352941176471	0.264216404764638
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	2	0.0242363039636455	0.00483829754075446
?|390284	6	0.842900302114804	0.173696343434396
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	4	0.197530864197531	0.0394331204916222
?|553137	0	0	0
?|57714	3216	32.1495405179616	6.43619683933936
?|645851	57	3.15011547344111	0.630702253960115
?|652919	232	3.34887218045113	0.668595970176149
?|653553	702	88.4120734908137	17.6554810818474
?|728045	1	0.125984251968504	0.0251502579513496
?|728603	7	0.179679144385027	0.0358693785862296
?|728788	34	2.07810499359795	0.417152934061182
?|729884	4	0.0898876404494382	0.017944285167536
?|8225	3302	109.157133011716	21.8060536311446
?|90288	706	15.5855232826187	3.11897984569005
A1BG|1	276	5.15632364493323	1.03876689910924
A1CF|29974	1	0.0222325150532654	0.00443828081494405
A2BP1|54715	2	0.0239162929745889	0.00477441369181076
A2LD1|87769	178	6.72204724409449	1.34302377460207
A2ML1|144568	90	1.18650137741047	0.237576403623079
A2M|2	463150	4946.45203650122	987.7628067291
A4GALT|53947	2276	51.5287735849057	10.2873571151229
A4GNT|51146	5	0.122529644268775	0.0270532136630836
AAA1|404744	0	0	0
AAAS|8086	1688	45.0890868596882	9.00603290408439
AACSL|729522	11	0.18736692689851	0.0374040919354529
AACS|65985	1947	29.9413273485091	5.98160865665816
AADACL2|344752	3	0.103299856527977	0.0206217681767522
AADACL3|126767	1	0.0121827411167513	0.00243204271052391
AADACL4|343066	2	0.060952380952381	0.0121679343231291
AADAC|13	1960	54.3559420289855	10.8876560160869
AADAT|51166	374	8.47097687588485	1.69125099411025
AAGAB|79719	2657	44.5223463687151	8.88967656373477
AAK1|22848	4037	67.2577391304348	13.4551430623294
AAMP|14	6332	169.186525612472	33.7832940454161
AANAT|15	11	0.548016701461378	0.110025815317439
AARS2|57505	1304	12.9638226683396	2.61297610966569
AARSD1|80755	1309	34.89	6.96842388767702
AARS|16	8390	130.398574206092	26.0515434428725
AASDHPPT|60496	2026	35.5038335158817	7.08785506177235
AASDH|132949	579	8.66448394137823	1.73000366504826
AASS|10157	6151	50.7189003436426	10.1272180699286
AATF|26574	4212	93.6519925857275	18.7027014611229
AATK|9625	2599	29.7261192243237	5.96223683943679
ABAT|18	1216	11.2227779915352	2.24163407230251
ABCA10|10349	313	6.27508361204013	1.25386442787303
ABCA11P|79963	308	7.80158311345646	1.55743138262532
ABCA12|26154	9	0.0474100087796313	0.00946446823037509
ABCA13|154664	711	7.57291897891232	1.51231487829058
ABCA17P|650655	14	0.384219554030875	0.0767018158447678
ABCA1|19	7555	63.6759471365639	12.7566318504585
ABCA2|20	3382	19.910317752423	3.97585126747
ABCA3|21	95250	892.05737704918	178.124345944373
ABCA4|24	88	1.95706952869809	0.393484763692417
ABCA5|23461	1716	13.5708635464733	2.70981180744241
ABCA6|23460	2271	63.6969519343494	12.7557361328624
ABCA7|10347	2348	57.919794344473	11.567670416546
ABCA8|10351	7114	91.7088369594413	18.3099957722558
ABCA9|10350	1783	14.1116248348745	2.82119363974318
ABCB10|23456	1710	21.2266252266252	4.24388618437808
ABCB11|8647	8	0.116930572472594	0.0233428703519225
ABCB1|5243	3042	63.3611111111111	12.6515621814801
