miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27597	6117.976725	N
hsa-let-7a-2	55638	12334.383774	N
hsa-let-7a-3	27815	6166.305127	N
hsa-let-7b	87300	19353.530024	N
hsa-let-7c	5974	1324.375583	N
hsa-let-7d	1182	262.037486	N
hsa-let-7e	3968	879.665603	N
hsa-let-7f-1	103	22.834062	N
hsa-let-7f-2	26462	5866.358665	N
hsa-let-7g	2648	587.034908	N
hsa-let-7i	1802	399.485236	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	226	50.101922	N
hsa-mir-100	29778	6601.482440	N
hsa-mir-101-1	39854	8835.230075	N
hsa-mir-101-2	336	74.487813	N
hsa-mir-103-1	83226	18450.365290	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	28	6.207318	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.221690	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	48	10.641116	Y
hsa-mir-106b	1420	314.799687	N
hsa-mir-107	311	68.945565	Y
hsa-mir-10a	123260	27325.499551	N
hsa-mir-10b	16238	3599.800922	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.221690	N
hsa-mir-1180	104	23.055752	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.443380	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.221690	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.221690	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.221690	N
hsa-mir-1229	1	0.221690	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.221690	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	5	1.108450	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	106	23.499132	N
hsa-mir-1248	3	0.665070	N
hsa-mir-1249	4	0.886760	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.443380	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	0	0.000000	N
hsa-mir-1255a	4	0.886760	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.443380	N
hsa-mir-125a	3411	756.184317	N
hsa-mir-125b-1	2383	528.287080	N
hsa-mir-125b-2	41	9.089287	N
