miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	9968	20565.552699	N
hsa-let-7a-2	20058	41382.810598	Y
hsa-let-7a-3	10110	20858.521046	N
hsa-let-7b	70673	145809.521059	N
hsa-let-7c	4877	10062.018511	Y
hsa-let-7d	8167	16849.806270	N
hsa-let-7e	1308	2698.609845	N
hsa-let-7f-1	0	0.000000	N
hsa-let-7f-2	541	1116.168139	N
hsa-let-7g	135	278.526245	N
hsa-let-7i	360	742.736654	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	1296	2673.851956	N
hsa-mir-101-1	127	262.020986	N
hsa-mir-101-2	1	2.063157	N
hsa-mir-103-1	5435	11213.260325	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	1	2.063157	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	0	0.000000	N
hsa-mir-106b	479	988.252382	N
hsa-mir-107	15	30.947361	Y
hsa-mir-10a	1609	3319.620214	N
hsa-mir-10b	531	1095.536565	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	122	251.705200	N
hsa-mir-1181	6	12.378944	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	4.126315	N
hsa-mir-1225	1	2.063157	N
hsa-mir-1226	16	33.010518	N
hsa-mir-1227	4	8.252629	N
hsa-mir-1228	11	22.694731	N
hsa-mir-1229	2	4.126315	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	2.063157	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	2.063157	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	0	0.000000	N
hsa-mir-1246	1	2.063157	N
hsa-mir-1247	261	538.484074	N
hsa-mir-1248	15	30.947361	N
hsa-mir-1249	17	35.073675	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	2.063157	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	2.063157	N
hsa-mir-125a	3204	6610.356225	N
hsa-mir-125b-1	1124	2318.988888	N
hsa-mir-125b-2	30	61.894721	N
hsa-mir-126	541	1116.168139	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	2.063157	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	64	132.042072	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	4	8.252629	N
hsa-mir-127	945	1949.683718	N
hsa-mir-1270-1	5	10.315787	N
hsa-mir-1270-2	6	12.378944	N
hsa-mir-1271	7	14.442102	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	11	22.694731	N
hsa-mir-1275	3	6.189472	N
hsa-mir-1276	1	2.063157	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	34	70.147351	N
hsa-mir-128-2	7	14.442102	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	2.063157	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	19	39.199990	N
hsa-mir-1288	1	2.063157	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	2.063157	N
hsa-mir-129-2	3	6.189472	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	2.063157	N
hsa-mir-1292	7	14.442102	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	31	63.957879	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	58	119.663128	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	2.063157	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	74	152.673646	N
hsa-mir-1307	5546	11442.270794	N
hsa-mir-130a	11	22.694731	N
hsa-mir-130b	19	39.199990	N
hsa-mir-132	426	878.905041	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	5	10.315787	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	42	86.652610	Y
hsa-mir-133a-2	1	2.063157	Y
hsa-mir-133b	3	6.189472	Y
hsa-mir-134	235	484.841983	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	3	6.189472	N
hsa-mir-136	16	33.010518	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	4.126315	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	807	1664.968000	N
hsa-mir-140	1768	3647.662236	N
hsa-mir-141	26	53.642092	N
