miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54446	6919.397647	N
hsa-let-7a-2	108793	13826.213646	N
hsa-let-7a-3	54818	6966.674139	N
hsa-let-7b	217651	27660.687970	N
hsa-let-7c	34274	4355.791701	N
hsa-let-7d	6705	852.120656	N
hsa-let-7e	16520	2099.482958	N
hsa-let-7f-1	155	19.698539	N
hsa-let-7f-2	38202	4854.990796	N
hsa-let-7g	4066	516.737149	N
hsa-let-7i	7133	906.514040	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	174	22.113198	N
hsa-mir-100	62874	7990.489800	N
hsa-mir-101-1	60187	7649.006101	N
hsa-mir-101-2	378	48.039017	N
hsa-mir-103-1	250008	31772.853228	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	111	14.106695	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	15	1.906310	N
hsa-mir-105-2	27	3.431358	N
hsa-mir-106a	74	9.404464	Y
hsa-mir-106b	5015	637.343041	N
hsa-mir-107	647	82.225513	Y
hsa-mir-10a	1017697	129336.410881	N
hsa-mir-10b	108242	13756.188518	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.127087	N
hsa-mir-1180	644	81.844251	N
hsa-mir-1181	5	0.635437	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.127087	N
hsa-mir-1185-2	1	0.127087	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	16	2.033398	N
hsa-mir-1225	1	0.127087	N
hsa-mir-1226	29	3.685533	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.270873	N
hsa-mir-1229	29	3.685533	N
hsa-mir-1231	1	0.127087	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.254175	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.127087	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	0.508349	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	251	31.898924	N
hsa-mir-1248	7	0.889611	N
hsa-mir-1249	14	1.779223	N
hsa-mir-1250	2	0.254175	N
hsa-mir-1251	2	0.254175	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	7	0.889611	N
hsa-mir-1255a	1	0.127087	N
hsa-mir-1255b-1	0	0.000000	N
