miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21903	4206.416499	N
hsa-let-7a-2	43716	8395.548723	N
hsa-let-7a-3	22358	4293.798114	N
hsa-let-7b	54480	10462.748065	N
hsa-let-7c	8061	1548.094937	N
hsa-let-7d	4876	936.423634	N
hsa-let-7e	4603	883.994665	N
hsa-let-7f-1	53	10.178518	N
hsa-let-7f-2	21842	4194.701601	N
hsa-let-7g	2577	494.906420	N
hsa-let-7i	5118	982.899130	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	67	12.867183	N
hsa-mir-100	32293	6201.790075	N
hsa-mir-101-1	38550	7403.431313	N
hsa-mir-101-2	182	34.952646	N
hsa-mir-103-1	113580	21812.755603	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	38	7.297805	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	136	26.118461	N
hsa-mir-105-2	144	27.654841	N
hsa-mir-106a	61	11.714898	Y
hsa-mir-106b	4871	935.463396	N
hsa-mir-107	370	71.057577	Y
hsa-mir-10a	375592	72131.506449	N
hsa-mir-10b	56338	10819.572329	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	268	51.468731	N
hsa-mir-1181	2	0.384095	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.192048	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	1.344333	N
hsa-mir-1224	3	0.576143	N
hsa-mir-1225	1	0.192048	N
hsa-mir-1226	13	2.496618	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	2.304570	N
hsa-mir-1229	13	2.496618	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.384095	N
hsa-mir-1236	1	0.192048	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.192048	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.192048	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	377	72.401909	N
hsa-mir-1248	24	4.609140	N
hsa-mir-1249	15	2.880713	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	0	0.000000	N
hsa-mir-1255a	1	0.192048	N
hsa-mir-1255b-1	0	0.000000	N
