miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17040	5654.008523	N
hsa-let-7a-2	34084	11309.344278	N
hsa-let-7a-3	16991	5637.749930	N
hsa-let-7b	47148	15644.084145	N
hsa-let-7c	6425	2131.866476	N
hsa-let-7d	4615	1531.293975	N
hsa-let-7e	4100	1360.412849	N
hsa-let-7f-1	56	18.581249	N
hsa-let-7f-2	15071	5000.678547	N
hsa-let-7g	2832	939.680290	N
hsa-let-7i	4093	1358.090193	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	25	8.295200	N
hsa-mir-100	16297	5407.475170	N
hsa-mir-101-1	14511	4814.866061	N
hsa-mir-101-2	71	23.558369	N
hsa-mir-103-1	79441	26359.160274	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	67	22.231137	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	194	64.370754	N
hsa-mir-105-2	176	58.398210	N
hsa-mir-106a	59	19.576673	Y
hsa-mir-106b	3182	1055.813094	N
hsa-mir-107	336	111.487492	Y
hsa-mir-10a	58449	19393.846488	N
hsa-mir-10b	10696	3549.018495	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	246	81.624771	N
hsa-mir-1181	1	0.331808	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.331808	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.331808	N
hsa-mir-1224	1	0.331808	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	30	9.954240	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	2.986272	N
hsa-mir-1229	8	2.654464	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.331808	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.331808	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	9	2.986272	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	207	68.684258	N
hsa-mir-1248	15	4.977120	N
hsa-mir-1249	23	7.631584	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	5	1.659040	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	2	0.663616	N
hsa-mir-1255a	2	0.663616	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.331808	N
hsa-mir-125a	6065	2012.415592	N
hsa-mir-125b-1	8043	2668.731840	N
hsa-mir-125b-2	128	42.471426	N
hsa-mir-126	12925	4288.618554	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	2	0.663616	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.990848	N
hsa-mir-1263	0	0.000000	N
