miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	9841	5848.780410	N
hsa-let-7a-2	19581	11637.533706	N
hsa-let-7a-3	10027	5959.325390	N
hsa-let-7b	34107	20270.740111	N
hsa-let-7c	800	475.462283	N
hsa-let-7d	683	405.925924	N
hsa-let-7e	933	554.507888	N
hsa-let-7f-1	43	25.556098	N
hsa-let-7f-2	9168	5448.797764	N
hsa-let-7g	1012	601.459788	N
hsa-let-7i	811	481.999889	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	17	10.103574	N
hsa-mir-100	4445	2641.787310	N
hsa-mir-101-1	17177	10208.769545	N
hsa-mir-101-2	115	68.347703	N
hsa-mir-103-1	32346	19224.128760	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	16	9.509246	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	45	26.744753	Y
hsa-mir-106b	873	518.848216	N
hsa-mir-107	120	71.319342	Y
hsa-mir-10a	30090	17883.325122	N
hsa-mir-10b	5051	3001.949990	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	21	12.480885	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.594328	N
hsa-mir-1227	1	0.594328	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	5	2.971639	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	4.754623	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.594328	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1153	685.260015	N
hsa-mir-125b-1	453	269.230518	N
hsa-mir-125b-2	3	1.782984	N
hsa-mir-126	3209	1907.198083	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	1.782984	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	6.537606	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	487	289.437665	N
hsa-mir-1270-1	2	1.188656	N
hsa-mir-1270-2	3	1.782984	N
hsa-mir-1271	4	2.377311	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	1	0.594328	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.594328	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	99	58.838458	N
hsa-mir-128-2	65	38.631310	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.594328	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	31	18.424163	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	33	19.612819	N
hsa-mir-129-2	52	30.905048	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.594328	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	4	2.377311	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	24	14.263868	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.594328	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	21	12.480885	N
hsa-mir-1307	2474	1470.367110	N
hsa-mir-130a	105	62.404425	N
hsa-mir-130b	125	74.290982	N
hsa-mir-132	99	58.838458	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	5.943279	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	278	165.223143	N
hsa-mir-135a-1	1	0.594328	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	302	179.487012	N
hsa-mir-136	77	45.763245	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	4	2.377311	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	97	57.649802	N
hsa-mir-140	1744	1036.507777	N
hsa-mir-141	6728	3998.637801	N
