miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	65321	7139.854403	N
hsa-let-7a-2	132001	14428.253104	N
hsa-let-7a-3	65974	7211.229993	N
hsa-let-7b	111015	12134.396848	N
hsa-let-7c	2552	278.944113	N
hsa-let-7d	2530	276.539423	N
hsa-let-7e	15162	1657.269063	N
hsa-let-7f-1	142	15.521185	N
hsa-let-7f-2	76615	8374.335130	N
hsa-let-7g	6128	669.815645	N
hsa-let-7i	4235	462.902947	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	56	6.121031	N
hsa-mir-100	22223	2429.065452	N
hsa-mir-101-1	51127	5588.391728	N
hsa-mir-101-2	385	42.082086	N
hsa-mir-103-1	218731	23908.199405	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	69	7.541984	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	114	12.460670	Y
hsa-mir-106b	1797	196.419503	N
hsa-mir-107	1035	113.129764	Y
hsa-mir-10a	64342	7032.845669	N
hsa-mir-10b	23530	2571.925936	N
hsa-mir-1178	1	0.109304	N
hsa-mir-1179	1	0.109304	N
hsa-mir-1180	153	16.723530	N
hsa-mir-1181	1	0.109304	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.437216	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.765129	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.218608	N
hsa-mir-1229	2	0.218608	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
