miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	40155	5073.333709	N
hsa-let-7a-2	80474	10167.387795	N
hsa-let-7a-3	40140	5071.438553	N
hsa-let-7b	43648	5514.652465	N
hsa-let-7c	5841	737.973906	N
hsa-let-7d	2121	267.975116	N
hsa-let-7e	6168	779.288316	N
hsa-let-7f-1	166	20.973064	N
hsa-let-7f-2	63286	7995.791237	N
hsa-let-7g	5718	722.433623	N
hsa-let-7i	4089	516.619637	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	128	16.172001	N
hsa-mir-100	45577	5758.369579	N
hsa-mir-101-1	72747	9191.129556	N
hsa-mir-101-2	562	71.005193	N
hsa-mir-103-1	169449	21408.823899	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	74	9.349438	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	2	0.252688	N
hsa-mir-105-2	2	0.252688	N
hsa-mir-106a	116	14.655876	Y
hsa-mir-106b	2333	294.759994	N
hsa-mir-107	766	96.779321	Y
hsa-mir-10a	135887	17168.474604	N
hsa-mir-10b	20459	2584.866999	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	98	12.381689	N
hsa-mir-1181	1	0.126344	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.126344	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.126344	N
hsa-mir-1225	1	0.126344	N
hsa-mir-1226	21	2.653219	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.884406	N
hsa-mir-1229	17	2.147844	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.126344	N
hsa-mir-1236	1	0.126344	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	13	1.642469	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	42	5.306438	N
hsa-mir-1248	9	1.137094	N
hsa-mir-1249	6	0.758063	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.379031	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	5	0.631719	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.379031	N
hsa-mir-125a	3411	430.958568	N
hsa-mir-125b-1	2811	355.152311	N
hsa-mir-125b-2	48	6.064501	N
hsa-mir-126	14222	1796.860964	N
hsa-mir-1260	1	0.126344	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.126344	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	38	4.801063	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1127	142.389418	N
hsa-mir-127	1608	203.160767	N
hsa-mir-1270-1	1	0.126344	N
hsa-mir-1270-2	1	0.126344	N
hsa-mir-1271	7	0.884406	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	2	0.252688	N
hsa-mir-1275	1	0.126344	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	10	1.263438	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	339	42.830535	N
hsa-mir-128-2	231	29.185409	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.505375	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	133	16.803720	N
hsa-mir-1288	1	0.126344	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.010750	N
hsa-mir-129-2	11	1.389781	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.126344	N
hsa-mir-1292	1	0.126344	N
hsa-mir-1293	3	0.379031	N
hsa-mir-1294	3	0.379031	N
hsa-mir-1295	3	0.379031	N
hsa-mir-1296	9	1.137094	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.126344	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	70	8.844063	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.252688	N
hsa-mir-1305	2	0.252688	N
hsa-mir-1306	17	2.147844	N
hsa-mir-1307	6729	850.167165	N
hsa-mir-130a	576	72.774006	N
hsa-mir-130b	117	14.782220	N
hsa-mir-132	1026	129.628698	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	54	6.822563	Y
hsa-mir-133a-2	2	0.252688	Y
hsa-mir-133b	7	0.884406	Y
hsa-mir-134	357	45.104723	N
hsa-mir-135a-1	5	0.631719	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	504	63.677255	N
hsa-mir-136	205	25.900471	N
hsa-mir-137	6	0.758063	N
hsa-mir-138-1	33	4.169344	N
hsa-mir-138-2	26	3.284938	N
hsa-mir-139	503	63.550912	N
hsa-mir-140	8019	1013.150617	N
hsa-mir-141	8198	1035.766150	N
hsa-mir-142	32819	4146.475881	N
hsa-mir-143	296413	37449.933126	N
hsa-mir-144	1325	167.405483	N
hsa-mir-145	7570	956.422268	N
hsa-mir-1468	21	2.653219	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2693	340.243747	N
hsa-mir-146b	27300	3449.184666	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	31	3.916657	N
hsa-mir-148a	330969	41815.868119	N
hsa-mir-148b	816	103.096509	N
hsa-mir-149	107	13.518782	N
hsa-mir-150	14472	1828.446904	N
hsa-mir-151	8232	1040.061838	N
hsa-mir-152	977	123.437854	N
hsa-mir-153-1	7	0.884406	N
hsa-mir-153-2	47	5.938157	N
hsa-mir-1537	4	0.505375	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	27	3.411282	N
hsa-mir-155	6071	767.032971	N
hsa-mir-15a	2184	275.934773	N
hsa-mir-15b	1443	182.314047	N
hsa-mir-16-1	3376	426.536536	N
hsa-mir-16-2	48	6.064501	N
hsa-mir-17	3738	472.272977	Y
hsa-mir-181a-1	18356	2319.166071	N
hsa-mir-181a-2	4372	552.374922	N
hsa-mir-181b-1	3732	471.514915	N
hsa-mir-181b-2	58	7.327938	N
hsa-mir-181c	796	100.569633	N
hsa-mir-181d	157	19.835970	N
hsa-mir-182	95995	12128.369304	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	44310	5598.292035	N
hsa-mir-184	24	3.032250	N
hsa-mir-185	983	124.195917	N
hsa-mir-186	2064	260.773522	N
hsa-mir-187	16	2.021500	N
hsa-mir-188	18	2.274188	N
hsa-mir-18a	71	8.970407	N
hsa-mir-18b	0	0.000000	N
hsa-mir-190	13	1.642469	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	3	0.379031	N
hsa-mir-191	2736	345.676529	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.126344	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1354	171.069452	Y
hsa-mir-193a	1020	128.870636	N
hsa-mir-193b	369	46.620848	N
hsa-mir-194-1	452	57.107380	N
hsa-mir-194-2	481	60.771349	N
hsa-mir-195	309	39.040222	N
hsa-mir-196a-1	8	1.010750	N
hsa-mir-196a-2	1	0.126344	N
hsa-mir-196b	125	15.792970	N
hsa-mir-197	1435	181.303297	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	88	11.118251	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	11337	1432.359215	Y
hsa-mir-199a-2	17481	2208.615280	Y
hsa-mir-199b	20132	2543.552589	Y
hsa-mir-19a	295	37.271409	N
hsa-mir-19b-1	39	4.927407	N
hsa-mir-19b-2	1192	150.601763	N
hsa-mir-200a	3559	449.657444	N
hsa-mir-200b	3354	423.756973	N
hsa-mir-200c	49993	6316.303626	N
hsa-mir-202	2	0.252688	N
hsa-mir-203	12755	1611.514667	N
hsa-mir-204	15	1.895156	N
hsa-mir-205	638	80.607319	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.252688	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2187	276.313805	N
hsa-mir-20b	47	5.938157	N
hsa-mir-21	4658169	588530.589214	N
hsa-mir-210	4106	518.767481	N
hsa-mir-211	2	0.252688	N
hsa-mir-2110	12	1.516125	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.126344	N
hsa-mir-2115	1	0.126344	N
