miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21045	4040.262478	N
hsa-let-7a-2	41957	8054.991342	Y
hsa-let-7a-3	21223	4074.435285	N
hsa-let-7b	35704	6854.527513	N
hsa-let-7c	7203	1382.846787	Y
hsa-let-7d	3615	694.015151	N
hsa-let-7e	5209	1000.034557	N
hsa-let-7f-1	111	21.310009	N
hsa-let-7f-2	31605	6067.593044	N
hsa-let-7g	4865	933.992728	N
hsa-let-7i	2749	527.758686	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	100	19.198206	N
hsa-mir-100	17969	3449.725658	N
hsa-mir-101-1	40929	7857.633783	N
hsa-mir-101-2	240	46.075695	N
hsa-mir-103-1	151377	29061.668478	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	68	13.054780	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	9	1.727839	N
hsa-mir-105-2	8	1.535856	N
hsa-mir-106a	176	33.788843	Y
hsa-mir-106b	2739	525.838866	N
hsa-mir-107	641	123.060501	Y
hsa-mir-10a	136259	26159.283677	N
hsa-mir-10b	65271	12530.861116	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	194	37.244520	N
hsa-mir-1181	3	0.575946	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	2.303785	N
hsa-mir-1185-2	4	0.767928	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.191982	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.191982	N
hsa-mir-1224	2	0.383964	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	5.375498	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.575946	N
hsa-mir-1229	8	1.535856	N
hsa-mir-1231	1	0.191982	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	0.767928	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	41	7.871265	N
hsa-mir-1248	10	1.919821	N
hsa-mir-1249	4	0.767928	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.767928	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	12	2.303785	N
hsa-mir-1255a	4	0.767928	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.767928	N
hsa-mir-125a	4198	805.940693	N
hsa-mir-125b-1	3076	590.536820	N
hsa-mir-125b-2	49	9.407121	N
hsa-mir-126	11038	2119.097991	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.959910	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	46	8.831175	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	129	24.765686	N
hsa-mir-127	11600	2226.991910	N
hsa-mir-1270-1	7	1.343874	N
hsa-mir-1270-2	6	1.151892	N
hsa-mir-1271	18	3.455677	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	17	3.263695	N
hsa-mir-1275	2	0.383964	N
hsa-mir-1276	2	0.383964	N
hsa-mir-1277	8	1.535856	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	306	58.746511	N
hsa-mir-128-2	222	42.620018	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.575946	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	327	62.778134	N
hsa-mir-1288	2	0.383964	N
hsa-mir-1289-1	1	0.191982	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.767928	N
hsa-mir-129-2	4	0.767928	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.767928	N
hsa-mir-1292	6	1.151892	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.191982	N
hsa-mir-1295	4	0.767928	N
hsa-mir-1296	28	5.375498	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.191982	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	92	17.662350	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.575946	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	69	13.246762	N
hsa-mir-1307	5445	1045.342323	N
hsa-mir-130a	599	114.997255	N
hsa-mir-130b	208	39.932269	N
hsa-mir-132	339	65.081919	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	74	14.206673	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	1	0.191982	Y
hsa-mir-134	2856	548.300767	N
hsa-mir-135a-1	11	2.111803	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	696	133.619515	N
hsa-mir-136	2568	493.009933	N
hsa-mir-137	18	3.455677	N
hsa-mir-138-1	81	15.550547	N
hsa-mir-138-2	51	9.791085	N
hsa-mir-139	305	58.554529	N
hsa-mir-140	4987	957.414539	N
hsa-mir-141	5062	971.813194	N
hsa-mir-142	9849	1890.831321	N
hsa-mir-143	201323	38650.404506	N
hsa-mir-144	276	52.987049	N
hsa-mir-145	10209	1959.944863	N
hsa-mir-1468	19	3.647659	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	908	174.319712	N
hsa-mir-146b	3597	690.559474	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	16	3.071713	N
hsa-mir-148a	309707	59458.188227	N
hsa-mir-148b	1018	195.437738	N
hsa-mir-149	855	164.144662	N
hsa-mir-150	3601	691.327402	N
hsa-mir-151	12032	2309.928160	N
hsa-mir-152	727	139.570958	N
hsa-mir-153-1	4	0.767928	N
hsa-mir-153-2	26	4.991534	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.191982	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	321	61.626242	N
hsa-mir-155	1786	342.879961	N
hsa-mir-15a	666	127.860053	N
hsa-mir-15b	1192	228.842617	N
hsa-mir-16-1	1749	335.776625	N
hsa-mir-16-2	37	7.103336	N
hsa-mir-17	2169	416.409091	Y
hsa-mir-181a-1	27392	5258.772620	N
hsa-mir-181a-2	4276	820.915294	N
hsa-mir-181b-1	5601	1075.291525	N
hsa-mir-181b-2	70	13.438744	N
hsa-mir-181c	1097	210.604321	N
hsa-mir-181d	267	51.259210	N
hsa-mir-182	214911	41259.056754	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	124447	23891.591570	N
hsa-mir-184	7	1.343874	N
hsa-mir-185	504	96.758959	N
hsa-mir-186	1904	365.533845	N
hsa-mir-187	1198	229.994509	N
hsa-mir-188	10	1.919821	N
hsa-mir-18a	53	10.175049	Y
hsa-mir-18b	11	2.111803	Y
hsa-mir-190	28	5.375498	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	7	1.343874	N
hsa-mir-191	3547	680.960371	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.191982	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	2	0.383964	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	944	181.231066	Y
hsa-mir-193a	768	147.442223	N
hsa-mir-193b	453	86.967874	N
hsa-mir-194-1	244	46.843623	N
hsa-mir-194-2	278	53.371013	N
hsa-mir-195	261	50.107318	N
hsa-mir-196a-1	755	144.946456	N
hsa-mir-196a-2	151	28.989291	N
hsa-mir-196b	74	14.206673	N
hsa-mir-197	2488	477.651368	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	68	13.054780	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	8520	1635.687161	Y
hsa-mir-199a-2	12809	2459.098222	Y
hsa-mir-199b	14507	2785.083762	Y
hsa-mir-19a	223	42.812000	N
hsa-mir-19b-1	20	3.839641	N
hsa-mir-19b-2	890	170.864034	N
hsa-mir-200a	9595	1842.067877	N
hsa-mir-200b	8190	1572.333081	N
hsa-mir-200c	28324	5437.699901	N
hsa-mir-202	0	0.000000	N
hsa-mir-203	7666	1471.734481	N
hsa-mir-204	29	5.567480	N
hsa-mir-205	20792	3991.691016	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.575946	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1038	199.277380	N
hsa-mir-20b	513	98.486797	N
hsa-mir-21	2277261	437193.260662	N
hsa-mir-210	10872	2087.228969	N
hsa-mir-211	1	0.191982	N
hsa-mir-2110	3	0.575946	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	7	1.343874	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	9	1.727839	N
hsa-mir-214	256	49.147408	N
hsa-mir-215	14	2.687749	Y
hsa-mir-216a	1	0.191982	N
hsa-mir-216b	1	0.191982	N
hsa-mir-217	57	10.942977	N
hsa-mir-218-1	2	0.383964	N
hsa-mir-218-2	245	47.035605	N
hsa-mir-219-1	18	3.455677	N
hsa-mir-219-2	1	0.191982	N
hsa-mir-22	301763	57933.082733	N
hsa-mir-221	1494	286.821199	N
hsa-mir-222	557	106.934008	N
hsa-mir-223	726	139.378976	N
hsa-mir-224	590	113.269416	N
hsa-mir-2276	1	0.191982	N
hsa-mir-2277	12	2.303785	N
hsa-mir-2278	1	0.191982	N
hsa-mir-2355	213	40.892179	N
hsa-mir-23a	13676	2625.546669	Y
hsa-mir-23b	6598	1266.697640	Y
hsa-mir-23c	2	0.383964	N
hsa-mir-24-1	178	34.172807	N
