miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27152	4614.315799	N
hsa-let-7a-2	54335	9233.899858	N
hsa-let-7a-3	27378	4652.723113	N
hsa-let-7b	64537	10967.667160	N
hsa-let-7c	9152	1555.326245	N
hsa-let-7d	1784	303.179854	N
hsa-let-7e	5571	946.757267	N
hsa-let-7f-1	140	23.792141	N
hsa-let-7f-2	39119	6648.034021	N
hsa-let-7g	3353	569.821776	N
hsa-let-7i	3882	659.722081	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	251	42.655910	N
hsa-mir-100	37255	6331.258659	N
hsa-mir-101-1	64737	11001.655933	N
hsa-mir-101-2	520	88.370809	N
hsa-mir-103-1	148542	25243.801467	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	69	11.726127	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	12	2.039326	N
hsa-mir-105-2	11	1.869383	N
hsa-mir-106a	144	24.471916	Y
hsa-mir-106b	2543	432.167247	N
hsa-mir-107	454	77.154514	Y
hsa-mir-10a	173191	29432.747775	N
hsa-mir-10b	72546	12328.747568	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	96	16.314611	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.339888	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	34	5.778091	N
hsa-mir-1224	3	0.509832	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.169944	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	3	0.509832	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.169944	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	6	1.019663	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	141	23.962085	N
hsa-mir-1248	24	4.078653	N
hsa-mir-1249	7	1.189607	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	8	1.359551	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.849719	N
hsa-mir-125a	4098	696.429955	N
hsa-mir-125b-1	3369	572.540878	N
hsa-mir-125b-2	78	13.255621	N
hsa-mir-126	13085	2223.715462	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.849719	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	33	5.608148	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2	0.339888	N
hsa-mir-127	2197	373.366670	N
hsa-mir-1270-1	5	0.849719	N
hsa-mir-1270-2	4	0.679775	N
hsa-mir-1271	9	1.529495	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	8	1.359551	N
hsa-mir-1275	1	0.169944	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	6	1.019663	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	433	73.585693	N
hsa-mir-128-2	306	52.002822	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.169944	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.169944	N
hsa-mir-1287	563	95.678396	N
hsa-mir-1288	1	0.169944	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.339888	N
hsa-mir-129-2	7	1.189607	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.679775	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	2	0.339888	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	7	1.189607	N
