miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13985	2773.805439	N
hsa-let-7a-2	28151	5583.510684	N
hsa-let-7a-3	14175	2811.490318	N
hsa-let-7b	14060	2788.681049	N
hsa-let-7c	3485	691.220018	N
hsa-let-7d	942	186.837663	N
hsa-let-7e	5126	1016.698368	N
hsa-let-7f-1	56	11.107122	N
hsa-let-7f-2	15657	3105.432374	N
hsa-let-7g	2152	426.830841	N
hsa-let-7i	1050	208.258542	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	30	5.950244	N
hsa-mir-100	8482	1682.332337	N
hsa-mir-101-1	20547	4075.322156	N
hsa-mir-101-2	154	30.544586	N
hsa-mir-103-1	151762	30100.697964	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	96	19.040781	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	3457	685.666457	N
hsa-mir-105-2	3358	666.030652	N
hsa-mir-106a	25	4.958537	Y
hsa-mir-106b	4844	960.766074	N
hsa-mir-107	829	164.425078	Y
hsa-mir-10a	34422	6827.310033	N
hsa-mir-10b	49514	9820.679478	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.198341	N
hsa-mir-1180	409	81.121661	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.198341	N
hsa-mir-1185-2	1	0.198341	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	34	6.743610	N
hsa-mir-1224	2	0.396683	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	5.751903	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.586732	N
hsa-mir-1229	25	4.958537	N
hsa-mir-1231	1	0.198341	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.396683	N
hsa-mir-1236	2	0.396683	N
hsa-mir-1237	1	0.198341	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	6	1.190049	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	10	1.983415	N
hsa-mir-1248	11	2.181756	N
hsa-mir-1249	21	4.165171	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	18	3.570146	N
hsa-mir-1255a	9	1.785073	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.198341	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3377	669.799140	N
hsa-mir-125b-1	2008	398.269669	N
hsa-mir-125b-2	63	12.495513	N
hsa-mir-126	15819	3137.563692	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	1	0.198341	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.991707	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.396683	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	102	20.230830	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2	0.396683	N
hsa-mir-127	1023	202.903322	N
hsa-mir-1270-1	20	3.966829	N
hsa-mir-1270-2	25	4.958537	N
hsa-mir-1271	7	1.388390	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	11	2.181756	N
hsa-mir-1275	2	0.396683	N
hsa-mir-1276	5	0.991707	N
hsa-mir-1277	13	2.578439	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	489	96.988978	N
hsa-mir-128-2	404	80.129953	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.198341	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.198341	N
hsa-mir-1287	801	158.871516	N
hsa-mir-1288	4	0.793366	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.991707	N
hsa-mir-129-2	8	1.586732	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	1.190049	N
hsa-mir-1292	5	0.991707	N
