miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21616	3613.462488	N
hsa-let-7a-2	42666	7132.308962	Y
hsa-let-7a-3	21578	3607.110176	N
hsa-let-7b	45549	7614.248837	N
hsa-let-7c	2998	501.163978	Y
hsa-let-7d	2698	451.014147	N
hsa-let-7e	3883	649.105979	N
hsa-let-7f-1	71	11.868793	N
hsa-let-7f-2	26748	4471.358930	N
hsa-let-7g	3834	640.914840	N
hsa-let-7i	3388	566.358758	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	52	8.692637	N
hsa-mir-100	64092	10714.009890	Y
hsa-mir-101-1	58992	9861.462764	N
hsa-mir-101-2	156	26.077912	N
hsa-mir-103-1	60234	10069.083064	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	65	10.865797	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.167166	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	22	3.677654	Y
hsa-mir-106b	6885	1150.938621	N
hsa-mir-107	332	55.499146	Y
hsa-mir-10a	124845	20869.852162	N
hsa-mir-10b	22538	3767.589635	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.167166	N
hsa-mir-1180	176	29.421234	N
hsa-mir-1181	1	0.167166	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.501498	N
hsa-mir-1185-2	2	0.334332	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.501498	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	2.173159	N
hsa-mir-1229	3	0.501498	N
hsa-mir-1231	1	0.167166	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.167166	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.167166	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	6	1.002997	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	28	4.680651	N
hsa-mir-1248	18	3.008990	N
hsa-mir-1249	18	3.008990	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.167166	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.668664	N
hsa-mir-125a	2864	478.763720	N
hsa-mir-125b-1	4975	831.651364	N
hsa-mir-125b-2	33	5.516481	N
hsa-mir-126	31251	5224.107893	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	1	0.167166	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.337329	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	53	8.859803	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	5	0.835831	N
hsa-mir-127	4867	813.597425	N
hsa-mir-1270-1	4	0.668664	N
hsa-mir-1270-2	4	0.668664	N
hsa-mir-1271	18	3.008990	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	68	11.367295	N
hsa-mir-1275	1	0.167166	N
hsa-mir-1276	1	0.167166	N
hsa-mir-1277	19	3.176156	N
hsa-mir-1278	1	0.167166	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	501	83.750218	N
hsa-mir-128-2	345	57.672306	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.334332	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	263	43.964685	N
hsa-mir-1288	3	0.501498	N
hsa-mir-1289-1	2	0.334332	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	16	2.674658	N
hsa-mir-129-2	23	3.844820	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.835831	N
hsa-mir-1292	3	0.501498	N
hsa-mir-1293	15	2.507492	N
hsa-mir-1294	1	0.167166	N
hsa-mir-1295	3	0.501498	N
hsa-mir-1296	44	7.355309	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	10.364298	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	1.002997	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	41	6.853810	N
hsa-mir-1307	5833	975.079880	N
hsa-mir-130a	1230	205.614307	N
hsa-mir-130b	310	51.821492	N
hsa-mir-132	616	102.974320	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	29	4.847817	Y
hsa-mir-133a-2	3	0.501498	Y
hsa-mir-133b	8	1.337329	Y
hsa-mir-134	1450	242.390850	N
hsa-mir-135a-1	1	0.167166	N
hsa-mir-135a-2	1	0.167166	N
hsa-mir-135b	219	36.609377	N
hsa-mir-136	379	63.355953	N
hsa-mir-137	1	0.167166	N
hsa-mir-138-1	137	22.901756	N
hsa-mir-138-2	95	15.880780	N
hsa-mir-139	215	35.940712	N
hsa-mir-140	6498	1086.245339	N
hsa-mir-141	5384	900.022300	N
hsa-mir-142	39341	6576.481668	N
hsa-mir-143	456337	76284.078064	N
hsa-mir-144	194	32.430224	N
hsa-mir-145	14707	2458.511881	N
hsa-mir-1468	23	3.844820	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1308	218.653263	N
hsa-mir-146b	4901	819.281072	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	20	3.343322	N
hsa-mir-148a	754677	126156.413311	N
hsa-mir-148b	918	153.458483	N
hsa-mir-149	331	55.331980	N
hsa-mir-150	8088	1352.039443	N
hsa-mir-151	10104	1689.046307	N
hsa-mir-152	2111	352.887644	N
hsa-mir-153-1	6	1.002997	N
hsa-mir-153-2	84	14.041953	N
hsa-mir-1537	4	0.668664	N
hsa-mir-1538	3	0.501498	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	41	6.853810	N
hsa-mir-155	8256	1380.123349	N
hsa-mir-15a	860	143.762849	N
hsa-mir-15b	1223	204.444144	N
hsa-mir-16-1	3599	601.630806	N
hsa-mir-16-2	99	16.549444	N
hsa-mir-17	2943	491.969842	Y
hsa-mir-181a-1	15094	2523.205163	N
hsa-mir-181a-2	6551	1095.105142	N
hsa-mir-181b-1	3614	604.138297	N
hsa-mir-181b-2	39	6.519478	N
hsa-mir-181c	583	97.457838	N
hsa-mir-181d	88	14.710617	N
hsa-mir-182	42251	7062.935029	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	29221	4884.760703	N
hsa-mir-184	2	0.334332	N
hsa-mir-185	447	74.723248	N
hsa-mir-186	1417	236.874368	N
hsa-mir-187	29	4.847817	N
hsa-mir-188	25	4.179153	N
hsa-mir-18a	166	27.749573	N
hsa-mir-18b	0	0.000000	N
hsa-mir-190	10	1.671661	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	4	0.668664	N
hsa-mir-191	2762	461.712777	N
hsa-mir-1910	11	1.838827	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.167166	N
hsa-mir-1914	1	0.167166	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1395	233.196714	Y
