miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12709	4043.677701	N
hsa-let-7a-2	25378	8074.628428	N
hsa-let-7a-3	12740	4053.541105	N
hsa-let-7b	18862	6001.404422	N
hsa-let-7c	3973	1264.106657	N
hsa-let-7d	1455	462.943666	N
hsa-let-7e	3418	1087.519898	N
hsa-let-7f-1	52	16.545066	N
hsa-let-7f-2	24045	7650.502031	N
hsa-let-7g	1646	523.714965	N
hsa-let-7i	1927	613.121955	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	27	8.590707	N
hsa-mir-100	7528	2395.216440	N
hsa-mir-101-1	17043	5422.645295	N
hsa-mir-101-2	98	31.181085	N
hsa-mir-103-1	53615	17058.917297	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	20	6.363487	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	165	52.498766	N
hsa-mir-105-2	162	51.544243	N
hsa-mir-106a	151	48.044326	Y
hsa-mir-106b	1616	514.169735	N
hsa-mir-107	263	83.679852	Y
hsa-mir-10a	658742	209594.801795	N
hsa-mir-10b	17067	5430.281479	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	84	26.726645	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.636349	N
hsa-mir-1185-2	1	0.318174	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.954523	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.318174	N
hsa-mir-1229	2	0.636349	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.318174	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.636349	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	1.272697	N
hsa-mir-1246	2	0.636349	N
hsa-mir-1247	13	4.136266	N
hsa-mir-1248	24	7.636184	N
hsa-mir-1249	4	1.272697	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.318174	N
hsa-mir-1255a	1	0.318174	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.318174	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.318174	N
hsa-mir-125a	1724	548.532564	N
hsa-mir-125b-1	1103	350.946298	N
hsa-mir-125b-2	49	15.590543	N
hsa-mir-126	6978	2220.220552	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.636349	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	92	29.272039	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2574	818.980754	N
hsa-mir-127	1255	399.308798	N
hsa-mir-1270-1	10	3.181743	N
hsa-mir-1270-2	16	5.090789	N
hsa-mir-1271	5	1.590872	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	2	0.636349	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.318174	N
hsa-mir-1277	5	1.590872	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	374	118.997204	N
hsa-mir-128-2	253	80.498108	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.318174	N
hsa-mir-1285-1	1	0.318174	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	136	43.271710	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	1.272697	N
hsa-mir-129-2	5	1.590872	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.954523	N
hsa-mir-1292	4	1.272697	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	9	2.863569	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	88	27.999342	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	15	4.772615	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	54	17.181414	N
hsa-mir-1307	5014	1595.326146	N
hsa-mir-130a	154	48.998849	N
hsa-mir-130b	73	23.226727	N
hsa-mir-132	197	62.680345	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	22	6.999836	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	364	115.815460	N
hsa-mir-135a-1	6	1.909046	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	65	20.681332	N
hsa-mir-136	58	18.454112	N
hsa-mir-137	2	0.636349	N
hsa-mir-138-1	2	0.636349	N
hsa-mir-138-2	4	1.272697	N
hsa-mir-139	141	44.862582	N
hsa-mir-140	2182	694.256412	N
hsa-mir-141	4252	1352.877298	N
hsa-mir-142	9095	2893.795632	N
hsa-mir-143	102386	32576.598086	N
hsa-mir-144	447	142.223930	N
hsa-mir-145	2348	747.073353	N
hsa-mir-1468	38	12.090625	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	382	121.542598	N
hsa-mir-146b	2960	941.796050	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	40	12.726974	N
hsa-mir-148a	116771	37153.535983	N
hsa-mir-148b	490	155.905427	N
hsa-mir-149	149	47.407977	N
hsa-mir-150	3978	1265.697529	N
hsa-mir-151	8914	2836.206076	N
hsa-mir-152	796	253.266776	N
hsa-mir-153-1	3	0.954523	N
hsa-mir-153-2	56	17.817763	N
hsa-mir-1537	4	1.272697	N
