miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	39483	5024.183088	N
hsa-let-7a-2	79038	10057.528124	N
hsa-let-7a-3	39817	5066.684346	N
hsa-let-7b	74598	9492.541347	N
hsa-let-7c	4356	554.297838	N
hsa-let-7d	3734	475.148789	N
hsa-let-7e	7778	989.744854	N
hsa-let-7f-1	138	17.560400	N
hsa-let-7f-2	48328	6149.702917	N
hsa-let-7g	4612	586.873652	N
hsa-let-7i	3744	476.421282	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	93	11.834182	N
hsa-mir-100	133168	16945.531330	Y
hsa-mir-101-1	128256	16320.482896	N
hsa-mir-101-2	376	47.845727	N
hsa-mir-103-1	117254	14920.486382	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	82	10.434440	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	3	0.381748	N
hsa-mir-105-2	1	0.127249	N
hsa-mir-106a	68	8.652951	Y
hsa-mir-106b	4971	632.556141	N
hsa-mir-107	512	65.151628	Y
hsa-mir-10a	136581	17379.833102	N
hsa-mir-10b	76541	9739.786687	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	207	26.340600	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.508997	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.654241	N
hsa-mir-1227	1	0.127249	N
hsa-mir-1228	7	0.890745	N
hsa-mir-1229	8	1.017994	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.127249	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.127249	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	12	1.526991	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	135	17.178652	N
hsa-mir-1248	14	1.781490	N
hsa-mir-1249	25	3.181232	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.254499	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.127249	N
hsa-mir-1255a	9	1.145243	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.254499	N
hsa-mir-125a	5507	700.761752	N
hsa-mir-125b-1	6601	839.972458	N
hsa-mir-125b-2	41	5.217220	N
hsa-mir-126	25335	3223.860359	N
hsa-mir-1260	0	0.000000	N
