miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27158	7880.298847	N
hsa-let-7a-2	53577	15546.165819	N
hsa-let-7a-3	27251	7907.284184	N
hsa-let-7b	71100	20630.725679	N
hsa-let-7c	6004	1742.150168	N
hsa-let-7d	4729	1372.189898	N
hsa-let-7e	5718	1659.163002	N
hsa-let-7f-1	46	13.347586	N
hsa-let-7f-2	28739	8339.049582	N
hsa-let-7g	3309	960.155714	N
hsa-let-7i	1460	423.640780	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	11	3.191814	N
hsa-mir-100	12366	3588.179378	Y
hsa-mir-101-1	61440	17827.732570	N
hsa-mir-101-2	123	35.690285	N
hsa-mir-103-1	54096	15696.761411	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	51	14.798411	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.290165	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	276	80.085517	Y
hsa-mir-106b	4930	1430.513046	N
hsa-mir-107	281	81.536342	Y
hsa-mir-10a	63633	18464.064236	N
hsa-mir-10b	35349	10257.039691	N
hsa-mir-1178	1	0.290165	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	120	34.819790	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.580330	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.580330	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	2.321319	N
hsa-mir-1227	1	0.290165	N
hsa-mir-1228	8	2.321319	N
hsa-mir-1229	4	1.160660	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.290165	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	1.160660	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	41	11.896762	N
hsa-mir-1248	19	5.513133	N
hsa-mir-1249	11	3.191814	N
hsa-mir-1250	1	0.290165	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	1.160660	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.870495	N
hsa-mir-125a	2703	784.315774	N
hsa-mir-125b-1	1564	453.817932	N
hsa-mir-125b-2	94	27.275502	N
hsa-mir-126	11969	3472.983905	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.870495	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	38	11.026267	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1	0.290165	N
hsa-mir-127	2142	621.533255	N
hsa-mir-1270-1	3	0.870495	N
hsa-mir-1270-2	3	0.870495	N
hsa-mir-1271	10	2.901649	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	15	4.352474	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.290165	N
hsa-mir-1277	8	2.321319	N
hsa-mir-1278	1	0.290165	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	720	208.918741	N
hsa-mir-128-2	515	149.434933	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	1	0.290165	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	254	73.701889	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	2.031154	N
hsa-mir-129-2	2	0.580330	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.870495	N
hsa-mir-1292	2	0.580330	N
hsa-mir-1293	0	0.000000	N
