miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28980	5644.380647	N
hsa-let-7a-2	57823	11262.078059	Y
hsa-let-7a-3	29185	5684.308115	N
hsa-let-7b	74526	14515.290273	N
hsa-let-7c	13006	2533.154406	Y
hsa-let-7d	2595	505.423319	N
hsa-let-7e	4373	851.721069	N
hsa-let-7f-1	67	13.049465	N
hsa-let-7f-2	31771	6187.978521	N
hsa-let-7g	2738	533.275163	N
hsa-let-7i	2757	536.975757	N
hsa-mir-1-1	2	0.389536	N
hsa-mir-1-2	207	40.317005	N
hsa-mir-100	45305	8823.970504	Y
hsa-mir-101-1	126334	24605.837980	N
hsa-mir-101-2	312	60.767659	N
hsa-mir-103-1	69510	13538.333291	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	38	7.401189	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	6	1.168609	N
hsa-mir-105-2	10	1.947681	N
hsa-mir-106a	39	7.595957	Y
hsa-mir-106b	2752	536.001917	N
hsa-mir-107	375	73.038052	Y
hsa-mir-10a	113997	22202.983458	N
hsa-mir-10b	66388	12930.267163	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.389536	N
hsa-mir-1180	270	52.587397	N
hsa-mir-1181	2	0.389536	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.194768	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.194768	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	10	1.947681	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.973841	N
hsa-mir-1227	1	0.194768	N
hsa-mir-1228	11	2.142450	N
hsa-mir-1229	2	0.389536	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	2	0.389536	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	375	73.038052	N
hsa-mir-1248	7	1.363377	N
hsa-mir-1249	6	1.168609	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.779073	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.194768	N
hsa-mir-1255a	1	0.194768	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.973841	N
hsa-mir-125a	3958	770.892291	N
hsa-mir-125b-1	4149	808.093006	N
hsa-mir-125b-2	129	25.125090	N
hsa-mir-126	37688	7340.421595	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	1	0.194768	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.973841	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	54	10.517479	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	11	2.142450	N
hsa-mir-127	5292	1030.712988	N
hsa-mir-1270-1	1	0.194768	N
hsa-mir-1270-2	2	0.389536	N
hsa-mir-1271	11	2.142450	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	26	5.063972	N
hsa-mir-1275	1	0.194768	N
hsa-mir-1276	1	0.194768	N
hsa-mir-1277	8	1.558145	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	318	61.936268	N
hsa-mir-128-2	238	46.354817	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	248	48.302498	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	23	4.479667	N
hsa-mir-129-2	17	3.311058	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.389536	N
hsa-mir-1292	2	0.389536	N
hsa-mir-1293	1	0.194768	N
hsa-mir-1294	1	0.194768	N
hsa-mir-1295	4	0.779073	N
hsa-mir-1296	26	5.063972	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	55	10.712248	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
