miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	20916	6877.313153	N
hsa-let-7a-2	41863	13764.819301	N
hsa-let-7a-3	21366	7025.276000	N
hsa-let-7b	25174	8277.370496	N
hsa-let-7c	2488	818.070144	N
hsa-let-7d	5975	1964.617809	N
hsa-let-7e	5666	1863.016653	N
hsa-let-7f-1	168	55.239463	N
hsa-let-7f-2	47521	15625.205504	N
hsa-let-7g	4382	1440.829328	N
hsa-let-7i	2163	711.208087	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.328806	N
hsa-mir-100	15214	5002.459471	Y
hsa-mir-101-1	15627	5138.256485	N
hsa-mir-101-2	102	33.538245	N
hsa-mir-103-1	107531	35356.873236	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	81	26.633313	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	2	0.657613	N
hsa-mir-105-2	2	0.657613	N
hsa-mir-106a	8	2.630451	Y
hsa-mir-106b	4226	1389.535541	N
hsa-mir-107	657	216.025757	Y
hsa-mir-10a	27495	9040.529983	N
hsa-mir-10b	3197	1051.193830	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	160	52.609012	N
hsa-mir-1181	1	0.328806	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	20	6.576127	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	2.630451	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	3.616870	N
hsa-mir-1229	4	1.315225	N
hsa-mir-1231	1	0.328806	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.328806	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	3	0.986419	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.328806	N
hsa-mir-1248	6	1.972838	N
hsa-mir-1249	7	2.301644	N
hsa-mir-1250	4	1.315225	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	1.315225	N
hsa-mir-1255a	4	1.315225	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.657613	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.328806	N
hsa-mir-125a	3542	1164.632013	N
hsa-mir-125b-1	1541	506.690551	N
hsa-mir-125b-2	30	9.864190	N
hsa-mir-126	8187	2691.937406	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	6	1.972838	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.328806	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	63	20.714799	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	428	140.729108	N
hsa-mir-1270-1	15	4.932095	N
hsa-mir-1270-2	10	3.288063	N
hsa-mir-1271	2	0.657613	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	20	6.576127	N
hsa-mir-1275	1	0.328806	N
hsa-mir-1276	1	0.328806	N
hsa-mir-1277	19	6.247320	N
hsa-mir-1278	2	0.657613	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	511	168.020034	N
hsa-mir-128-2	355	116.726246	N
