miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13447	3380.430258	N
hsa-let-7a-2	26944	6773.429974	N
hsa-let-7a-3	13647	3430.708093	N
hsa-let-7b	19801	4977.757086	N
hsa-let-7c	2358	592.775678	N
hsa-let-7d	3378	849.192639	N
hsa-let-7e	4967	1248.650040	N
hsa-let-7f-1	101	25.390307	N
hsa-let-7f-2	22575	5675.110662	N
hsa-let-7g	2253	566.379815	N
hsa-let-7i	1604	403.228239	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	9	2.262503	N
hsa-mir-100	15517	3900.805853	N
hsa-mir-101-1	22770	5724.131551	N
hsa-mir-101-2	288	72.400083	N
hsa-mir-103-1	163766	41168.999893	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	189	47.512554	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	137	34.440317	Y
hsa-mir-106b	4783	1202.394432	N
hsa-mir-107	533	133.990431	Y
hsa-mir-10a	97245	24446.340477	N
hsa-mir-10b	41818	10512.592587	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.502778	N
hsa-mir-1180	315	79.187591	N
hsa-mir-1181	1	0.251389	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.502778	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.502778	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	4.022227	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.508335	N
hsa-mir-1229	3	0.754168	N
hsa-mir-1231	1	0.251389	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.251389	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	8	2.011113	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	21	5.279173	N
hsa-mir-1248	10	2.513892	N
hsa-mir-1249	10	2.513892	N
hsa-mir-1250	2	0.502778	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	0.754168	N
hsa-mir-1255a	1	0.251389	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.502778	N
hsa-mir-125a	3578	899.470474	N
hsa-mir-125b-1	2035	511.576974	N
hsa-mir-125b-2	14	3.519448	N
hsa-mir-126	10749	2702.182259	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.251389	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	36	9.050010	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1	0.251389	N
hsa-mir-127	1054	264.964192	N
hsa-mir-1270-1	3	0.754168	N
hsa-mir-1270-2	2	0.502778	N
hsa-mir-1271	5	1.256946	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	16	4.022227	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.754168	N
hsa-mir-1277	5	1.256946	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	246	61.841737	N
hsa-mir-128-2	221	55.557008	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.502778	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	53	13.323626	N
hsa-mir-1288	4	1.005557	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.251389	N
hsa-mir-129-2	2	0.502778	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.251389	N
hsa-mir-1292	5	1.256946	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.251389	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	34	8.547232	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	254	63.852851	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
