miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66193	9621.703509	N
hsa-let-7a-2	132209	19217.678596	N
hsa-let-7a-3	66265	9632.169309	N
hsa-let-7b	196287	28531.949251	N
hsa-let-7c	8971	1304.009520	N
hsa-let-7d	3823	555.704871	N
hsa-let-7e	12221	1776.424072	N
hsa-let-7f-1	180	26.164498	N
hsa-let-7f-2	55830	8115.355203	N
hsa-let-7g	3620	526.197131	N
hsa-let-7i	4053	589.137285	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	40	5.814333	N
hsa-mir-100	32611	4740.280289	Y
hsa-mir-101-1	87743	12754.175382	N
hsa-mir-101-2	243	35.322073	N
hsa-mir-103-1	89447	13001.865965	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	27	3.924675	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	202	29.362381	N
hsa-mir-105-2	211	30.670606	N
hsa-mir-106a	19	2.761808	Y
hsa-mir-106b	2646	384.618124	N
hsa-mir-107	755	109.745534	Y
hsa-mir-10a	151391	22005.941958	N
hsa-mir-10b	4148	602.946326	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.145358	N
hsa-mir-1180	145	21.076957	N
hsa-mir-1181	4	0.581433	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.581433	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.872150	N
hsa-mir-1227	4	0.581433	N
hsa-mir-1228	10	1.453583	N
hsa-mir-1229	3	0.436075	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.145358	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.436075	N
hsa-mir-1238	1	0.145358	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
