miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38524	9969.690320	N
hsa-let-7a-2	76533	19806.102929	N
hsa-let-7a-3	38784	10036.976154	N
hsa-let-7b	61585	15937.685036	N
hsa-let-7c	3194	826.580596	N
hsa-let-7d	5339	1381.688730	N
hsa-let-7e	7956	2058.946532	N
hsa-let-7f-1	125	32.348959	N
hsa-let-7f-2	90421	23400.201650	N
hsa-let-7g	3629	939.154973	N
hsa-let-7i	2232	577.623009	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	13	3.364292	N
hsa-mir-100	13820	3576.500888	Y
hsa-mir-101-1	77205	19980.010931	N
hsa-mir-101-2	147	38.042376	N
hsa-mir-103-1	79397	20547.282273	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	67	17.339042	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	48	12.422000	Y
hsa-mir-106b	2828	731.862845	N
hsa-mir-107	504	130.431002	Y
hsa-mir-10a	35459	9176.493849	N
hsa-mir-10b	4246	1098.829434	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	340	87.989168	N
hsa-mir-1181	2	0.517583	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.293958	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.552750	N
hsa-mir-1227	1	0.258792	N
hsa-mir-1228	2	0.517583	N
hsa-mir-1229	1	0.258792	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.258792	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.258792	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	2.846708	N
hsa-mir-1248	2	0.517583	N
hsa-mir-1249	7	1.811542	N
hsa-mir-1250	2	0.517583	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.258792	N
hsa-mir-1255a	2	0.517583	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.517583	N
hsa-mir-125a	1845	477.470632	N
hsa-mir-125b-1	1060	274.319171	N
hsa-mir-125b-2	38	9.834083	N
hsa-mir-126	4731	1224.343394	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.293958	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	85	21.997292	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	12	3.105500	N
hsa-mir-127	551	142.594211	N
hsa-mir-1270-1	11	2.846708	N
hsa-mir-1270-2	3	0.776375	N
hsa-mir-1271	12	3.105500	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	601	155.533794	N
hsa-mir-1275	7	1.811542	N
hsa-mir-1276	1	0.258792	N
hsa-mir-1277	1	0.258792	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	302	78.155085	N
hsa-mir-128-2	263	68.062209	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.258792	N
hsa-mir-1287	478	123.702419	N
hsa-mir-1288	3	0.776375	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	1.552750	N
hsa-mir-129-2	6	1.552750	N
hsa-mir-1290	0	0.000000	N
