miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	8177	2236.135590	N
hsa-let-7a-2	16595	4538.176607	N
hsa-let-7a-3	8290	2267.037305	N
hsa-let-7b	28930	7911.385915	N
hsa-let-7c	570	155.875906	N
hsa-let-7d	764	208.928408	N
hsa-let-7e	3490	954.398093	N
hsa-let-7f-1	38	10.391727	N
hsa-let-7f-2	6944	1898.951393	N
hsa-let-7g	1636	447.391198	N
hsa-let-7i	733	200.450946	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	5	1.367333	N
hsa-mir-100	1019	278.662366	N
hsa-mir-101-1	9354	2558.005663	N
hsa-mir-101-2	47	12.852926	N
hsa-mir-103-1	57117	15619.586218	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	23	6.289730	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.273467	N
hsa-mir-105-2	1	0.273467	N
hsa-mir-106a	111	30.354782	Y
hsa-mir-106b	2117	578.928586	N
hsa-mir-107	286	78.211420	Y
hsa-mir-10a	829956	226965.164470	N
hsa-mir-10b	43142	11797.891847	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	91	24.885452	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	11	3.008132	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	3.008132	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.546933	N
hsa-mir-1229	6	1.640799	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.546933	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.273467	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	1.640799	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	2	0.546933	N
hsa-mir-1250	8	2.187732	N
hsa-mir-1251	1	0.273467	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	13	3.555065	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.273467	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3237	885.211068	N
hsa-mir-125b-1	274	74.929822	N
hsa-mir-125b-2	1	0.273467	N
hsa-mir-126	4534	1239.897122	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	113	30.901715	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	112	30.628248	N
hsa-mir-127	744	203.459078	N
hsa-mir-1270-1	7	1.914266	N
hsa-mir-1270-2	2	0.546933	N
hsa-mir-1271	9	2.461199	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	2	0.546933	N
hsa-mir-1275	1	0.273467	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	58	15.861057	N
hsa-mir-128-2	60	16.407990	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.273467	N
hsa-mir-1285-1	1	0.273467	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	150	41.019975	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	1.914266	N
hsa-mir-129-2	7	1.914266	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.546933	N
hsa-mir-1292	2	0.546933	N
hsa-mir-1293	2	0.546933	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	1	0.273467	N
hsa-mir-1296	4	1.093866	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	178	48.677037	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.273467	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	25	6.836663	N
hsa-mir-1307	5962	1630.407287	N
hsa-mir-130a	93	25.432385	N
hsa-mir-130b	292	79.852219	N
hsa-mir-132	130	35.550645	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.546933	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	279	76.297154	N
hsa-mir-135a-1	10	2.734665	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	176	48.130104	N
hsa-mir-136	108	29.534382	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	314	85.868482	N
hsa-mir-140	903	246.940252	N
hsa-mir-141	9255	2530.932480	N
hsa-mir-142	1093	298.898887	N
hsa-mir-143	45221	12366.428705	N
hsa-mir-144	429	117.317130	N
hsa-mir-145	627	171.463497	N
hsa-mir-1468	5	1.367333	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	57	15.587591	N
hsa-mir-146b	3223	881.382537	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	3	0.820400	N
hsa-mir-148a	10257	2804.945915	N
hsa-mir-148b	853	233.266927	N
hsa-mir-149	447	122.239527	N
hsa-mir-150	333	91.064345	N
hsa-mir-151	9120	2494.014502	N
hsa-mir-152	807	220.687467	N
hsa-mir-153-1	7	1.914266	N
hsa-mir-153-2	55	15.040658	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	4	1.093866	N
hsa-mir-155	105	28.713983	N
hsa-mir-15a	303	82.860350	N
hsa-mir-15b	253	69.187025	N
hsa-mir-16-1	821	224.515998	N
hsa-mir-16-2	14	3.828531	N
hsa-mir-17	2489	680.658124	Y
hsa-mir-181a-1	2646	723.592365	N
hsa-mir-181a-2	372	101.729539	N
hsa-mir-181b-1	705	192.793884	N
hsa-mir-181b-2	7	1.914266	N
hsa-mir-181c	200	54.693300	N
hsa-mir-181d	53	14.493725	N
hsa-mir-182	224695	61446.555758	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	132144	36136.957494	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	311	85.048082	N
hsa-mir-186	1116	305.188617	N
hsa-mir-187	131	35.824112	N
