miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16955	3995.296602	N
hsa-let-7a-2	33774	7958.546000	N
hsa-let-7a-3	16970	3998.831220	N
hsa-let-7b	27719	6531.738514	N
hsa-let-7c	2854	672.519994	N
hsa-let-7d	2016	475.052666	N
hsa-let-7e	4047	953.639950	N
hsa-let-7f-1	68	16.023602	N
hsa-let-7f-2	23263	5481.721312	N
hsa-let-7g	2792	657.910240	N
hsa-let-7i	2815	663.329987	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	44	10.368213	N
hsa-mir-100	18028	4248.139613	N
hsa-mir-101-1	35402	8342.169878	N
hsa-mir-101-2	326	76.819032	N
hsa-mir-103-1	161743	38113.315142	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	82	19.322579	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	565	133.137280	N
hsa-mir-105-2	518	122.062143	N
hsa-mir-106a	352	82.945704	Y
hsa-mir-106b	3413	804.243427	N
hsa-mir-107	703	165.655766	Y
hsa-mir-10a	140903	33202.552466	N
hsa-mir-10b	44612	10512.425361	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.235641	N
hsa-mir-1180	190	44.771829	N
hsa-mir-1181	1	0.235641	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.471282	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.706924	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.178206	N
hsa-mir-1227	1	0.235641	N
hsa-mir-1228	6	1.413847	N
hsa-mir-1229	2	0.471282	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	6	1.413847	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	18	4.241542	N
hsa-mir-1248	13	3.063336	N
hsa-mir-1249	8	1.885130	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	5	1.178206	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.235641	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.649488	N
hsa-mir-125a	3205	755.230057	N
hsa-mir-125b-1	1483	349.455904	N
hsa-mir-125b-2	27	6.362312	N
hsa-mir-126	12453	2934.439904	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	1	0.235641	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	2	0.471282	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	112	26.391815	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1824	429.809555	N
hsa-mir-127	1067	251.429164	N
hsa-mir-1270-1	48	11.310778	N
hsa-mir-1270-2	33	7.776160	N
hsa-mir-1271	14	3.298977	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
