miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30040	4484.995867	N
hsa-let-7a-2	59468	8878.619648	N
hsa-let-7a-3	29837	4454.687806	N
hsa-let-7b	51560	7697.948965	N
hsa-let-7c	8554	1277.118996	N
hsa-let-7d	2440	364.293939	N
hsa-let-7e	7593	1133.640933	N
hsa-let-7f-1	139	20.752810	N
hsa-let-7f-2	43239	6455.617054	N
hsa-let-7g	4780	713.657798	N
hsa-let-7i	2752	410.875787	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	115	17.169591	N
hsa-mir-100	43059	6428.742911	N
hsa-mir-101-1	78481	11717.275655	N
hsa-mir-101-2	648	96.746915	N
hsa-mir-103-1	168605	25172.860460	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	69	10.301755	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.149301	N
hsa-mir-106a	211	31.502468	Y
hsa-mir-106b	2403	358.769809	N
hsa-mir-107	895	133.624211	Y
hsa-mir-10a	116907	17454.307985	N
hsa-mir-10b	22816	3406.446928	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	178	26.575541	N
hsa-mir-1181	1	0.149301	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.447902	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.597203	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	2.986016	N
hsa-mir-1227	1	0.149301	N
hsa-mir-1228	6	0.895805	N
hsa-mir-1229	12	1.791610	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.149301	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	3	0.447902	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	35	5.225528	N
hsa-mir-1248	7	1.045106	N
hsa-mir-1249	4	0.597203	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	0.447902	N
hsa-mir-1255a	1	0.149301	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.298602	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.149301	N
hsa-mir-125a	5768	861.166983	N
hsa-mir-125b-1	3760	561.370987	N
hsa-mir-125b-2	64	9.555251	N
hsa-mir-126	10910	1628.871668	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.597203	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	71	10.600356	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	23	3.433918	N
hsa-mir-127	2666	398.035918	N
hsa-mir-1270-1	6	0.895805	N
hsa-mir-1270-2	4	0.597203	N
hsa-mir-1271	12	1.791610	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	6	0.895805	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.149301	N
hsa-mir-1277	8	1.194406	N
hsa-mir-1278	2	0.298602	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	402	60.018919	N
hsa-mir-128-2	270	40.311215	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.149301	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	418	62.407732	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.149301	N
hsa-mir-129-2	3	0.447902	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.447902	N
hsa-mir-1292	4	0.597203	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	3	0.447902	N
hsa-mir-1296	17	2.538114	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.149301	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	92	13.735673	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	0.895805	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	27	4.031121	N
hsa-mir-1307	4693	700.668629	N
hsa-mir-130a	568	84.802851	N
hsa-mir-130b	193	28.815053	N
hsa-mir-132	2157	322.041814	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	52	7.763641	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	3	0.447902	Y
hsa-mir-134	529	78.980120	N
hsa-mir-135a-1	4	0.597203	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	613	91.521387	N
hsa-mir-136	404	60.317521	N
hsa-mir-137	355	53.001782	N
hsa-mir-138-1	10	1.493008	N
hsa-mir-138-2	9	1.343707	N
hsa-mir-139	588	87.788867	N
hsa-mir-140	5175	772.631612	N
hsa-mir-141	5363	800.700161	N
hsa-mir-142	21047	3142.333822	N
hsa-mir-143	150309	22441.253123	N
hsa-mir-144	1103	164.678776	N
hsa-mir-145	5304	791.891414	N
hsa-mir-1468	11	1.642309	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	889	132.728406	N
hsa-mir-146b	16422	2451.817648	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	236194	35263.951861	N
hsa-mir-148b	775	115.708116	N
hsa-mir-149	108	16.124486	N
hsa-mir-150	10769	1607.820256	N
hsa-mir-151	15004	2240.109121	N
hsa-mir-152	593	88.535371	N
hsa-mir-153-1	4	0.597203	N
hsa-mir-153-2	27	4.031121	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	31	4.628325	N
hsa-mir-155	3416	510.011514	N
hsa-mir-15a	1142	170.501507	N
hsa-mir-15b	1203	179.608856	N
hsa-mir-16-1	2145	320.250204	N
hsa-mir-16-2	55	8.211544	N
hsa-mir-17	7759	1158.424865	Y
hsa-mir-181a-1	33355	4979.928001	N
hsa-mir-181a-2	4229	631.393060	N
hsa-mir-181b-1	9340	1394.469421	N
hsa-mir-181b-2	74	11.048259	N
hsa-mir-181c	479	71.515081	N
hsa-mir-181d	132	19.707705	N
hsa-mir-182	112828	16845.310044	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	60608	9048.822554	N
hsa-mir-184	97	14.482177	N
hsa-mir-185	671	100.180833	N
hsa-mir-186	2246	335.329584	N
hsa-mir-187	161	24.037428	N
hsa-mir-188	13	1.940910	N
hsa-mir-18a	67	10.003153	N
hsa-mir-18b	2	0.298602	N
hsa-mir-190	23	3.433918	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	1	0.149301	N
hsa-mir-191	2362	352.648477	N
hsa-mir-1910	2	0.298602	N
hsa-mir-1911	2	0.298602	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1182	176.473539	Y
hsa-mir-193a	618	92.267891	N
hsa-mir-193b	465	69.424869	N
hsa-mir-194-1	401	59.869619	N
hsa-mir-194-2	514	76.740608	N
hsa-mir-195	351	52.404579	N
hsa-mir-196a-1	12	1.791610	N
hsa-mir-196a-2	2	0.298602	N
hsa-mir-196b	49	7.315739	N
hsa-mir-197	1918	286.358924	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	105	15.676583	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	8231	1228.894840	Y
hsa-mir-199a-2	12745	1902.838626	Y
hsa-mir-199b	14831	2214.280084	Y
hsa-mir-19a	409	61.064025	N
hsa-mir-19b-1	83	12.391966	N
hsa-mir-19b-2	1907	284.716615	N
hsa-mir-200a	5325	795.026731	N
hsa-mir-200b	6489	968.812856	N
hsa-mir-200c	30842	4604.735105	N
hsa-mir-202	20	2.986016	N
hsa-mir-203	23638	3529.172181	N
hsa-mir-204	11	1.642309	N
hsa-mir-205	14	2.090211	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	21	3.135317	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4335	647.218944	N
hsa-mir-20b	41	6.121333	N
hsa-mir-21	3373112	503608.301602	N
hsa-mir-210	2396	357.724704	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	6	0.895805	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	2	0.298602	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	1	0.149301	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	95	14.183575	N
hsa-mir-214	206	30.755964	N
hsa-mir-215	11	1.642309	Y
hsa-mir-216a	2	0.298602	N
hsa-mir-216b	1	0.149301	N
hsa-mir-217	75	11.197560	N
hsa-mir-218-1	7	1.045106	N
hsa-mir-218-2	516	77.039210	N
hsa-mir-219-1	20	2.986016	N
hsa-mir-219-2	1	0.149301	N
hsa-mir-22	363924	54334.142345	N
hsa-mir-221	1212	180.952563	N
hsa-mir-222	395	58.973814	N
hsa-mir-223	1289	192.448724	N
hsa-mir-224	75	11.197560	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	4	0.597203	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	132	19.707705	N
hsa-mir-23a	14408	2151.125847	Y
hsa-mir-23b	6253	933.577868	Y
hsa-mir-23c	4	0.597203	N
hsa-mir-24-1	160	23.888127	N
hsa-mir-24-2	11243	1678.588833	N
hsa-mir-25	32424	4840.928961	N
hsa-mir-26a-1	7	1.045106	N
hsa-mir-26a-2	19575	2922.563053	N
hsa-mir-26b	5469	816.526045	N
hsa-mir-27a	8845	1320.565528	Y
hsa-mir-27b	10534	1572.734569	Y
hsa-mir-28	15237	2274.896206	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	10	1.493008	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	10	1.493008	N
hsa-mir-29a	79355	11847.764549	N
hsa-mir-29b-1	6517	972.993278	N
hsa-mir-29b-2	6766	1010.169176	N
hsa-mir-29c	26998	4030.822850	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	128	19.110502	N
hsa-mir-301b	16	2.388813	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3065	836	124.815464	N
hsa-mir-3074	17	2.538114	N
hsa-mir-30a	269415	40223.873555	Y
hsa-mir-30b	17336	2588.278574	Y
hsa-mir-30c-1	9	1.343707	N
hsa-mir-30c-2	8637	1289.510962	Y
hsa-mir-30d	349287	52148.826615	N
hsa-mir-30e	87977	13135.035999	Y
hsa-mir-31	8	1.194406	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	2	0.298602	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3118-5	0	0.000000	N
hsa-mir-3118-6	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	1	0.149301	N
hsa-mir-3127	83	12.391966	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	2	0.298602	N
hsa-mir-3130-1	15	2.239512	N
hsa-mir-3130-2	0	0.000000	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135	0	0.000000	N
hsa-mir-3136	2	0.298602	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	1	0.149301	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150	2	0.298602	N
hsa-mir-3150b	3	0.447902	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.149301	N
hsa-mir-3155	1	0.149301	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	0	0.000000	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	1	0.149301	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	1	0.149301	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	4	0.597203	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	1	0.149301	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	2	0.298602	N
hsa-mir-3188	3	0.447902	N
hsa-mir-3189	1	0.149301	N
hsa-mir-3190	2	0.298602	N
hsa-mir-3191	1	0.149301	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	3	0.447902	N
hsa-mir-3194	3	0.447902	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198	0	0.000000	N
hsa-mir-3199-1	1	0.149301	N
hsa-mir-3199-2	3	0.447902	N
hsa-mir-32	241	35.981491	N
hsa-mir-3200	43	6.419934	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	1	0.149301	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	1956	292.032354	Y
hsa-mir-320b-1	0	0.000000	N
hsa-mir-320b-2	25	3.732520	Y
hsa-mir-320c-1	0	0.000000	N
hsa-mir-320c-2	1	0.149301	N
hsa-mir-320d-1	4	0.597203	N
hsa-mir-320d-2	0	0.000000	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323	5	0.746504	N
hsa-mir-323b	7	1.045106	N
hsa-mir-324	652	97.344118	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	74	11.048259	N
hsa-mir-328	372	55.539896	N
hsa-mir-329-1	5	0.746504	N
hsa-mir-329-2	4	0.597203	N
hsa-mir-330	152	22.693721	N
hsa-mir-331	128	19.110502	N
hsa-mir-335	564	84.205648	N
hsa-mir-337	130	19.409103	N
hsa-mir-338	4242	633.333970	N
hsa-mir-339	377	56.286400	N
hsa-mir-33a	421	62.855634	N
hsa-mir-33b	26	3.881821	N
hsa-mir-340	187	27.919249	N
hsa-mir-342	1139	170.053605	N
hsa-mir-345	106	15.825884	N
hsa-mir-346	2	0.298602	N
hsa-mir-34a	1305	194.837537	N
hsa-mir-34b	22	3.284617	N
hsa-mir-34c	74	11.048259	N
hsa-mir-3605	17	2.538114	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	66	9.853852	N
hsa-mir-3609	0	0.000000	N
hsa-mir-361	1885	281.431998	N
hsa-mir-3610	1	0.149301	N
