miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	73327	9897.539471	N
hsa-let-7a-2	147414	19897.662301	Y
hsa-let-7a-3	74287	10027.118451	N
hsa-let-7b	110815	14957.598653	N
hsa-let-7c	17653	2382.768479	Y
hsa-let-7d	3887	524.659892	N
hsa-let-7e	16198	2186.375337	N
hsa-let-7f-1	266	35.904176	N
hsa-let-7f-2	103787	14008.972535	N
hsa-let-7g	5438	734.010932	N
hsa-let-7i	3572	482.141789	N
hsa-mir-1-1	1	0.134978	N
hsa-mir-1-2	376	50.751767	N
hsa-mir-100	68813	9288.248307	Y
hsa-mir-101-1	82676	11159.449770	N
hsa-mir-101-2	706	95.294542	N
hsa-mir-103-1	177486	23956.723860	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	59	7.963708	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1632	220.284267	N
hsa-mir-105-2	1544	208.406193	N
hsa-mir-106a	67	9.043533	Y
hsa-mir-106b	2650	357.691977	N
hsa-mir-107	547	73.833023	Y
hsa-mir-10a	262925	35489.118133	N
hsa-mir-10b	16946	2287.338959	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.269956	N
hsa-mir-1180	150	20.246716	N
hsa-mir-1181	1	0.134978	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.404934	N
hsa-mir-1185-2	2	0.269956	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	35	4.724234	N
hsa-mir-1224	40	5.399124	N
hsa-mir-1225	1	0.134978	N
hsa-mir-1226	9	1.214803	N
hsa-mir-1227	1	0.134978	N
hsa-mir-1228	3	0.404934	N
hsa-mir-1229	10	1.349781	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.134978	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	5	0.674891	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	73	9.853402	N
hsa-mir-1248	11	1.484759	N
hsa-mir-1249	7	0.944847	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.134978	N
hsa-mir-1252	1	0.134978	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	12	1.619737	N
hsa-mir-1255a	1	0.134978	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.269956	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.404934	N
hsa-mir-125a	8875	1197.930678	N
hsa-mir-125b-1	5976	806.629153	N
hsa-mir-125b-2	169	22.811300	N
hsa-mir-126	56776	7663.516863	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.889693	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.134978	N
hsa-mir-1266	145	19.571825	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	107	14.442657	N
hsa-mir-127	2042	275.625289	N
hsa-mir-1270-1	5	0.674891	N
hsa-mir-1270-2	1	0.134978	N
hsa-mir-1271	12	1.619737	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	8	1.079825	N
hsa-mir-1275	2	0.269956	N
hsa-mir-1276	3	0.404934	N
hsa-mir-1277	5	0.674891	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	702	94.754629	N
hsa-mir-128-2	502	67.759008	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.134978	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	359	48.457140	N
hsa-mir-1288	2	0.269956	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.079825	N
hsa-mir-129-2	13	1.754715	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.269956	N
hsa-mir-1292	3	0.404934	N
hsa-mir-1293	1	0.134978	N
hsa-mir-1294	6	0.809869	N
hsa-mir-1295	1	0.134978	N
hsa-mir-1296	31	4.184321	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.134978	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	137	18.492000	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	36	4.859212	N
hsa-mir-1305	1	0.134978	N
hsa-mir-1306	72	9.718424	N
hsa-mir-1307	8443	1139.620137	N
hsa-mir-130a	1164	157.114514	N
hsa-mir-130b	155	20.921606	N
hsa-mir-132	850	114.731389	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	183	24.700993	Y
hsa-mir-133a-2	4	0.539912	Y
hsa-mir-133b	21	2.834540	Y
hsa-mir-134	374	50.481811	N
hsa-mir-135a-1	7	0.944847	N
hsa-mir-135a-2	1	0.134978	N
hsa-mir-135b	375	50.616789	N
hsa-mir-136	180	24.296059	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	11	1.484759	N
hsa-mir-138-2	5	0.674891	N
hsa-mir-139	1000	134.978105	N
hsa-mir-140	13052	1761.734220	N
hsa-mir-141	8193	1105.875610	N
hsa-mir-142	12531	1691.410628	N
hsa-mir-143	521006	70324.402327	N
hsa-mir-144	2625	354.317524	N
hsa-mir-145	13641	1841.236324	N
hsa-mir-1468	31	4.184321	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	795	107.307593	N
hsa-mir-146b	10774	1454.254098	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	3	0.404934	N
hsa-mir-148a	233379	31501.055056	N
hsa-mir-148b	1161	156.709579	N
hsa-mir-149	91	12.283008	N
hsa-mir-150	5573	752.232977	N
hsa-mir-151	17895	2415.433181	N
hsa-mir-152	1387	187.214631	N
hsa-mir-153-1	5	0.674891	N
hsa-mir-153-2	52	7.018861	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.134978	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	23	3.104496	N
hsa-mir-155	1187	160.219010	N
hsa-mir-15a	1658	223.793697	N
hsa-mir-15b	1320	178.171098	N
hsa-mir-16-1	3262	440.298577	N
hsa-mir-16-2	49	6.613927	N
hsa-mir-17	4376	590.664185	Y
hsa-mir-181a-1	41884	5653.422930	N
hsa-mir-181a-2	6410	865.209650	N
hsa-mir-181b-1	8358	1128.146998	N
hsa-mir-181b-2	71	9.583445	N
hsa-mir-181c	974	131.468674	N
hsa-mir-181d	261	35.229285	N
hsa-mir-182	98299	13268.212697	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	51397	6937.469638	N
hsa-mir-184	63	8.503621	N
hsa-mir-185	1028	138.757491	N
hsa-mir-186	2703	364.845817	N
hsa-mir-187	30	4.049343	N
hsa-mir-188	19	2.564584	N
hsa-mir-18a	47	6.343971	N
hsa-mir-18b	2	0.269956	N
hsa-mir-190	24	3.239475	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.134978	N
hsa-mir-190b	3	0.404934	N
hsa-mir-191	3483	470.128738	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	4	0.539912	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.134978	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2325	313.824093	Y
hsa-mir-193a	1470	198.417814	N
hsa-mir-193b	553	74.642892	N
hsa-mir-194-1	628	84.766250	N
hsa-mir-194-2	764	103.123272	N
hsa-mir-195	569	76.802541	N
hsa-mir-196a-1	12	1.619737	N
hsa-mir-196a-2	0	0.000000	N
