miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	6039	1223.534656	N
hsa-let-7a-2	11897	2410.397715	N
hsa-let-7a-3	6188	1253.722876	N
hsa-let-7b	4813	975.140304	N
hsa-let-7c	483	97.858460	N
hsa-let-7d	280	56.729542	N
hsa-let-7e	2753	557.772960	N
hsa-let-7f-1	22	4.457321	N
hsa-let-7f-2	5153	1044.026177	N
hsa-let-7g	584	118.321616	N
hsa-let-7i	427	86.512551	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	12	2.431266	N
hsa-mir-100	10362	2099.398262	Y
hsa-mir-101-1	19976	4047.247604	N
hsa-mir-101-2	119	24.110055	N
hsa-mir-103-1	78316	15867.252872	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	44	8.914642	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	50	10.130275	N
hsa-mir-105-2	44	8.914642	N
hsa-mir-106a	235	47.612294	Y
hsa-mir-106b	3366	681.970136	N
hsa-mir-107	310	62.807707	Y
hsa-mir-10a	30415	6162.246490	N
hsa-mir-10b	77090	15618.858521	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	184	37.279413	N
hsa-mir-1181	1	0.202606	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.202606	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	4.659927	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.405211	N
hsa-mir-1229	5	1.013028	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.202606	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	14	2.836477	N
hsa-mir-1248	5	1.013028	N
hsa-mir-1249	3	0.607817	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.202606	N
hsa-mir-1252	1	0.202606	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	10	2.026055	N
hsa-mir-1255a	7	1.418239	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1697	343.821545	N
hsa-mir-125b-1	707	143.242093	N
hsa-mir-125b-2	8	1.620844	N
hsa-mir-126	4543	920.436817	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.202606	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	303	61.389469	N
hsa-mir-1267	1	0.202606	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	22	4.457321	N
hsa-mir-127	389	78.813542	N
hsa-mir-1270-1	4	0.810422	N
hsa-mir-1270-2	4	0.810422	N
hsa-mir-1271	0	0.000000	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	3	0.607817	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.202606	N
hsa-mir-1277	3	0.607817	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	395	80.029175	N
hsa-mir-128-2	318	64.428551	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	4	0.810422	N
hsa-mir-1283-2	2	0.405211	N
hsa-mir-1284	3	0.607817	N
hsa-mir-1285-1	1	0.202606	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	101	20.463156	N
hsa-mir-1288	1	0.202606	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.405211	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	1	0.202606	N
hsa-mir-1291	1	0.202606	N
hsa-mir-1292	3	0.607817	N
hsa-mir-1293	13	2.633872	N
hsa-mir-1294	2	0.405211	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	59	11.953725	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.202606	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	154	31.201248	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	25	5.065138	N
hsa-mir-1305	3	0.607817	N
hsa-mir-1306	171	34.645542	N
hsa-mir-1307	16851	3414.105395	N
hsa-mir-130a	188	38.089835	N
hsa-mir-130b	250	50.651377	N
hsa-mir-132	115	23.299633	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	1.823450	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	105	21.273578	N
hsa-mir-135a-1	1	0.202606	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	110	22.286606	N
hsa-mir-136	59	11.953725	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.202606	N
hsa-mir-138-2	1	0.202606	N
hsa-mir-139	98	19.855340	N
hsa-mir-140	1670	338.351196	N
hsa-mir-141	16801	3403.975120	N
hsa-mir-142	2066	418.582977	N
hsa-mir-143	71920	14571.388050	N
hsa-mir-144	91	18.437101	N
hsa-mir-145	1864	377.656665	N
