miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28587	6034.698408	N
hsa-let-7a-2	57350	12106.550309	N
hsa-let-7a-3	29016	6125.260048	N
hsa-let-7b	59447	12549.225740	N
hsa-let-7c	2621	553.291515	N
hsa-let-7d	1813	382.723203	N
hsa-let-7e	4220	890.839447	N
hsa-let-7f-1	108	22.798735	N
hsa-let-7f-2	44136	9317.082902	N
hsa-let-7g	4458	941.081103	N
hsa-let-7i	2773	585.378623	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	32	6.755181	N
hsa-mir-100	16150	3409.255231	N
hsa-mir-101-1	39099	8253.775249	N
hsa-mir-101-2	278	58.685632	N
hsa-mir-103-1	101857	21501.951086	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	42	8.866175	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	84	17.732349	Y
hsa-mir-106b	1340	282.873189	N
hsa-mir-107	539	113.782574	Y
hsa-mir-10a	77098	16275.341163	N
hsa-mir-10b	84974	17937.959999	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	54	11.399367	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.422199	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.211099	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.211099	N
hsa-mir-1227	2	0.422199	N
hsa-mir-1228	2	0.422199	N
hsa-mir-1229	2	0.422199	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.211099	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	45	9.499473	N
hsa-mir-1248	4	0.844398	N
hsa-mir-1249	2	0.422199	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	9	1.899895	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	9	1.899895	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.211099	N
hsa-mir-1258	1	0.211099	N
hsa-mir-125a	2606	550.125024	N
hsa-mir-125b-1	1222	257.963461	N
hsa-mir-125b-2	25	5.277485	N
hsa-mir-126	21875	4617.799268	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.633298	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	52	10.977169	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	1594	336.492436	N
hsa-mir-1270-1	1	0.211099	N
hsa-mir-1270-2	0	0.000000	N
hsa-mir-1271	3	0.633298	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	2	0.422199	N
hsa-mir-1275	2	0.422199	N
hsa-mir-1276	1	0.211099	N
hsa-mir-1277	5	1.055497	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	145	30.609412	N
hsa-mir-128-2	137	28.920617	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.211099	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	69	14.565858	N
hsa-mir-1288	2	0.422199	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	38	8.021777	N
hsa-mir-129-2	58	12.243765	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.422199	N
hsa-mir-1292	2	0.422199	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	5	1.055497	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	33	6.966280	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.633298	N
hsa-mir-1305	1	0.211099	N
hsa-mir-1306	16	3.377590	N
hsa-mir-1307	5410	1142.047727	N
hsa-mir-130a	305	64.385316	N
hsa-mir-130b	109	23.009834	N
hsa-mir-132	407	85.917454	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	12	2.533193	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	1	0.211099	Y
hsa-mir-134	419	88.450647	N
hsa-mir-135a-1	36	7.599578	N
hsa-mir-135a-2	5	1.055497	N
hsa-mir-135b	1508	318.337888	N
hsa-mir-136	210	44.330873	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	0.422199	N
