miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	9798	2082.392877	N
hsa-let-7a-2	19482	4140.557056	N
hsa-let-7a-3	9899	2103.858654	N
hsa-let-7b	13653	2901.705445	N
hsa-let-7c	1292	274.591916	N
hsa-let-7d	1099	233.573155	N
hsa-let-7e	2141	455.031961	N
hsa-let-7f-1	71	15.089803	N
hsa-let-7f-2	15508	3295.953127	N
hsa-let-7g	1416	300.945939	N
hsa-let-7i	1030	218.908416	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	29	6.163441	N
hsa-mir-100	9117	1937.658284	N
hsa-mir-101-1	25910	5506.715600	N
hsa-mir-101-2	296	62.909603	N
hsa-mir-103-1	98904	21020.308750	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	28	5.950908	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	28	5.950908	Y
hsa-mir-106b	1303	276.929773	N
hsa-mir-107	272	57.808825	Y
hsa-mir-10a	47243	10040.670208	N
hsa-mir-10b	9376	1992.704186	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	30	6.375973	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.425065	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.062662	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	0.850130	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	2	0.425065	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	66	14.027141	N
hsa-mir-1248	8	1.700260	N
hsa-mir-1249	5	1.062662	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.425065	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	0.637597	N
hsa-mir-1255a	1	0.212532	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	12	2.550389	N
hsa-mir-125a	1932	410.612680	N
hsa-mir-125b-1	854	181.502706	N
hsa-mir-125b-2	13	2.762922	N
