miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18056	4594.015110	N
hsa-let-7a-2	36608	9314.228242	N
hsa-let-7a-3	18244	4641.848231	N
hsa-let-7b	36888	9385.469061	N
hsa-let-7c	1514	385.209286	N
hsa-let-7d	1479	376.304184	N
hsa-let-7e	4684	1191.757132	N
hsa-let-7f-1	91	23.153266	N
hsa-let-7f-2	24322	6188.282870	N
hsa-let-7g	3041	773.726182	N
hsa-let-7i	2435	619.540695	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	44	11.194986	N
hsa-mir-100	12035	3062.083066	N
hsa-mir-101-1	25153	6399.715444	N
hsa-mir-101-2	146	37.146999	N
hsa-mir-103-1	78818	20053.781730	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	56	14.248164	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	80	20.354520	Y
hsa-mir-106b	2918	742.431108	N
hsa-mir-107	456	116.020763	Y
hsa-mir-10a	39014	9926.390424	N
hsa-mir-10b	5635	1433.721486	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	54	13.739301	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.272157	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	2.289883	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	15	3.816472	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.254431	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	23	5.851924	N
hsa-mir-1248	14	3.562041	N
hsa-mir-1249	12	3.053178	N
hsa-mir-1250	1	0.254431	N
hsa-mir-1251	80	20.354520	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	9	2.289883	N
hsa-mir-1255a	3	0.763294	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3765	957.934586	N
hsa-mir-125b-1	904	230.006073	N
hsa-mir-125b-2	10	2.544315	N
hsa-mir-126	14140	3597.661367	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.254431	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	57	14.502595	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	321	81.672511	N
hsa-mir-1270-1	2	0.508863	N
hsa-mir-1270-2	1	0.254431	N
hsa-mir-1271	3	0.763294	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	2	0.508863	N
hsa-mir-1275	2	0.508863	N
hsa-mir-1276	2	0.508863	N
hsa-mir-1277	1	0.254431	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	166	42.235629	N
hsa-mir-128-2	123	31.295074	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.254431	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.254431	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	238	60.554696	N
hsa-mir-1288	2	0.508863	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	12	3.053178	N
hsa-mir-129-2	18	4.579767	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	2	0.508863	N
hsa-mir-1293	4	1.017726	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	5	1.272157	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	60	15.265890	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	38	9.668397	N
hsa-mir-1307	9909	2521.161704	N
hsa-mir-130a	197	50.123005	N
hsa-mir-130b	72	18.319068	N
hsa-mir-132	246	62.590148	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	43	10.940554	Y
hsa-mir-133a-2	2	0.508863	Y
hsa-mir-133b	4	1.017726	Y
hsa-mir-134	103	26.206444	N
hsa-mir-135a-1	48	12.212712	N
hsa-mir-135a-2	4	1.017726	N
hsa-mir-135b	911	231.787094	N
hsa-mir-136	69	17.555773	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	3	0.763294	N
hsa-mir-138-2	2	0.508863	N
hsa-mir-139	223	56.738224	N
hsa-mir-140	3094	787.211052	N
