miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30206	4447.846911	N
hsa-let-7a-2	60334	8884.208288	N
hsa-let-7a-3	30258	4455.503934	N
hsa-let-7b	43589	6418.499603	N
hsa-let-7c	855	125.899130	N
hsa-let-7d	2563	377.402888	N
hsa-let-7e	4118	606.377328	N
hsa-let-7f-1	127	18.700806	N
hsa-let-7f-2	51353	7561.752051	N
hsa-let-7g	4415	650.110710	N
hsa-let-7i	3731	549.391407	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	6	0.883503	N
hsa-mir-100	982	144.599936	N
hsa-mir-101-1	39467	5811.533273	N
hsa-mir-101-2	216	31.806096	N
hsa-mir-103-1	177943	26202.185756	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	84	12.369037	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	235	34.603854	Y
hsa-mir-106b	2772	408.178231	N
hsa-mir-107	744	109.554330	Y
hsa-mir-10a	17936	2641.083964	N
hsa-mir-10b	39259	5780.905181	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.147250	N
hsa-mir-1180	111	16.344799	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.147250	N
