miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	43698	5805.035149	N
hsa-let-7a-2	86988	11555.869777	N
hsa-let-7a-3	43775	5815.264168	N
hsa-let-7b	96617	12835.028627	N
hsa-let-7c	4517	600.058212	N
hsa-let-7d	2085	276.980601	N
hsa-let-7e	4997	663.823531	N
hsa-let-7f-1	112	14.878574	N
hsa-let-7f-2	39544	5253.199458	N
hsa-let-7g	3187	423.375143	N
hsa-let-7i	5029	668.074552	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	43	5.712310	N
hsa-mir-100	26562	3528.613292	N
hsa-mir-101-1	41063	5454.990121	N
hsa-mir-101-2	478	63.499629	N
hsa-mir-103-1	133919	17790.390912	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	60	7.970665	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.132844	N
hsa-mir-105-2	1	0.132844	N
hsa-mir-106a	61	8.103509	Y
hsa-mir-106b	2172	288.538065	N
hsa-mir-107	587	77.979670	Y
hsa-mir-10a	123484	16404.159465	N
hsa-mir-10b	54551	7246.795560	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	208	27.631638	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.664222	N
hsa-mir-1185-2	4	0.531378	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.132844	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.664222	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	1.062755	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.797066	N
hsa-mir-1229	4	0.531378	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.265689	N
hsa-mir-1237	1	0.132844	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.132844	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	7	0.929911	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	41	5.446621	N
hsa-mir-1248	4	0.531378	N
hsa-mir-1249	8	1.062755	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	10	1.328444	N
hsa-mir-1255a	2	0.265689	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.265689	N
hsa-mir-125a	3062	406.769592	N
hsa-mir-125b-1	2418	321.217790	N
hsa-mir-125b-2	39	5.180932	N
hsa-mir-126	3794	504.011702	N
