miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18716	9036.913930	N
hsa-let-7a-2	38154	18422.441444	N
hsa-let-7a-3	19162	9252.262488	N
hsa-let-7b	28081	13558.750805	N
hsa-let-7c	2441	1178.622938	N
hsa-let-7d	1619	781.724923	N
hsa-let-7e	3322	1604.008767	N
hsa-let-7f-1	92	44.421676	N
hsa-let-7f-2	18486	8925.859740	N
hsa-let-7g	2771	1337.961557	N
hsa-let-7i	1660	801.521539	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	36	17.382395	N
hsa-mir-100	57543	27784.309588	N
hsa-mir-101-1	2637	1273.260421	N
hsa-mir-101-2	21	10.139730	N
hsa-mir-103-1	40924	19759.920157	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	22	10.622575	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	35	16.899551	Y
hsa-mir-106b	823	397.380859	N
hsa-mir-107	174	84.014908	Y
hsa-mir-10a	28614	13816.106817	N
hsa-mir-10b	8770	4234.544516	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	130	62.769759	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	1.448533	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	4.345599	N
hsa-mir-1227	1	0.482844	N
hsa-mir-1228	3	1.448533	N
hsa-mir-1229	6	2.897066	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.965689	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	26	12.553952	N
hsa-mir-1248	4	1.931377	N
hsa-mir-1249	5	2.414222	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	1.448533	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.482844	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.965689	N
hsa-mir-125a	3299	1592.903348	N
hsa-mir-125b-1	3541	1709.751668	N
hsa-mir-125b-2	17	8.208353	N
hsa-mir-126	6212	2999.428795	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	1.931377	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	34	16.416706	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2	0.965689	N
hsa-mir-127	98	47.318741	N
hsa-mir-1270-1	5	2.414222	N
hsa-mir-1270-2	8	3.862754	N
hsa-mir-1271	4	1.931377	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	3	1.448533	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.482844	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	134	64.701136	N
hsa-mir-128-2	106	51.181496	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.482844	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	44	21.245149	N
hsa-mir-1288	2	0.965689	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.965689	N
hsa-mir-129-2	1	0.482844	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	3	1.448533	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.482844	N
hsa-mir-1295	3	1.448533	N
hsa-mir-1296	4	1.931377	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	17.865239	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.482844	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	16	7.725509	N
hsa-mir-1307	2059	994.176415	N
hsa-mir-130a	43	20.762305	N
hsa-mir-130b	85	41.041766	N
hsa-mir-132	352	169.961194	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	47	22.693682	N
hsa-mir-133a-2	1	0.482844	Y
hsa-mir-133b	1	0.482844	Y
hsa-mir-134	66	31.867724	N
hsa-mir-135a-1	4	1.931377	N
