miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	23415	7040.261032	N
hsa-let-7a-2	46495	13979.796571	N
hsa-let-7a-3	23457	7052.889303	N
hsa-let-7b	46354	13937.401661	N
hsa-let-7c	3193	960.049262	N
hsa-let-7d	1790	538.204879	N
hsa-let-7e	3099	931.785989	N
hsa-let-7f-1	81	24.354522	N
hsa-let-7f-2	60086	18066.244902	N
hsa-let-7g	2681	806.104626	N
hsa-let-7i	1790	538.204879	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	66	19.844426	N
hsa-mir-100	13530	4068.107272	N
hsa-mir-101-1	43683	13134.303766	N
hsa-mir-101-2	827	248.656668	N
hsa-mir-103-1	86141	25900.282963	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	17	5.111443	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	7	2.104712	Y
hsa-mir-106b	1320	396.888514	N
hsa-mir-107	237	71.259529	Y
hsa-mir-10a	85792	25795.348046	N
hsa-mir-10b	98906	29738.375301	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	43	12.928944	N
hsa-mir-1181	3	0.902019	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.601346	N
hsa-mir-1227	1	0.300673	N
hsa-mir-1228	2	0.601346	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	76	22.851157	N
hsa-mir-1248	3	0.902019	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	0	0.000000	N
hsa-mir-1255a	2	0.601346	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2693	809.712704	N
hsa-mir-125b-1	852	256.173496	N
hsa-mir-125b-2	28	8.418847	N
hsa-mir-126	2425	729.132308	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.300673	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	86	25.857888	N
