miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25291	4522.109362	N
hsa-let-7a-2	50043	8947.843849	N
hsa-let-7a-3	25367	4535.698398	N
hsa-let-7b	37612	6725.142435	N
hsa-let-7c	2887	516.204568	N
hsa-let-7d	1546	276.429602	N
hsa-let-7e	6224	1112.870534	N
hsa-let-7f-1	82	14.661855	N
hsa-let-7f-2	47459	8485.816622	N
hsa-let-7g	2980	532.833257	N
hsa-let-7i	4965	887.757423	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	17	3.039653	N
hsa-mir-100	13262	2371.286796	N
hsa-mir-101-1	44825	8014.849240	N
hsa-mir-101-2	156	27.893285	N
hsa-mir-103-1	53626	9588.495379	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	30	5.364093	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	4	0.715212	N
hsa-mir-105-2	1	0.178803	N
hsa-mir-106a	71	12.695021	Y
hsa-mir-106b	2143	383.175057	N
hsa-mir-107	337	60.256647	Y
hsa-mir-10a	43796	7830.860844	N
hsa-mir-10b	9331	1668.411785	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	55	9.834171	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	19	3.397259	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.536409	N
hsa-mir-1227	1	0.178803	N
hsa-mir-1228	4	0.715212	N
hsa-mir-1229	11	1.966834	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.178803	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	2	0.357606	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	2.145637	N
hsa-mir-1248	9	1.609228	N
hsa-mir-1249	2	0.357606	N
hsa-mir-1250	1	0.178803	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	7	1.251622	N
hsa-mir-1255a	3	0.536409	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.178803	N
hsa-mir-125a	2611	466.854911	N
hsa-mir-125b-1	905	161.816811	N
hsa-mir-125b-2	38	6.794518	N
hsa-mir-126	9077	1622.995796	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.251622	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	41	7.330927	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2	0.357606	N
hsa-mir-127	467	83.501051	N
hsa-mir-1270-1	10	1.788031	N
hsa-mir-1270-2	14	2.503243	N
hsa-mir-1271	9	1.609228	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	6	1.072819	N
hsa-mir-1275	1	0.178803	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.357606	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	319	57.038191	N
hsa-mir-128-2	270	48.276839	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.178803	N
hsa-mir-1283-2	2	0.357606	N
hsa-mir-1284	2	0.357606	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	94	16.807492	N
hsa-mir-1288	4	0.715212	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	24	4.291275	N
hsa-mir-129-2	18	3.218456	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.357606	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	7	1.251622	N
hsa-mir-1294	1	0.178803	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	10	1.788031	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	45	8.046140	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.715212	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	20	3.576062	N
hsa-mir-1307	4539	811.587300	N
hsa-mir-130a	256	45.773595	N
hsa-mir-130b	69	12.337414	N
hsa-mir-132	422	75.454911	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	1.072819	N
hsa-mir-133a-2	1	0.178803	Y
hsa-mir-133b	1	0.178803	Y
hsa-mir-134	107	19.131932	N
hsa-mir-135a-1	1	0.178803	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	97	17.343901	N
hsa-mir-136	47	8.403746	N
hsa-mir-137	2	0.357606	N
hsa-mir-138-1	6	1.072819	N
hsa-mir-138-2	6	1.072819	N
hsa-mir-139	354	63.296300	N
hsa-mir-140	1952	349.023664	N
hsa-mir-141	8363	1495.330378	N
hsa-mir-142	7491	1339.414069	N
hsa-mir-143	117256	20965.737034	N
hsa-mir-144	137	24.496026	N
hsa-mir-145	1981	354.208954	N
hsa-mir-1468	16	2.860850	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	334	59.720238	N
hsa-mir-146b	15043	2689.735128	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	317666	56799.667569	N
hsa-mir-148b	644	115.149200	N
hsa-mir-149	219	39.157880	N
hsa-mir-150	1471	263.019369	N
hsa-mir-151	9368	1675.027500	N
hsa-mir-152	1500	268.204659	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	14	2.503243	N
hsa-mir-1537	1	0.178803	N
hsa-mir-1538	2	0.357606	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	4	0.715212	N
hsa-mir-155	1409	251.933577	N
hsa-mir-15a	1280	228.867976	N
hsa-mir-15b	1101	196.862220	N
hsa-mir-16-1	2537	453.623481	N
hsa-mir-16-2	71	12.695021	N
hsa-mir-17	1757	314.157058	Y
hsa-mir-181a-1	7508	1342.453722	N
hsa-mir-181a-2	1979	353.851347	N
hsa-mir-181b-1	1628	291.091457	N
hsa-mir-181b-2	17	3.039653	N
hsa-mir-181c	232	41.482321	N
hsa-mir-181d	46	8.224943	N
hsa-mir-182	262416	46920.795946	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	65785	11762.562349	N
hsa-mir-184	9	1.609228	N
hsa-mir-185	280	50.064870	N
hsa-mir-186	1448	258.906898	N
hsa-mir-187	12	2.145637	N
hsa-mir-188	3	0.536409	N
hsa-mir-18a	31	5.542896	N
hsa-mir-18b	1	0.178803	N
hsa-mir-190	2	0.357606	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	1	0.178803	N
hsa-mir-191	3303	590.586660	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	867	155.022293	N
hsa-mir-193a	298	53.283326	N
hsa-mir-193b	261	46.667611	N
hsa-mir-194-1	279	49.886067	N
hsa-mir-194-2	319	57.038191	N
hsa-mir-195	133	23.780813	N
hsa-mir-196a-1	946	169.147739	N
hsa-mir-196a-2	83	14.840658	N
hsa-mir-196b	19	3.397259	N
hsa-mir-197	1528	273.211146	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	43	7.688534	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2661	475.795066	Y
hsa-mir-199a-2	4047	723.616171	Y
hsa-mir-199b	4476	800.322704	Y
hsa-mir-19a	102	18.237917	N
hsa-mir-19b-1	21	3.754865	N
hsa-mir-19b-2	350	62.581087	N
hsa-mir-200a	2548	455.590315	N
hsa-mir-200b	2700	482.768387	N
hsa-mir-200c	26456	4730.414981	N
hsa-mir-202	1	0.178803	N
hsa-mir-203	31339	5603.510549	N
hsa-mir-204	3	0.536409	N
hsa-mir-205	163	29.144906	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	828	148.048972	N
hsa-mir-20b	181	32.363362	N
hsa-mir-21	3379237	604218.072560	N
hsa-mir-210	10504	1878.147829	N
hsa-mir-211	2	0.357606	N
hsa-mir-2110	7	1.251622	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	14	2.503243	N
hsa-mir-214	34	6.079306	N
hsa-mir-215	7	1.251622	N
hsa-mir-216a	1	0.178803	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	21	3.754865	N
hsa-mir-218-1	2	0.357606	N
hsa-mir-218-2	99	17.701508	N
hsa-mir-219-1	11	1.966834	N
hsa-mir-219-2	1	0.178803	N
hsa-mir-22	258794	46273.171095	N
hsa-mir-221	652	116.579625	N
hsa-mir-222	234	41.839927	N
hsa-mir-223	594	106.209045	N
hsa-mir-224	274	48.992051	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	1	0.178803	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	307	54.892554	N
hsa-mir-23a	7077	1265.389583	Y
hsa-mir-23b	5158	922.266422	Y
hsa-mir-23c	29	5.185290	N
hsa-mir-24-1	116	20.741160	N
hsa-mir-24-2	6225	1113.049337	N
hsa-mir-25	26702	4774.400545	N
hsa-mir-26a-1	1	0.178803	N
hsa-mir-26a-2	5492	981.986660	N
hsa-mir-26b	1902	340.083508	N
hsa-mir-27a	3477	621.698401	Y
hsa-mir-27b	11204	2003.310003	Y
hsa-mir-28	12436	2223.595430	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	17	3.039653	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	1	0.178803	N
hsa-mir-29a	126662	22647.559052	N
hsa-mir-29b-1	9029	1614.413247	N
hsa-mir-29b-2	9433	1686.649702	Y
hsa-mir-29c	22791	4075.101596	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	60	10.728186	N
hsa-mir-301b	2	0.357606	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
