miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	126899	9973.190062	N
hsa-let-7a-2	252376	19834.622929	N
hsa-let-7a-3	126870	9970.910907	N
hsa-let-7b	111739	8781.742049	N
hsa-let-7c	20190	1586.763547	N
hsa-let-7d	3920	308.078906	N
hsa-let-7e	15671	1231.608298	N
hsa-let-7f-1	302	23.734650	N
hsa-let-7f-2	231663	18206.755997	N
hsa-let-7g	10491	824.504030	N
hsa-let-7i	9312	731.844584	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	456	35.837750	N
hsa-mir-100	172360	13546.040860	Y
hsa-mir-101-1	105126	8262.016079	N
hsa-mir-101-2	504	39.610145	N
hsa-mir-103-1	116079	9122.829409	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	50	3.929578	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.078592	N
hsa-mir-105-2	1	0.078592	N
hsa-mir-106a	26	2.043380	Y
hsa-mir-106b	3208	252.121717	N
hsa-mir-107	525	41.260568	Y
hsa-mir-10a	478005	37567.157468	N
hsa-mir-10b	165239	12986.390379	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.078592	N
hsa-mir-1180	62	4.872677	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.021690	N
hsa-mir-1185-2	4	0.314366	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.078592	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.157183	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.314366	N
hsa-mir-1227	1	0.078592	N
hsa-mir-1228	10	0.785916	N
hsa-mir-1229	1	0.078592	N
hsa-mir-1231	1	0.078592	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.078592	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.078592	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	21	1.650423	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	241	18.940565	N
hsa-mir-1248	4	0.314366	N
hsa-mir-1249	12	0.943099	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.078592	N
hsa-mir-1255a	3	0.235775	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.157183	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.392958	N
hsa-mir-125a	4424	347.689051	N
hsa-mir-125b-1	5571	437.833567	N
hsa-mir-125b-2	123	9.666762	N
hsa-mir-126	40343	3170.619206	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	0.864507	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	1.414648	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1	0.078592	N
hsa-mir-127	19343	1520.196498	N
hsa-mir-1270-1	2	0.157183	N
hsa-mir-1270-2	2	0.157183	N
hsa-mir-1271	19	1.493240	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	14	1.100282	N
hsa-mir-1275	3	0.235775	N
hsa-mir-1276	1	0.078592	N
hsa-mir-1277	13	1.021690	N
hsa-mir-1278	2	0.157183	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	628	49.355498	N
hsa-mir-128-2	446	35.051835	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.078592	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.078592	N
hsa-mir-1287	258	20.276622	N
hsa-mir-1288	3	0.235775	N
hsa-mir-1289-1	1	0.078592	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	0.864507	N
hsa-mir-129-2	12	0.943099	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.157183	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	4	0.314366	N
hsa-mir-1294	5	0.392958	N
hsa-mir-1295	2	0.157183	N
hsa-mir-1296	27	2.121972	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	57	4.479719	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	20	1.571831	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	31	2.436338	N
hsa-mir-1307	5454	428.638355	N
hsa-mir-130a	433	34.030144	N
hsa-mir-130b	150	11.788734	N
hsa-mir-132	1666	130.933535	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	48	3.772395	Y
hsa-mir-133a-2	2	0.157183	Y
hsa-mir-133b	6	0.471549	Y
hsa-mir-134	11761	924.315308	N
hsa-mir-135a-1	1	0.078592	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	213	16.740002	N
hsa-mir-136	824	64.759443	N
hsa-mir-137	2	0.157183	N
hsa-mir-138-1	2	0.157183	N
hsa-mir-138-2	2	0.157183	N
hsa-mir-139	670	52.656344	N
hsa-mir-140	9759	766.975010	N
hsa-mir-141	9414	739.860923	N
hsa-mir-142	40685	3197.497519	N
hsa-mir-143	2748482	216007.481288	N
hsa-mir-144	1696	133.291282	N
hsa-mir-145	12557	986.874188	N
hsa-mir-1468	19	1.493240	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1231	96.746207	N
hsa-mir-146b	25108	1973.276827	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	9	0.707324	N
hsa-mir-148a	327554	25742.979043	N
hsa-mir-148b	1614	126.846774	N
hsa-mir-149	145	11.395776	N
hsa-mir-150	9229	725.321485	N
hsa-mir-151	31418	2469.189555	N
hsa-mir-152	4824	379.125674	N
hsa-mir-153-1	4	0.314366	N
hsa-mir-153-2	163	12.810424	N
hsa-mir-1537	2	0.157183	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	280	22.005636	N
hsa-mir-155	4587	360.499474	N
hsa-mir-15a	974	76.548177	N
hsa-mir-15b	755	59.336626	N
hsa-mir-16-1	3848	302.420313	N
hsa-mir-16-2	33	2.593521	N
hsa-mir-17	2257	177.381145	Y
hsa-mir-181a-1	20118	1581.104955	N
hsa-mir-181a-2	12504	982.708836	N
hsa-mir-181b-1	4268	335.428768	N
hsa-mir-181b-2	61	4.794085	N
hsa-mir-181c	570	44.797188	N
hsa-mir-181d	80	6.287325	N
hsa-mir-182	219711	17267.429702	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	79581	6254.394742	N
hsa-mir-184	8	0.628732	N
hsa-mir-185	930	73.090149	N
hsa-mir-186	1971	154.903960	N
hsa-mir-187	558	43.854089	N
hsa-mir-188	16	1.257465	N
hsa-mir-18a	25	1.964789	N
hsa-mir-18b	0	0.000000	N
hsa-mir-190	30	2.357747	N
hsa-mir-1908	1	0.078592	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	2	0.157183	N
hsa-mir-191	2008	157.811848	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1723	135.413254	Y
hsa-mir-193a	1004	78.905924	N
