miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12179	4565.369615	N
hsa-let-7a-2	24355	9129.614663	N
hsa-let-7a-3	12318	4617.474581	N
hsa-let-7b	44603	16719.696277	N
hsa-let-7c	861	322.750902	N
hsa-let-7d	1976	740.715195	N
hsa-let-7e	1335	500.432584	N
hsa-let-7f-1	32	11.995388	N
hsa-let-7f-2	14593	5470.271681	N
hsa-let-7g	1586	594.521407	N
hsa-let-7i	2216	830.680603	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	7	2.623991	N
hsa-mir-100	21137	7923.328480	N
hsa-mir-101-1	23811	8925.693071	N
hsa-mir-101-2	42	15.743946	N
hsa-mir-103-1	40728	15267.129789	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	23	8.621685	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	2	0.749712	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	71	26.614767	Y
hsa-mir-106b	3187	1194.665651	N
hsa-mir-107	447	167.560573	Y
hsa-mir-10a	36483	13675.866629	N
hsa-mir-10b	12193	4570.617598	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	260	97.462526	N
hsa-mir-1181	1	0.374856	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.374856	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	2.623991	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	2.623991	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.374856	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.374856	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.374856	N
hsa-mir-1244-2	0	0.000000	N
