miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12820	2979.964966	N
hsa-let-7a-2	25741	5983.407034	N
hsa-let-7a-3	12907	3000.187817	N
hsa-let-7b	23335	5424.140599	N
hsa-let-7c	2643	614.356272	N
hsa-let-7d	1223	284.282149	N
hsa-let-7e	2607	605.988195	N
hsa-let-7f-1	91	21.152637	N
hsa-let-7f-2	17476	4062.236173	N
hsa-let-7g	1981	460.476646	N
hsa-let-7i	1471	341.928897	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	26	6.043611	N
hsa-mir-100	14519	3374.891680	Y
hsa-mir-101-1	38945	9052.631481	N
hsa-mir-101-2	325	75.545134	N
hsa-mir-103-1	101151	23512.202515	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	29	6.740950	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.464893	N
hsa-mir-106a	47	10.924989	Y
hsa-mir-106b	1555	361.454409	N
hsa-mir-107	427	99.254683	Y
hsa-mir-10a	76822	17857.010031	N
hsa-mir-10b	14155	3290.281130	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.232447	N
hsa-mir-1180	88	20.455298	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.232447	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	2.092019	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.627126	N
hsa-mir-1229	5	1.162233	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.232447	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	44	10.227649	N
hsa-mir-1248	3	0.697340	N
hsa-mir-1249	6	1.394679	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.232447	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	11	2.556912	N
hsa-mir-1255a	7	1.627126	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.464893	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2786	647.596131	N
hsa-mir-125b-1	1117	259.642813	N
hsa-mir-125b-2	11	2.556912	N
hsa-mir-126	9535	2216.377999	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.929786	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	63	14.644134	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	386	89.724374	N
hsa-mir-1270-1	3	0.697340	N
hsa-mir-1270-2	2	0.464893	N
hsa-mir-1271	3	0.697340	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	3	0.697340	N
hsa-mir-1275	1	0.232447	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.697340	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	172	39.980809	N
hsa-mir-128-2	95	22.082424	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.232447	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.232447	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	130	30.218053	N
hsa-mir-1288	2	0.464893	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.464893	N
hsa-mir-129-2	2	0.464893	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	4	0.929786	N
hsa-mir-1293	3	0.697340	N
hsa-mir-1294	1	0.232447	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	7	1.627126	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.232447	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	29	6.740950	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	1.394679	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	20	4.648931	N
hsa-mir-1307	5649	1313.090647	N
hsa-mir-130a	376	87.399909	N
hsa-mir-130b	100	23.244657	N
hsa-mir-132	292	67.874397	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	24	5.578718	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	2	0.464893	Y
hsa-mir-134	103	23.941996	N
hsa-mir-135a-1	6	1.394679	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	140	32.542519	N
hsa-mir-136	49	11.389882	N
hsa-mir-137	6	1.394679	N
hsa-mir-138-1	8	1.859573	N
hsa-mir-138-2	5	1.162233	N
hsa-mir-139	373	86.702569	N
hsa-mir-140	4559	1059.723891	N
