miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	7000	2433.630549	N
hsa-let-7a-2	13980	4860.307868	Y
hsa-let-7a-3	7200	2503.162851	N
hsa-let-7b	8598	2989.193637	N
hsa-let-7c	1998	694.627691	Y
hsa-let-7d	663	230.499579	N
hsa-let-7e	1879	653.255972	N
hsa-let-7f-1	29	10.082184	N
hsa-let-7f-2	8975	3120.262026	N
hsa-let-7g	1145	398.072426	N
hsa-let-7i	699	243.015393	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.347662	N
hsa-mir-100	5264	1830.090173	N
hsa-mir-101-1	15521	5396.054250	N
hsa-mir-101-2	73	25.379290	N
hsa-mir-103-1	68937	23966.741310	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	87	30.246551	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	3	1.042985	N
hsa-mir-105-2	3	1.042985	N
hsa-mir-106a	103	35.809135	Y
hsa-mir-106b	3907	1358.313508	N
hsa-mir-107	298	103.603129	Y
hsa-mir-10a	75748	26334.663834	N
hsa-mir-10b	66497	23118.447232	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.347662	N
hsa-mir-1180	195	67.793994	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.695323	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	23	7.996215	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.347662	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.042985	N
hsa-mir-1229	4	1.390646	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.347662	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	5	1.738308	N
hsa-mir-1246	2	0.695323	N
hsa-mir-1247	14	4.867261	N
hsa-mir-1248	13	4.519600	N
hsa-mir-1249	6	2.085969	N
hsa-mir-1250	1	0.347662	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	8	2.781292	N
hsa-mir-1255a	8	2.781292	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1452	504.804508	N
hsa-mir-125b-1	788	273.957268	N
hsa-mir-125b-2	48	16.687752	N
hsa-mir-126	6201	2155.849005	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	2	0.695323	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.695323	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
