miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	20707	3927.142191	N
hsa-let-7a-2	41795	7926.542129	N
hsa-let-7a-3	20687	3923.349133	N
hsa-let-7b	45588	8645.895504	N
hsa-let-7c	7266	1378.017828	N
hsa-let-7d	2223	421.598353	N
hsa-let-7e	3571	677.250435	N
hsa-let-7f-1	98	18.585982	N
hsa-let-7f-2	26757	5074.542116	N
hsa-let-7g	2780	527.235007	N
hsa-let-7i	2760	523.441949	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	41	7.775768	N
hsa-mir-100	33282	6312.027160	Y
hsa-mir-101-1	40172	7618.735505	N
hsa-mir-101-2	217	41.154675	N
hsa-mir-103-1	120796	22909.309320	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	57	10.810214	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.189653	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	167	31.672031	Y
hsa-mir-106b	2689	509.976595	N
hsa-mir-107	486	92.171300	Y
hsa-mir-10a	82149	15579.794458	N
hsa-mir-10b	12015	2278.679356	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.189653	N
hsa-mir-1180	137	25.982445	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.189653	N
hsa-mir-1185-2	1	0.189653	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.568959	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.948264	N
hsa-mir-1229	3	0.568959	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.189653	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	7	1.327570	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	35	6.637851	N
hsa-mir-1248	15	2.844793	N
hsa-mir-1249	12	2.275835	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	0.568959	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
