miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	39316	6994.876959	N
hsa-let-7a-2	78397	13947.944067	N
hsa-let-7a-3	39107	6957.692879	N
hsa-let-7b	58080	10333.260092	N
hsa-let-7c	5379	957.000793	N
hsa-let-7d	1939	344.975746	N
hsa-let-7e	8096	1440.393831	N
hsa-let-7f-1	141	25.085910	N
hsa-let-7f-2	56371	10029.204625	N
hsa-let-7g	3914	696.356405	N
hsa-let-7i	2541	452.080129	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	176	31.312909	N
hsa-mir-100	19552	3478.579568	Y
hsa-mir-101-1	63319	11265.352888	N
hsa-mir-101-2	434	77.214788	N
hsa-mir-103-1	105834	18829.377558	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	52	9.251541	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	144	25.619653	Y
hsa-mir-106b	2574	457.951300	N
hsa-mir-107	424	75.435645	Y
hsa-mir-10a	233733	41584.433214	N
hsa-mir-10b	30878	5493.636452	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.177914	N
hsa-mir-1180	135	24.018425	N
hsa-mir-1181	3	0.533743	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.779143	N
hsa-mir-1185-2	2	0.355829	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.533743	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.177914	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.245400	N
hsa-mir-1227	1	0.177914	N
hsa-mir-1228	12	2.134971	N
hsa-mir-1229	7	1.245400	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.177914	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	5	0.889571	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	40	7.116570	N
hsa-mir-1248	7	1.245400	N
hsa-mir-1249	5	0.889571	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	6	1.067486	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	6	1.067486	N
hsa-mir-1255a	1	0.177914	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4717	839.221554	N
hsa-mir-125b-1	1969	350.313174	N
hsa-mir-125b-2	51	9.073627	N
hsa-mir-126	35533	6321.827322	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.889571	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	42	7.472399	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	63	11.208598	N
hsa-mir-127	7988	1421.179091	N
hsa-mir-1270-1	11	1.957057	N
hsa-mir-1270-2	5	0.889571	N
hsa-mir-1271	6	1.067486	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	17	3.024542	N
hsa-mir-1275	1	0.177914	N
hsa-mir-1276	1	0.177914	N
hsa-mir-1277	5	0.889571	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	372	66.184104	N
hsa-mir-128-2	271	48.214764	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.177914	N
hsa-mir-1284	3	0.533743	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	144	25.619653	N
hsa-mir-1288	1	0.177914	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	1.779143	N
hsa-mir-129-2	10	1.779143	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.889571	N
hsa-mir-1292	1	0.177914	N
hsa-mir-1293	1	0.177914	N
hsa-mir-1294	5	0.889571	N
hsa-mir-1295	3	0.533743	N
hsa-mir-1296	13	2.312885	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.533743	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	40	7.116570	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.177914	N
hsa-mir-1304	2	0.355829	N
hsa-mir-1305	1	0.177914	N
hsa-mir-1306	28	4.981599	N
hsa-mir-1307	6581	1170.853730	N
hsa-mir-130a	582	103.546098	N
hsa-mir-130b	157	27.932538	N
hsa-mir-132	537	95.539956	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	84	14.944798	Y
hsa-mir-133a-2	1	0.177914	Y
hsa-mir-133b	5	0.889571	Y
hsa-mir-134	2472	439.804045	N
hsa-mir-135a-1	12	2.134971	N
hsa-mir-135a-2	3	0.533743	N
hsa-mir-135b	274	48.748507	N
hsa-mir-136	1011	179.871315	N
hsa-mir-137	3	0.533743	N
hsa-mir-138-1	8	1.423314	N
hsa-mir-138-2	5	0.889571	N
hsa-mir-139	945	168.128974	N
hsa-mir-140	7930	1410.860064	N
hsa-mir-141	7447	1324.927478	N
hsa-mir-142	18951	3371.653099	N
hsa-mir-143	364389	64829.998479	N
hsa-mir-144	1098	195.349855	N
hsa-mir-145	10132	1802.627260	N
hsa-mir-1468	19	3.380371	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1160	206.380539	N
hsa-mir-146b	15470	2752.333568	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	6	1.067486	N
hsa-mir-148a	228341	40625.119536	N
hsa-mir-148b	1040	185.030828	N
hsa-mir-149	40	7.116570	N
hsa-mir-150	6651	1183.307729	N
hsa-mir-151	8934	1589.485979	N
hsa-mir-152	657	116.889667	N
hsa-mir-153-1	2	0.355829	N
hsa-mir-153-2	34	6.049085	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.177914	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	188	33.447880	N
hsa-mir-155	2882	512.748891	N
hsa-mir-15a	1445	257.086102	N
hsa-mir-15b	1176	209.227167	N
hsa-mir-16-1	2482	441.583188	N
hsa-mir-16-2	36	6.404913	N
hsa-mir-17	3004	534.454430	Y
