miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16277	3769.158985	N
hsa-let-7a-2	33068	7657.341605	N
hsa-let-7a-3	16368	3790.231262	N
hsa-let-7b	25810	5976.653769	N
hsa-let-7c	3103	718.541520	N
hsa-let-7d	899	208.175581	N
hsa-let-7e	3463	801.904378	N
hsa-let-7f-1	80	18.525079	N
hsa-let-7f-2	19408	4494.184283	N
hsa-let-7g	2272	526.112257	N
hsa-let-7i	2594	600.675702	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	11	2.547198	N
hsa-mir-100	13981	3237.489203	N
hsa-mir-101-1	24481	5668.905886	N
hsa-mir-101-2	130	30.103254	N
hsa-mir-103-1	58738	13601.576484	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	37	8.567849	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	6	1.389381	N
hsa-mir-105-2	6	1.389381	N
hsa-mir-106a	153	35.429215	Y
hsa-mir-106b	2411	558.299583	N
hsa-mir-107	268	62.059016	Y
hsa-mir-10a	138629	32101.415548	N
hsa-mir-10b	20794	4815.131285	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	79	18.293516	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	33	7.641595	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.389381	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.463127	N
hsa-mir-1229	1	0.231563	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.231563	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	7	1.620944	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	16	3.705016	N
hsa-mir-1248	2	0.463127	N
hsa-mir-1249	1	0.231563	N
hsa-mir-1250	3	0.694690	N
