miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30452	5752.574320	N
hsa-let-7a-2	61026	11528.195208	N
hsa-let-7a-3	30557	5772.409481	N
hsa-let-7b	33260	6283.023181	N
hsa-let-7c	2177	411.248992	N
hsa-let-7d	1740	328.696943	N
hsa-let-7e	4520	853.856427	N
hsa-let-7f-1	121	22.857661	N
hsa-let-7f-2	46007	8691.011650	N
hsa-let-7g	3720	702.731396	N
hsa-let-7i	1928	364.211326	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	61	11.523284	N
hsa-mir-100	13678	2583.860224	N
hsa-mir-101-1	75875	14333.264697	N
hsa-mir-101-2	529	99.931427	N
hsa-mir-103-1	165826	31325.574322	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	31	5.856095	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	96	18.135004	Y
hsa-mir-106b	1790	338.142258	N
hsa-mir-107	591	111.643617	Y
hsa-mir-10a	41522	7843.766943	N
hsa-mir-10b	2781	525.348390	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	147	27.769225	N
hsa-mir-1181	2	0.377813	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.188906	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
