miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	24286	5461.134893	N
hsa-let-7a-2	48231	10845.589930	N
hsa-let-7a-3	24502	5509.706298	N
hsa-let-7b	62773	14115.614785	N
hsa-let-7c	5210	1171.560273	N
hsa-let-7d	1725	387.896636	N
hsa-let-7e	6852	1540.792897	N
hsa-let-7f-1	98	22.037026	N
hsa-let-7f-2	27307	6140.459958	N
hsa-let-7g	2466	554.523538	N
hsa-let-7i	2240	503.703457	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	304	68.359755	N
hsa-mir-100	26904	6049.838309	N
hsa-mir-101-1	31019	6975.168544	N
hsa-mir-101-2	198	44.523788	N
hsa-mir-103-1	126263	28392.459649	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	70	15.740733	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	180	40.476171	Y
hsa-mir-106b	2719	611.415045	N
hsa-mir-107	540	121.428512	Y
hsa-mir-10a	83779	18839.183901	N
hsa-mir-10b	15407	3464.535341	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	106	23.835967	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.224868	N
hsa-mir-1185-2	1	0.224868	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.224868	N
hsa-mir-1224	3	0.674603	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.449735	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	3	0.674603	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	2	0.449735	N
hsa-mir-1246	1	0.224868	N
hsa-mir-1247	46	10.343910	N
hsa-mir-1248	5	1.124338	N
hsa-mir-1249	4	0.899470	N
hsa-mir-1250	1	0.224868	N
hsa-mir-1251	1	0.224868	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	0.674603	N
hsa-mir-1255a	1	0.224868	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.674603	N
hsa-mir-125a	4518	1015.951884	N
hsa-mir-125b-1	3449	775.568403	N
hsa-mir-125b-2	57	12.817454	N
hsa-mir-126	8812	1981.533422	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	2.473544	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	20	4.497352	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2	0.449735	N
hsa-mir-127	1969	442.764334	N
hsa-mir-1270-1	0	0.000000	N
hsa-mir-1270-2	2	0.449735	N
hsa-mir-1271	15	3.373014	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	1	0.224868	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	17	3.822749	N
hsa-mir-1275	3	0.674603	N
hsa-mir-1276	1	0.224868	N
hsa-mir-1277	2	0.449735	N
hsa-mir-1278	1	0.224868	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	299	67.235417	N
hsa-mir-128-2	199	44.748655	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.224868	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	231	51.944419	N
hsa-mir-1288	2	0.449735	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	2.248676	N
hsa-mir-129-2	7	1.574073	N
hsa-mir-1290	0	0.000000	N
