miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	19932	4316.604721	N
hsa-let-7a-2	40126	8689.949882	N
hsa-let-7a-3	20031	4338.044811	N
hsa-let-7b	44813	9704.997360	N
hsa-let-7c	3613	782.454990	N
hsa-let-7d	1674	362.532425	N
hsa-let-7e	3228	699.076863	N
hsa-let-7f-1	68	14.726526	N
hsa-let-7f-2	23496	5088.447950	N
hsa-let-7g	3210	695.178665	N
hsa-let-7i	1932	418.406599	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	52	11.261461	N
hsa-mir-100	16094	3485.422255	N
hsa-mir-101-1	39469	8547.665651	N
hsa-mir-101-2	226	48.944043	N
hsa-mir-103-1	104916	22721.297459	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	52	11.261461	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	101	21.873223	Y
hsa-mir-106b	3186	689.981068	N
hsa-mir-107	521	112.831179	Y
hsa-mir-10a	51798	11217.714798	N
hsa-mir-10b	3912	847.208392	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.216567	N
hsa-mir-1180	110	23.822322	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.216567	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.649700	N
