miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	32457	10435.089576	N
hsa-let-7a-2	64676	20793.660949	N
hsa-let-7a-3	32321	10391.364889	N
hsa-let-7b	61258	19694.756671	N
hsa-let-7c	6831	2196.201032	N
hsa-let-7d	1894	608.930575	N
hsa-let-7e	6039	1941.569028	N
hsa-let-7f-1	113	36.330071	N
hsa-let-7f-2	32487	10444.734728	N
hsa-let-7g	2169	697.344465	N
hsa-let-7i	1230	395.451218	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	121	38.902112	N
hsa-mir-100	19666	6322.718415	Y
hsa-mir-101-1	37466	12045.508398	N
hsa-mir-101-2	263	84.555830	N
hsa-mir-103-1	116993	37613.840921	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	45	14.467727	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	16	5.144081	N
hsa-mir-105-2	11	3.536556	N
hsa-mir-106a	141	45.332213	Y
hsa-mir-106b	1812	582.567160	N
hsa-mir-107	445	143.069750	Y
hsa-mir-10a	162060	52103.109243	N
hsa-mir-10b	58658	18858.843527	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.321505	N
hsa-mir-1180	192	61.728971	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.964515	N
hsa-mir-1225	1	0.321505	N
hsa-mir-1226	5	1.607525	N
hsa-mir-1227	2	0.643010	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	3	0.964515	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.321505	N
