miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18688	4276.557426	N
hsa-let-7a-2	37794	8648.769872	N
hsa-let-7a-3	18704	4280.218862	N
hsa-let-7b	38455	8800.032953	N
hsa-let-7c	2898	663.177623	N
hsa-let-7d	1715	392.460188	N
hsa-let-7e	3259	745.788776	N
hsa-let-7f-1	65	14.874584	N
hsa-let-7f-2	19460	4453.221721	N
hsa-let-7g	3156	722.218281	N
hsa-let-7i	2570	588.118182	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	42	9.611270	N
hsa-mir-100	39580	9057.477682	N
hsa-mir-101-1	34782	7959.504516	N
hsa-mir-101-2	204	46.683311	N
hsa-mir-103-1	91626	20967.671807	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	48	10.984308	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	484	110.758444	N
hsa-mir-105-2	495	113.275681	N
hsa-mir-106a	260	59.498337	Y
hsa-mir-106b	2448	560.199731	N
hsa-mir-107	479	109.614245	Y
hsa-mir-10a	170989	39129.081643	N
hsa-mir-10b	10860	2485.199789	N
hsa-mir-1178	1	0.228840	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	90	20.595578	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.686519	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.601878	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.373039	N
hsa-mir-1229	5	1.144199	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.228840	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	6	1.373039	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	24	5.492154	N
hsa-mir-1248	4	0.915359	N
hsa-mir-1249	10	2.288398	N
hsa-mir-1250	1	0.228840	N
hsa-mir-1251	1	0.228840	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	0.686519	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.457680	N
hsa-mir-125a	2543	581.939508	N
hsa-mir-125b-1	2808	642.582045	N
hsa-mir-125b-2	29	6.636353	N
hsa-mir-126	12937	2960.499969	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.457680	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	24	5.492154	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	905	207.099982	N
hsa-mir-127	1480	338.682844	N
hsa-mir-1270-1	1	0.228840	N
hsa-mir-1270-2	3	0.686519	N
hsa-mir-1271	15	3.432596	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	8	1.830718	N
hsa-mir-1275	4	0.915359	N
hsa-mir-1276	1	0.228840	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	230	52.633145	N
hsa-mir-128-2	154	35.241323	N
hsa-mir-1280	1	0.228840	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	2	0.457680	N
hsa-mir-1284	1	0.228840	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	94	21.510937	N
hsa-mir-1288	1	0.228840	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.228840	N
hsa-mir-129-2	1	0.228840	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.228840	N
hsa-mir-1292	5	1.144199	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.228840	N
hsa-mir-1295	4	0.915359	N
hsa-mir-1296	16	3.661436	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.228840	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	64	14.645745	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.686519	N
hsa-mir-1305	1	0.228840	N
hsa-mir-1306	22	5.034475	N
hsa-mir-1307	5725	1310.107623	N
hsa-mir-130a	701	160.416671	N
hsa-mir-130b	116	26.545412	N
hsa-mir-132	288	65.905851	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	2.288398	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	1	0.228840	Y
hsa-mir-134	477	109.156565	N
hsa-mir-135a-1	11	2.517237	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	410	93.824301	N
hsa-mir-136	134	30.664528	N
hsa-mir-137	2	0.457680	N
hsa-mir-138-1	19	4.347955	N
hsa-mir-138-2	15	3.432596	N
hsa-mir-139	312	71.398005	N
hsa-mir-140	3573	817.644461	N
hsa-mir-141	3195	731.143032	N
hsa-mir-142	23017	5267.204745	N
hsa-mir-143	166088	38007.537982	N
hsa-mir-144	4268	976.688094	N
hsa-mir-145	5940	1359.308172	N
hsa-mir-1468	12	2.746077	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1074	245.773902	N
hsa-mir-146b	9299	2127.980924	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	14	3.203757	N
hsa-mir-148a	133658	30586.264580	N
hsa-mir-148b	463	105.952809	N
hsa-mir-149	316	72.313364	N
hsa-mir-150	15543	3556.856382	N
hsa-mir-151	5886	1346.950825	N
hsa-mir-152	645	147.601645	N
hsa-mir-153-1	3	0.686519	N
hsa-mir-153-2	27	6.178674	N
hsa-mir-1537	2	0.457680	N
hsa-mir-1538	1	0.228840	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	18	4.119116	N
hsa-mir-155	3263	746.704135	N
hsa-mir-15a	1070	244.858543	N
hsa-mir-15b	1822	416.946042	N
hsa-mir-16-1	4419	1011.242897	N
hsa-mir-16-2	79	18.078341	N
hsa-mir-17	4498	1029.321238	Y
hsa-mir-181a-1	12996	2974.001515	N
hsa-mir-181a-2	4108	940.073732	N
hsa-mir-181b-1	2941	673.017733	N
hsa-mir-181b-2	49	11.213148	N
hsa-mir-181c	295	67.507729	N
hsa-mir-181d	50	11.441988	N
hsa-mir-182	37510	8583.779380	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	19864	4545.672983	N
hsa-mir-184	19	4.347955	N
hsa-mir-185	691	158.128274	N
hsa-mir-186	1110	254.012133	N
hsa-mir-187	18	4.119116	N
hsa-mir-188	7	1.601878	N
hsa-mir-18a	132	30.206848	N
hsa-mir-18b	5	1.144199	N
hsa-mir-190	31	7.094033	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	1	0.228840	N
hsa-mir-191	2650	606.425363	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.228840	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1719	393.375547	Y
hsa-mir-193a	1094	250.350697	N
hsa-mir-193b	545	124.717669	N
hsa-mir-194-1	438	100.231815	N
hsa-mir-194-2	546	124.946509	N
hsa-mir-195	163	37.300881	N
hsa-mir-196a-1	680	155.611036	N
hsa-mir-196a-2	63	14.416905	N
hsa-mir-196b	455	104.122091	N
hsa-mir-197	1335	305.501079	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	52	11.899667	N
hsa-mir-198	1	0.228840	N
hsa-mir-199a-1	6648	1521.326721	Y
hsa-mir-199a-2	10606	2427.074490	Y
hsa-mir-199b	13193	3019.082948	Y
hsa-mir-19a	303	69.338447	N
hsa-mir-19b-1	40	9.153590	N
hsa-mir-19b-2	1340	306.645278	N
hsa-mir-200a	1323	302.755002	N
hsa-mir-200b	965	220.830368	N
hsa-mir-200c	19376	4433.999181	N
hsa-mir-202	2	0.457680	N
hsa-mir-203	6028	1379.446070	N
hsa-mir-204	6	1.373039	N
hsa-mir-205	11983	2742.186839	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.686519	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2534	579.879951	N
hsa-mir-20b	225	51.488946	N
hsa-mir-21	2408946	551262.623373	N
hsa-mir-210	7615	1742.614769	N
hsa-mir-211	3	0.686519	N
hsa-mir-2110	4	0.915359	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	1	0.228840	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	13	2.974917	N
hsa-mir-214	200	45.767952	N
hsa-mir-215	13	2.974917	Y
hsa-mir-216a	5	1.144199	N
hsa-mir-216b	1	0.228840	N
hsa-mir-217	85	19.451380	N
hsa-mir-218-1	4	0.915359	N
hsa-mir-218-2	182	41.648836	N
hsa-mir-219-1	16	3.661436	N
hsa-mir-219-2	4	0.915359	N
hsa-mir-22	235224	53828.603597	N
hsa-mir-221	1037	237.306831	N
hsa-mir-222	503	115.106399	N
hsa-mir-223	1670	382.162398	N
hsa-mir-224	327	74.830601	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	3	0.686519	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	190	43.479554	N
hsa-mir-23a	9960	2279.244005	Y
hsa-mir-23b	4127	944.421688	Y
hsa-mir-23c	3	0.686519	N
hsa-mir-24-1	107	24.485854	N
hsa-mir-24-2	9393	2149.491861	N
hsa-mir-25	30317	6937.734990	N
hsa-mir-26a-1	4	0.915359	N
hsa-mir-26a-2	12616	2887.042406	N
hsa-mir-26b	5395	1234.590503	N
hsa-mir-27a	10646	2436.228080	Y
hsa-mir-27b	9347	2138.965232	Y
hsa-mir-28	11739	2686.349937	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	18	4.119116	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	11	2.517237	N
hsa-mir-29a	49682	11369.216933	N
hsa-mir-29b-1	3233	739.838943	N
hsa-mir-29b-2	3351	766.842034	N
hsa-mir-29c	15279	3496.442686	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	209	47.827510	N
hsa-mir-301b	15	3.432596	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
