miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17486	4134.178516	N
hsa-let-7a-2	34902	8251.807078	N
hsa-let-7a-3	17620	4165.859856	N
hsa-let-7b	49119	11613.102740	N
hsa-let-7c	3257	770.045718	N
hsa-let-7d	1472	348.021890	N
hsa-let-7e	2203	520.850696	N
hsa-let-7f-1	94	22.224224	N
hsa-let-7f-2	16511	3903.661299	N
hsa-let-7g	1855	438.573782	N
hsa-let-7i	3314	783.522109	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	35	8.274977	N
hsa-mir-100	31018	7333.521057	Y
hsa-mir-101-1	28107	6645.279398	N
hsa-mir-101-2	193	45.630588	N
hsa-mir-103-1	56077	13258.168171	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	23	5.437842	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	74	17.495666	Y
hsa-mir-106b	1189	281.112791	N
hsa-mir-107	137	32.390624	Y
hsa-mir-10a	139429	32964.907714	N
hsa-mir-10b	27009	6385.681547	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	27	6.383554	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.236428	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.236428	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.472856	N
hsa-mir-1227	1	0.236428	N
hsa-mir-1228	3	0.709284	N
hsa-mir-1229	1	0.236428	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	6	1.418567	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	32	7.565693	N
hsa-mir-1248	10	2.364279	N
hsa-mir-1249	3	0.709284	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.472856	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	9	2.127851	N
hsa-mir-1255a	2	0.472856	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.472856	N
hsa-mir-125a	3390	801.490631	N
hsa-mir-125b-1	3139	742.147224	N
hsa-mir-125b-2	31	7.329265	N
hsa-mir-126	15898	3758.730987	N
hsa-mir-1260	1	0.236428	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.654995	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	127	30.026345	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	1180	278.984939	N
hsa-mir-1270-1	0	0.000000	N
hsa-mir-1270-2	5	1.182140	N
hsa-mir-1271	3	0.709284	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	6	1.418567	N
hsa-mir-1275	3	0.709284	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	0.945712	N
hsa-mir-1278	2	0.472856	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	161	38.064894	N
hsa-mir-128-2	115	27.189210	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	185	43.739164	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.472856	N
hsa-mir-129-2	6	1.418567	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.945712	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.945712	N
hsa-mir-1295	4	0.945712	N
hsa-mir-1296	13	3.073563	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	38	8.984261	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.709284	N
hsa-mir-1305	1	0.236428	N
hsa-mir-1306	22	5.201414	N
hsa-mir-1307	3576	845.466223	N
hsa-mir-130a	520	122.942516	N
hsa-mir-130b	77	18.204949	N
hsa-mir-132	242	57.215555	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.472856	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	42	9.929972	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	1	0.236428	Y
hsa-mir-134	344	81.331203	N
hsa-mir-135a-1	28	6.619982	N
hsa-mir-135a-2	1	0.236428	N
hsa-mir-135b	263	62.180542	N
hsa-mir-136	68	16.077098	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	5	1.182140	N
hsa-mir-138-2	3	0.709284	N
hsa-mir-139	244	57.688411	N
hsa-mir-140	4088	966.517315	N
hsa-mir-141	10191	2409.436878	N
hsa-mir-142	10581	2501.643765	N
hsa-mir-143	79741	18852.998343	N
hsa-mir-144	929	219.641533	N
hsa-mir-145	9045	2138.490488	N
hsa-mir-1468	11	2.600707	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	453	107.101845	N
hsa-mir-146b	3281	775.719988	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	22	5.201414	N
hsa-mir-148a	88640	20956.970356	N
hsa-mir-148b	362	85.586905	N
hsa-mir-149	63	14.894959	N
hsa-mir-150	4420	1045.011383	N
hsa-mir-151	4102	969.827306	N
hsa-mir-152	294	69.509807	N
hsa-mir-153-1	9	2.127851	N
hsa-mir-153-2	459	108.520413	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.472856	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	10	2.364279	N
hsa-mir-155	2743	648.521770	N
hsa-mir-15a	749	177.084508	N
hsa-mir-15b	698	165.026684	N
hsa-mir-16-1	1796	424.624535	N
hsa-mir-16-2	57	13.476391	N
hsa-mir-17	2580	609.984020	Y
hsa-mir-181a-1	23477	5550.618153	N
hsa-mir-181a-2	4204	993.942953	N
hsa-mir-181b-1	4871	1151.640372	N
hsa-mir-181b-2	122	28.844206	N
hsa-mir-181c	286	67.618384	N
hsa-mir-181d	116	27.425638	N
hsa-mir-182	126433	29892.290535	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	16990	4016.910270	N
hsa-mir-184	4	0.945712	N
hsa-mir-185	205	48.467723	N
hsa-mir-186	872	206.165142	N
hsa-mir-187	13	3.073563	N
hsa-mir-188	3	0.709284	N
hsa-mir-18a	37	8.747833	N
hsa-mir-18b	4	0.945712	N
hsa-mir-190	10	2.364279	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2875	679.730255	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.236428	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	4535	1072.200593	Y
hsa-mir-193a	407	96.226161	N
hsa-mir-193b	129	30.499201	N
hsa-mir-194-1	1286	304.046298	N
hsa-mir-194-2	1410	333.363360	N
hsa-mir-195	135	31.917768	N
hsa-mir-196a-1	13	3.073563	N
hsa-mir-196a-2	3	0.709284	N
hsa-mir-196b	43	10.166400	N
hsa-mir-197	899	212.548695	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	28	6.619982	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4576	1081.894138	Y
hsa-mir-199a-2	6494	1535.362878	Y
hsa-mir-199b	7768	1836.572041	Y
hsa-mir-19a	81	19.150661	N
hsa-mir-19b-1	36	8.511405	N
hsa-mir-19b-2	645	152.496005	N
hsa-mir-200a	2231	527.470678	N
hsa-mir-200b	1746	412.803139	N
hsa-mir-200c	44817	10595.989852	N
hsa-mir-202	5	1.182140	N
hsa-mir-203	23803	5627.693653	N
hsa-mir-204	11	2.600707	N
hsa-mir-205	26	6.147126	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1592	376.393240	N
hsa-mir-20b	144	34.045620	N
hsa-mir-21	2462163	582124.063657	N
hsa-mir-210	2324	549.458474	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	14	3.309991	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	8	1.891423	N
hsa-mir-2115	1	0.236428	N
hsa-mir-2116	3	0.709284	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	10	2.364279	N
hsa-mir-214	131	30.972057	N
hsa-mir-215	41	9.693545	Y
hsa-mir-216a	3	0.709284	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	231	54.614848	N
hsa-mir-218-1	10	2.364279	N
hsa-mir-218-2	356	84.168338	N
hsa-mir-219-1	15	3.546419	N
hsa-mir-219-2	1	0.236428	N
hsa-mir-22	192659	45549.965612	N
hsa-mir-221	707	167.154536	N
hsa-mir-222	216	51.068430	N
hsa-mir-223	1320	312.084847	N
hsa-mir-224	196	46.339871	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	1	0.236428	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	256	60.525546	N
hsa-mir-23a	4931	1165.826047	Y
hsa-mir-23b	3123	738.364378	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	133	31.444913	N
hsa-mir-24-2	3595	849.958353	N
hsa-mir-25	38307	9056.844127	N
hsa-mir-26a-1	2	0.472856	N
hsa-mir-26a-2	8925	2110.119138	N
hsa-mir-26b	4653	1100.099087	N
hsa-mir-27a	3501	827.734129	Y
hsa-mir-27b	5152	1218.076616	Y
hsa-mir-28	15414	3644.299877	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	3	0.709284	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	4	0.945712	N
hsa-mir-29a	54512	12888.158484	N
hsa-mir-29b-1	2861	676.420264	N
hsa-mir-29b-2	2844	672.400989	N
hsa-mir-29c	8605	2034.462206	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	35	8.274977	N
hsa-mir-301b	2	0.472856	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3065	40	9.457117	N
hsa-mir-3074	13	3.073563	N
hsa-mir-30a	70592	16689.919352	Y
hsa-mir-30b	2358	557.497023	N
hsa-mir-30c-1	5	1.182140	N
hsa-mir-30c-2	3754	887.550392	N
hsa-mir-30d	23523	5561.493837	N
hsa-mir-30e	45061	10653.678263	Y
hsa-mir-31	5	1.182140	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	1	0.236428	N
hsa-mir-3117	3	0.709284	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3118-5	0	0.000000	N
hsa-mir-3118-6	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	9	2.127851	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	1	0.236428	N
hsa-mir-3130-1	17	4.019275	N
hsa-mir-3130-2	0	0.000000	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135	0	0.000000	N
hsa-mir-3136	4	0.945712	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.236428	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150	0	0.000000	N
hsa-mir-3150b	12	2.837135	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.236428	N
hsa-mir-3155	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	0	0.000000	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	3	0.709284	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	17	4.019275	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	2	0.472856	N
hsa-mir-3174	1	0.236428	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	0	0.000000	N
hsa-mir-3188	1	0.236428	N
hsa-mir-3189	1	0.236428	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	0	0.000000	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	1	0.236428	N
hsa-mir-3194	1	0.236428	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198	0	0.000000	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	1	0.236428	N
hsa-mir-32	125	29.553489	N
hsa-mir-3200	4	0.945712	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	1785	422.023828	Y
hsa-mir-320b-1	1	0.236428	N
hsa-mir-320b-2	8	1.891423	Y
hsa-mir-320c-1	2	0.472856	N
hsa-mir-320c-2	2	0.472856	N
hsa-mir-320d-1	1	0.236428	N
hsa-mir-320d-2	0	0.000000	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323	6	1.418567	N
hsa-mir-323b	4	0.945712	N
hsa-mir-324	123	29.080634	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	34	8.038549	N
hsa-mir-328	90	21.278512	N
hsa-mir-329-1	0	0.000000	N
hsa-mir-329-2	2	0.472856	N
hsa-mir-330	56	13.239963	N
hsa-mir-331	81	19.150661	N
hsa-mir-335	293	69.273379	N
hsa-mir-337	72	17.022810	N
hsa-mir-338	1448	342.347620	N
hsa-mir-339	229	54.141992	N
hsa-mir-33a	78	18.441377	N
hsa-mir-33b	19	4.492130	N
hsa-mir-340	196	46.339871	N
hsa-mir-342	991	234.300063	N
hsa-mir-345	36	8.511405	N
hsa-mir-346	0	0.000000	N
hsa-mir-34a	1339	316.576978	N
hsa-mir-34b	35	8.274977	N
hsa-mir-34c	101	23.879219	N
hsa-mir-3605	3	0.709284	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	172	40.665601	N
hsa-mir-3609	1	0.236428	N
hsa-mir-361	1727	408.311009	N
hsa-mir-3610	2	0.472856	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	40	9.457117	N
hsa-mir-3614	24	5.674270	N
hsa-mir-3615	15	3.546419	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	66	15.604242	N
hsa-mir-3620	1	0.236428	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	0	0.000000	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	70	16.549954	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3647	32	7.565693	N
hsa-mir-3648	5	1.182140	N
hsa-mir-3649	0	0.000000	N
hsa-mir-365-1	34	8.038549	N
hsa-mir-365-2	33	7.802121	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	8	1.891423	N
hsa-mir-3652	0	0.000000	N
hsa-mir-3653	145	34.282048	N
hsa-mir-3654	0	0.000000	N
hsa-mir-3655	0	0.000000	N
hsa-mir-3656	0	0.000000	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	0	0.000000	N
hsa-mir-3662	2	0.472856	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	2	0.472856	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	0	0.000000	N
hsa-mir-3668	1	0.236428	N
hsa-mir-3669	0	0.000000	N
hsa-mir-367	0	0.000000	N
hsa-mir-3670	0	0.000000	N
hsa-mir-3671	0	0.000000	N
hsa-mir-3672	0	0.000000	N
hsa-mir-3673	0	0.000000	N
hsa-mir-3674	0	0.000000	N
hsa-mir-3675	0	0.000000	N
hsa-mir-3676	8	1.891423	N
hsa-mir-3677	6	1.418567	N
hsa-mir-3678	1	0.236428	N
hsa-mir-3679	1	0.236428	N
hsa-mir-3680	0	0.000000	N
hsa-mir-3681	0	0.000000	N
hsa-mir-3682	9	2.127851	N
hsa-mir-3683	0	0.000000	N
hsa-mir-3684	0	0.000000	N
hsa-mir-3685	0	0.000000	N
hsa-mir-3686	0	0.000000	N
hsa-mir-3687	0	0.000000	N
hsa-mir-3688	0	0.000000	N
hsa-mir-3689a	0	0.000000	N
hsa-mir-3689b	0	0.000000	N
hsa-mir-369	12	2.837135	N
hsa-mir-3690	1	0.236428	N
hsa-mir-3691	2	0.472856	N
hsa-mir-3692	0	0.000000	N
