miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17001	3716.945454	N
hsa-let-7a-2	34277	7494.014430	N
hsa-let-7a-3	17148	3749.084209	N
hsa-let-7b	24018	5251.079108	N
hsa-let-7c	3009	657.860648	N
hsa-let-7d	2116	462.623174	N
hsa-let-7e	2767	604.951948	N
hsa-let-7f-1	81	17.709110	N
hsa-let-7f-2	21316	4660.338174	N
hsa-let-7g	1956	427.642216	N
hsa-let-7i	2267	495.636453	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	16	3.498096	N
hsa-mir-100	48705	10648.422348	Y
hsa-mir-101-1	26301	5750.213657	N
hsa-mir-101-2	200	43.726198	N
hsa-mir-103-1	123915	27091.659075	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	87	19.020896	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	52	11.368811	Y
hsa-mir-106b	1488	325.322913	N
hsa-mir-107	217	47.442925	Y
hsa-mir-10a	70746	15467.267989	N
hsa-mir-10b	24450	5345.527695	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	117	25.579826	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.437262	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.874524	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.749048	N
hsa-mir-1229	1	0.218631	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	8	1.749048	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	23	5.028513	N
hsa-mir-1248	12	2.623572	N
hsa-mir-1249	3	0.655893	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	6	1.311786	N
hsa-mir-1255a	4	0.874524	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.218631	N
hsa-mir-125a	2959	646.929098	N
hsa-mir-125b-1	3390	741.159055	N
hsa-mir-125b-2	28	6.121668	N
hsa-mir-126	19562	4276.859418	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.437262	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	3.935358	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
