miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13746	4039.792515	N
hsa-let-7a-2	27770	8161.286056	N
hsa-let-7a-3	13987	4110.619664	N
hsa-let-7b	22866	6720.056427	N
hsa-let-7c	2264	665.363761	N
hsa-let-7d	1277	375.295725	N
hsa-let-7e	2149	631.566573	N
hsa-let-7f-1	62	18.221092	N
hsa-let-7f-2	18601	5466.621604	N
hsa-let-7g	2171	638.032122	N
hsa-let-7i	1892	556.037206	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	33	9.698323	N
hsa-mir-100	19817	5823.990125	N
hsa-mir-101-1	29477	8662.953874	N
hsa-mir-101-2	186	54.663277	N
hsa-mir-103-1	86292	25360.233935	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	56	16.457761	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.293889	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	81	23.804976	Y
hsa-mir-106b	1147	337.090209	N
hsa-mir-107	290	85.227690	Y
hsa-mir-10a	59226	17405.845444	N
hsa-mir-10b	10935	3213.671697	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	38	11.167766	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.293889	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.587777	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.763332	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.587777	N
hsa-mir-1229	3	0.881666	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.293889	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	2	0.587777	N
hsa-mir-1246	1	0.293889	N
hsa-mir-1247	26	7.641103	N
hsa-mir-1248	4	1.175554	N
hsa-mir-1249	2	0.587777	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.293889	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	2	0.587777	N
hsa-mir-1255a	2	0.587777	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
