miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	22817	4509.356267	N
hsa-let-7a-2	45448	8981.953089	Y
hsa-let-7a-3	22895	4524.771518	N
hsa-let-7b	53809	10634.349449	N
hsa-let-7c	6520	1288.556903	Y
hsa-let-7d	1329	262.652166	N
hsa-let-7e	5706	1127.684922	N
hsa-let-7f-1	72	14.229463	N
hsa-let-7f-2	26161	5170.235758	N
hsa-let-7g	2534	500.798036	N
hsa-let-7i	3230	638.349509	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	97	19.170248	N
hsa-mir-100	23568	4657.777469	N
hsa-mir-101-1	40216	7947.945463	N
hsa-mir-101-2	300	59.289428	N
hsa-mir-103-1	121966	24104.314610	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	50	9.881571	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	103	20.356037	Y
hsa-mir-106b	1039	205.339053	N
hsa-mir-107	313	61.858637	Y
hsa-mir-10a	138464	27364.837891	N
hsa-mir-10b	42563	8411.786422	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	209	41.304968	N
hsa-mir-1181	2	0.395263	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.383420	N
hsa-mir-1185-2	3	0.592894	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.395263	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.592894	N
hsa-mir-1225	1	0.197631	N
hsa-mir-1226	4	0.790526	N
hsa-mir-1227	1	0.197631	N
hsa-mir-1228	1	0.197631	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.197631	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	0.790526	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	48	9.486308	N
hsa-mir-1248	4	0.790526	N
hsa-mir-1249	7	1.383420	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
