miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	58742	10863.076635	N
hsa-let-7a-2	117062	21648.113395	N
hsa-let-7a-3	58719	10858.823277	N
hsa-let-7b	94851	17540.663953	N
hsa-let-7c	11907	2201.945005	N
hsa-let-7d	3797	702.173947	N
hsa-let-7e	7105	1313.917801	N
hsa-let-7f-1	256	47.341725	N
hsa-let-7f-2	82742	15301.363368	N
hsa-let-7g	5158	953.861790	N
hsa-let-7i	3641	673.325083	N
hsa-mir-1-1	1	0.184929	N
hsa-mir-1-2	299	55.293656	N
hsa-mir-100	51160	9460.947885	N
hsa-mir-101-1	112116	20733.456471	N
hsa-mir-101-2	1185	219.140407	N
hsa-mir-103-1	162579	30065.509112	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	46	8.506716	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.184929	N
hsa-mir-105-2	2	0.369857	N
hsa-mir-106a	57	10.540931	Y
hsa-mir-106b	2784	514.841261	N
hsa-mir-107	484	89.505449	Y
hsa-mir-10a	146139	27025.282700	N
hsa-mir-10b	20583	3806.385659	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	95	17.568218	N
hsa-mir-1181	2	0.369857	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.184929	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	24	4.438287	N
hsa-mir-1224	1	0.184929	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.849286	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.739714	N
hsa-mir-1229	3	0.554786	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.184929	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	48	8.876573	N
hsa-mir-1248	13	2.404072	N
hsa-mir-1249	8	1.479429	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.739714	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	0	0.000000	N
hsa-mir-1255a	2	0.369857	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.739714	N
hsa-mir-125a	5978	1105.503254	N
hsa-mir-125b-1	4269	789.460253	N
hsa-mir-125b-2	72	13.314860	N
hsa-mir-126	68516	12670.568907	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.554786	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	39	7.212216	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1	0.184929	N
hsa-mir-127	1023	189.181972	N
hsa-mir-1270-1	11	2.034215	N
hsa-mir-1270-2	12	2.219143	N
hsa-mir-1271	14	2.589001	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	1	0.184929	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.184929	N
hsa-mir-1277	6	1.109572	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	368	68.053730	N
hsa-mir-128-2	266	49.191011	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	291	53.814227	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	1.109572	N
hsa-mir-129-2	9	1.664358	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.739714	N
