miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	144289	11314.492131	N
hsa-let-7a-2	286176	22440.630263	Y
hsa-let-7a-3	144174	11305.474350	N
hsa-let-7b	260313	20412.570536	N
hsa-let-7c	18629	1460.802098	Y
hsa-let-7d	12876	1009.677804	N
hsa-let-7e	12817	1005.051290	N
hsa-let-7f-1	593	46.500383	N
hsa-let-7f-2	224338	17591.573409	N
hsa-let-7g	8702	682.371563	N
hsa-let-7i	13875	1088.014875	N
hsa-mir-1-1	33	2.587711	N
hsa-mir-1-2	35355	2772.379525	N
hsa-mir-100	36744	2881.298636	Y
hsa-mir-101-1	76859	6026.935876	N
hsa-mir-101-2	608	47.676616	N
hsa-mir-103-1	238938	18736.439512	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	70	5.489084	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	394	30.895702	N
hsa-mir-105-2	431	33.797075	N
hsa-mir-106a	42	3.293450	Y
hsa-mir-106b	7889	618.619773	N
hsa-mir-107	812	63.673375	Y
hsa-mir-10a	100125	7851.350585	N
hsa-mir-10b	472759	37071.626979	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.078415	N
hsa-mir-1180	124	9.723520	N
hsa-mir-1181	6	0.470493	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.705739	N
hsa-mir-1185-2	8	0.627324	N
hsa-mir-1193	2	0.156831	N
hsa-mir-1197	25	1.960387	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.156831	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.097817	N
hsa-mir-1227	1	0.078415	N
hsa-mir-1228	35	2.744542	N
hsa-mir-1229	9	0.705739	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.078415	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	0.313662	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	117	9.174612	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1268	99.430837	N
hsa-mir-1248	19	1.489894	N
hsa-mir-1249	15	1.176232	N
hsa-mir-1250	1	0.078415	N
hsa-mir-1251	2	0.156831	N
hsa-mir-1252	3	0.235246	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.313662	N
hsa-mir-1255a	15	1.176232	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.627324	N
hsa-mir-125a	6029	472.766968	N
hsa-mir-125b-1	7397	580.039354	N
hsa-mir-125b-2	169	13.252217	N
hsa-mir-126	33605	2635.152424	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	1	0.078415	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	0.862570	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	25	1.960387	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	208	16.310421	N
hsa-mir-127	38679	3033.032602	N
hsa-mir-1270-1	8	0.627324	N
hsa-mir-1270-2	15	1.176232	N
hsa-mir-1271	39	3.058204	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	159	12.468062	N
hsa-mir-1275	2	0.156831	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	29	2.274049	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1718	134.717806	N
hsa-mir-128-2	1130	88.609500	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.156831	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.235246	N
hsa-mir-1287	233	18.270808	N
hsa-mir-1288	16	1.254648	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	0.862570	N
hsa-mir-129-2	7	0.548908	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.313662	N
hsa-mir-1292	6	0.470493	N
hsa-mir-1293	171	13.409048	N
hsa-mir-1294	3	0.235246	N
hsa-mir-1295	11	0.862570	N
hsa-mir-1296	62	4.861760	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	5	0.392077	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	87	6.822147	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
