miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18549	5009.161454	N
hsa-let-7a-2	37258	10061.530942	Y
hsa-let-7a-3	18699	5049.668986	N
hsa-let-7b	47299	12773.105159	N
hsa-let-7c	1458	393.733215	Y
hsa-let-7d	2063	557.113595	N
hsa-let-7e	7514	2029.157322	N
hsa-let-7f-1	78	21.063917	N
hsa-let-7f-2	26097	7047.500483	N
hsa-let-7g	1779	480.419334	N
hsa-let-7i	2116	571.426257	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	3	0.810151	N
hsa-mir-100	62375	16844.382213	Y
hsa-mir-101-1	65314	17638.059797	N
hsa-mir-101-2	128	34.566428	N
hsa-mir-103-1	66722	18018.290501	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	26	7.021306	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.270050	N
hsa-mir-105-2	2	0.540100	N
hsa-mir-106a	38	10.261908	Y
hsa-mir-106b	2521	680.796594	N
hsa-mir-107	548	147.987518	Y
hsa-mir-10a	27750	7493.893489	N
hsa-mir-10b	1151	310.827798	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	124	33.486227	N
hsa-mir-1181	4	1.080201	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.540100	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	2.160402	N
hsa-mir-1227	1	0.270050	N
hsa-mir-1228	7	1.890352	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.270050	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
