miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27191	4440.942053	N
hsa-let-7a-2	54590	8915.855491	N
hsa-let-7a-3	27584	4505.128373	N
hsa-let-7b	70092	11447.703665	N
hsa-let-7c	9816	1603.188084	N
hsa-let-7d	2708	442.281309	N
hsa-let-7e	4887	798.164239	N
hsa-let-7f-1	123	20.088848	N
hsa-let-7f-2	23487	3835.990070	N
hsa-let-7g	4662	761.416345	N
hsa-let-7i	2698	440.648070	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	173	28.255047	N
hsa-mir-100	29249	4777.062782	N
hsa-mir-101-1	39143	6392.990135	N
hsa-mir-101-2	332	54.223558	N
hsa-mir-103-1	144621	23620.075782	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	73	11.922650	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1801	294.146469	N
hsa-mir-105-2	1781	290.879990	N
hsa-mir-106a	114	18.618933	Y
hsa-mir-106b	3435	561.017835	N
hsa-mir-107	680	111.060299	Y
hsa-mir-10a	129331	21122.852290	N
hsa-mir-10b	17919	2926.602208	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.163324	N
hsa-mir-1180	210	34.298034	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.489972	N
hsa-mir-1185-2	2	0.326648	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
