miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	29764	7565.940153	N
hsa-let-7a-2	59988	15248.811244	N
hsa-let-7a-3	29966	7617.288087	N
hsa-let-7b	34083	8663.819991	N
hsa-let-7c	3423	870.118705	N
hsa-let-7d	1402	356.385166	N
hsa-let-7e	3859	980.948900	N
hsa-let-7f-1	114	28.978537	N
hsa-let-7f-2	37425	9513.348683	N
hsa-let-7g	3311	841.648564	N
hsa-let-7i	1468	373.162214	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	59	14.997664	N
hsa-mir-100	23655	6013.046442	N
hsa-mir-101-1	58927	14979.107492	N
hsa-mir-101-2	509	129.386626	N
hsa-mir-103-1	118819	30203.515757	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	39	9.913710	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.508395	N
hsa-mir-106a	137	34.825084	Y
hsa-mir-106b	2174	552.625786	N
hsa-mir-107	514	130.657615	Y
hsa-mir-10a	79527	20215.579980	N
hsa-mir-10b	13314	3384.388093	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.254198	N
hsa-mir-1180	112	28.470142	N
hsa-mir-1181	2	0.508395	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.016791	N
hsa-mir-1227	1	0.254198	N
hsa-mir-1228	2	0.508395	N
hsa-mir-1229	3	0.762593	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.254198	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.254198	N
hsa-mir-1246	2	0.508395	N
hsa-mir-1247	55	13.980873	N
hsa-mir-1248	6	1.525186	N
hsa-mir-1249	2	0.508395	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.508395	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	2	0.508395	N
hsa-mir-1255a	3	0.762593	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.762593	N
hsa-mir-125a	3376	858.171414	N
hsa-mir-125b-1	1801	457.810046	N
hsa-mir-125b-2	36	9.151117	N
hsa-mir-126	10580	2689.411598	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.508395	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	67	17.031245	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	4	1.016791	N
hsa-mir-127	372	94.561542	N
hsa-mir-1270-1	0	0.000000	N
hsa-mir-1270-2	0	0.000000	N
hsa-mir-1271	3	0.762593	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	0	0.000000	N
hsa-mir-1275	1	0.254198	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.254198	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	167	42.451015	N
hsa-mir-128-2	133	33.808293	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.254198	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	269	68.379180	N
hsa-mir-1288	2	0.508395	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.762593	N
hsa-mir-129-2	3	0.762593	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	3	0.762593	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.508395	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	8	2.033582	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.254198	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	33	8.388524	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	3	0.762593	N
hsa-mir-1306	20	5.083954	N
hsa-mir-1307	4160	1057.462405	N
hsa-mir-130a	529	134.470580	N
hsa-mir-130b	54	13.726675	N
hsa-mir-132	336	85.410425	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	52	13.218280	Y
hsa-mir-133a-2	1	0.254198	Y
hsa-mir-133b	6	1.525186	Y
hsa-mir-134	75	19.064827	N
hsa-mir-135a-1	7	1.779384	N
hsa-mir-135a-2	1	0.254198	N
hsa-mir-135b	311	79.055483	N
hsa-mir-136	76	19.319025	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	12	3.050372	N
hsa-mir-138-2	15	3.812965	N
hsa-mir-139	691	175.650606	N
hsa-mir-140	5211	1324.624181	N
hsa-mir-141	7117	1809.124985	N
hsa-mir-142	10437	2653.061328	N
hsa-mir-143	174925	44465.531555	N
hsa-mir-144	1455	369.857644	N
hsa-mir-145	4481	1139.059865	N
hsa-mir-1468	50	12.709885	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1530	388.922471	N
hsa-mir-146b	14302	3635.535414	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	1	0.254198	N
hsa-mir-148a	318961	81079.150553	N
hsa-mir-148b	675	171.583443	N
hsa-mir-149	76	19.319025	N
hsa-mir-150	6321	1606.783621	N
hsa-mir-151	6800	1728.544317	N
hsa-mir-152	236	59.990656	N
hsa-mir-153-1	2	0.508395	N
hsa-mir-153-2	27	6.863338	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	5	1.270988	N
hsa-mir-155	2508	637.527816	N
