miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27129	4407.838736	N
hsa-let-7a-2	53893	8756.373364	N
hsa-let-7a-3	27372	4447.320649	N
hsa-let-7b	65844	10698.136080	N
hsa-let-7c	6769	1099.806864	N
hsa-let-7d	2297	373.209686	N
hsa-let-7e	4076	662.256282	N
hsa-let-7f-1	93	15.110362	N
hsa-let-7f-2	28949	4703.546889	N
hsa-let-7g	3763	611.400979	N
hsa-let-7i	2807	456.072960	N
hsa-mir-1-1	1	0.162477	N
hsa-mir-1-2	55	8.936235	N
hsa-mir-100	25798	4191.581839	N
hsa-mir-101-1	56072	9110.410763	N
hsa-mir-101-2	350	56.866953	N
hsa-mir-103-1	128623	20898.280132	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	40	6.499080	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	3	0.487431	N
hsa-mir-105-2	4	0.649908	N
hsa-mir-106a	163	26.483752	Y
hsa-mir-106b	2811	456.722868	N
hsa-mir-107	722	117.308399	Y
hsa-mir-10a	80539	13085.735705	N
hsa-mir-10b	27204	4420.024511	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	126	20.472103	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.487431	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.324954	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.162477	N
hsa-mir-1229	3	0.487431	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.162477	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	45	7.311465	N
hsa-mir-1248	5	0.812385	N
hsa-mir-1249	7	1.137339	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
