miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12074	3301.932071	N
hsa-let-7a-2	24074	6583.627022	N
hsa-let-7a-3	12100	3309.042410	N
hsa-let-7b	14639	4003.394366	N
hsa-let-7c	978	267.458139	N
hsa-let-7d	2644	723.066788	N
hsa-let-7e	3114	851.599840	N
hsa-let-7f-1	81	22.151441	N
hsa-let-7f-2	19897	5441.323704	N
hsa-let-7g	1935	529.173311	N
hsa-let-7i	1298	354.970004	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	14	3.828644	N
hsa-mir-100	7103	1942.489937	N
hsa-mir-101-1	17695	4839.132681	N
hsa-mir-101-2	131	35.825170	N
hsa-mir-103-1	61209	16739.105525	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	35	9.571610	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	85	23.245339	Y
hsa-mir-106b	3403	930.633993	N
hsa-mir-107	329	89.973137	Y
hsa-mir-10a	40834	11167.060971	N
hsa-mir-10b	5576	1524.894254	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	92	25.159661	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.820424	N
hsa-mir-1227	1	0.273475	N
hsa-mir-1228	2	0.546949	N
hsa-mir-1229	1	0.273475	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.273475	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	3	0.820424	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	2.461271	N
hsa-mir-1248	8	2.187797	N
hsa-mir-1249	4	1.093898	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.546949	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	2	0.546949	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2297	628.171109	N
hsa-mir-125b-1	795	217.412291	N
hsa-mir-125b-2	11	3.008220	N
hsa-mir-126	10365	2834.564015	N
hsa-mir-1260	1	0.273475	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	2.734746	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	33	9.024661	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1	0.273475	N
hsa-mir-127	639	174.750256	N
hsa-mir-1270-1	11	3.008220	N
hsa-mir-1270-2	6	1.640847	N
hsa-mir-1271	7	1.914322	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	3	0.820424	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.546949	N
hsa-mir-1277	2	0.546949	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	290	79.307628	N
hsa-mir-128-2	156	42.662034	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	4	1.093898	N
hsa-mir-1283-2	5	1.367373	Y
hsa-mir-1284	3	0.820424	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	304	83.136272	N
hsa-mir-1288	4	1.093898	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	1.640847	N
hsa-mir-129-2	10	2.734746	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.273475	N
hsa-mir-1292	1	0.273475	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.273475	N
hsa-mir-1295	1	0.273475	N
hsa-mir-1296	6	1.640847	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	73	19.963644	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
