miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	15625	7166.369387	N
hsa-let-7a-2	31207	14313.016925	N
hsa-let-7a-3	15834	7262.226743	N
hsa-let-7b	28105	12890.291943	N
hsa-let-7c	3003	1377.318865	N
hsa-let-7d	1401	642.565345	N
hsa-let-7e	2636	1208.995181	N
hsa-let-7f-1	61	27.977506	N
hsa-let-7f-2	18766	8606.981626	N
hsa-let-7g	1629	747.137007	N
hsa-let-7i	1099	504.053757	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	68	31.188040	N
hsa-mir-100	20851	9563.261957	Y
hsa-mir-101-1	22933	10518.166345	N
hsa-mir-101-2	188	86.225756	N
hsa-mir-103-1	65678	30123.059748	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	27	12.383486	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	13	5.962419	N
hsa-mir-105-2	5	2.293238	N
hsa-mir-106a	49	22.473734	Y
hsa-mir-106b	1032	473.324365	N
hsa-mir-107	193	88.518995	Y
hsa-mir-10a	41982	19254.945254	N
hsa-mir-10b	15055	6904.940231	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.458648	N
hsa-mir-1180	36	16.511315	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.458648	N
hsa-mir-1185-2	1	0.458648	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.458648	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.917295	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	3.210533	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.458648	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	21	9.631600	N
hsa-mir-1248	2	0.917295	N
hsa-mir-1249	5	2.293238	N
hsa-mir-1250	2	0.917295	N
hsa-mir-1251	1	0.458648	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	0	0.000000	N
hsa-mir-1255a	1	0.458648	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.458648	N
hsa-mir-1257	0	0.000000	N
