miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12828	2727.224023	N
hsa-let-7a-2	25582	5438.715696	N
hsa-let-7a-3	13069	2778.460458	N
hsa-let-7b	23299	4953.351458	N
hsa-let-7c	1095	232.796251	N
hsa-let-7d	1544	328.253344	N
hsa-let-7e	2960	629.293975	N
hsa-let-7f-1	61	12.968558	N
hsa-let-7f-2	16463	3500.022536	N
hsa-let-7g	3147	669.050047	N
hsa-let-7i	1934	411.167077	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	8	1.700795	N
hsa-mir-100	11780	2504.419940	N
hsa-mir-101-1	42884	9117.109057	N
hsa-mir-101-2	189	40.181271	N
hsa-mir-103-1	83379	17726.318350	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	50	10.629966	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.212599	N
hsa-mir-105-2	1	0.212599	N
hsa-mir-106a	142	30.189103	Y
hsa-mir-106b	1668	354.615659	N
hsa-mir-107	347	73.771963	Y
hsa-mir-10a	48510	10313.192808	N
hsa-mir-10b	5885	1251.146973	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.212599	N
hsa-mir-1180	39	8.291373	N
hsa-mir-1181	1	0.212599	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	2.763791	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.425199	N
hsa-mir-1229	8	1.700795	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.850397	N
hsa-mir-1248	4	0.850397	N
hsa-mir-1249	6	1.275596	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.850397	N
hsa-mir-1255a	6	1.275596	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2672	568.065372	N
hsa-mir-125b-1	1022	217.276501	N
hsa-mir-125b-2	13	2.763791	N
hsa-mir-126	13445	2858.397801	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.425199	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	6.803178	N
