miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41364	7497.152137	N
hsa-let-7a-2	82147	14888.999048	N
hsa-let-7a-3	41372	7498.602123	N
hsa-let-7b	40386	7319.891360	N
hsa-let-7c	5630	1020.427583	N
hsa-let-7d	3625	657.024865	N
hsa-let-7e	12949	2346.983440	N
hsa-let-7f-1	178	32.262186	N
hsa-let-7f-2	83652	15161.777646	N
hsa-let-7g	2995	542.838474	N
hsa-let-7i	3189	578.000633	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	18	3.262468	N
hsa-mir-100	19778	3584.727661	N
hsa-mir-101-1	58124	10534.872614	N
hsa-mir-101-2	447	81.017963	N
hsa-mir-103-1	161419	29256.909409	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	38	6.887433	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.181248	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	15	2.718724	Y
hsa-mir-106b	2798	507.132571	N
hsa-mir-107	287	52.018244	Y
hsa-mir-10a	214225	38827.903891	N
hsa-mir-10b	105905	19195.094698	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	60	10.874894	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.181248	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	28	5.074951	N
hsa-mir-1224	3	0.543745	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.087489	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.362496	N
hsa-mir-1229	3	0.543745	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.181248	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.181248	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	70	12.687377	N
hsa-mir-1248	3	0.543745	N
hsa-mir-1249	5	0.906241	N
hsa-mir-1250	5	0.906241	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	6	1.087489	N
hsa-mir-1255a	1	0.181248	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	7247	1313.505984	N
hsa-mir-125b-1	1851	335.490489	N
hsa-mir-125b-2	33	5.981192	N
hsa-mir-126	6323	1146.032612	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.543745	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	51	9.243660	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1	0.181248	N
hsa-mir-127	732	132.673711	N
hsa-mir-1270-1	1	0.181248	N
hsa-mir-1270-2	0	0.000000	N
hsa-mir-1271	1	0.181248	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	0	0.000000	N
hsa-mir-1275	2	0.362496	N
hsa-mir-1276	1	0.181248	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	1	0.181248	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	259	46.943294	N
hsa-mir-128-2	153	27.730980	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.362496	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	320	57.999436	N
hsa-mir-1288	1	0.181248	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	41	7.431178	N
hsa-mir-129-2	51	9.243660	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	2	0.362496	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.543745	N
hsa-mir-1295	2	0.362496	N
hsa-mir-1296	8	1.449986	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	71	12.868625	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
